TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,0,6,0.0,6.0,4
1,3,2,0.0,6.93,4
2,1,3,0.0,4.9879999999999995,0
3,2,0,0.0,2.9930000000000003,4
4,5,0,0.989,5.989,0
5,3,0,0.967,3.967,0
6,4,1,0.963,5.963,4
7,8,0,0.993,8.992999999999999,4
8,6,0,0.987,6.987,0
9,5,0,0.983,6.793,0
10,11,4,0.984,15.984,4
11,5,0,0.984,6.933,4
12,6,0,0.842,6.8420000000000005,0
13,3,3,0.963,6.963,0
14,8,0,0.0,9.93,0
15,7,7,0.983,15.782,4
16,2,0,0.999,2.9989999999999997,4
17,0,0,0.0,0.0,0
18,4,2,0.0,7.947,0
19,5,0,0.995,5.994999999999999,0
20,3,0,0.967,5.918,0
21,1,4,0.961,5.961,0
22,4,0,0.979,5.9510000000000005,0
23,4,2,0.0,7.9529999999999985,0
24,7,0,0.83,7.83,4
25,0,0,0.0,0.0,0
26,6,0,0.975,6.975,0
27,7,0,0.986,8.979,0
28,2,3,0.999,5.9990000000000006,0
29,5,0,0.0,5.9719999999999995,0
30,6,0,0.982,6.982,0
31,3,0,0.963,3.963,0
32,1,0,0.962,1.962,0
33,2,0,0.0,2.973,0
34,15,0,0.997,16.996000000000002,4
35,3,2,0.0,5.997,0
36,0,0,0.0,0.0,0
37,4,2,0.0,8.983,0
38,7,0,0.961,10.94,0
39,3,0,0.962,4.955,0
40,3,0,0.0,3.9979999999999998,4
41,9,1,0.997,10.997,0
42,3,1,0.964,5.92,0
43,0,3,0.0,3.0,0
44,5,1,0.811,6.811,0
45,7,0,0.997,8.99,0
46,8,0,0.972,8.972,5
47,4,0,0.98,4.98,0
48,2,5,0.986,7.986,0
49,2,1,0.0,3.9000000000000004,0
50,1,0,0.962,1.962,0
51,6,2,0.986,8.986,0
52,2,0,0.0,2.963,0
53,0,0,0.0,0.0,0
54,8,0,0.968,9.951999999999998,4
55,6,0,0.0,7.990999999999999,0
56,7,0,0.999,7.999,0
57,5,0,0.972,5.9719999999999995,0
58,10,1,0.94,12.939,4
59,4,0,0.979,5.951,0
60,2,0,1.0,3.0,0
61,7,1,0.984,9.933,0
62,2,0,0.0,3.9299999999999997,0
63,5,7,0.988,12.988,0
64,3,5,0.954,8.954,0
65,7,1,0.784,8.783999999999999,0
66,2,0,1.0,3.0,0
67,12,0,0.999,12.999,0
68,8,1,0.987,9.987,4
69,6,0,0.0,6.882,0
70,6,0,0.0,6.995,0
71,5,0,0.0,6.802999999999999,0
72,5,0,0.972,5.9719999999999995,0
73,5,0,0.83,5.83,0
74,6,2,1.0,9.0,0
75,0,0,0.0,0.0,0
76,16,0,0.0,17.984,4
77,3,0,0.962,4.942,0
78,2,1,0.0,3.9720000000000004,0
79,5,0,0.972,5.9719999999999995,0
80,13,0,0.996,14.945,0
81,3,1,0.989,4.989,0
82,8,0,0.983,9.982,0
83,4,0,0.0,5.948,4
84,5,0,0.0,6.980999999999999,0
85,1,0,0.962,1.962,0
86,3,2,0.959,6.947,0
87,4,0,0.0,5.955,0
88,5,0,0.997,5.997,0
89,2,0,0.0,2.9930000000000003,0
90,4,0,0.0,4.982,0
91,9,0,0.811,10.803999999999998,0
92,2,0,0.0,2.8359999999999994,0
93,1,0,0.962,1.962,0
94,11,2,0.983,14.982999999999999,4
95,8,0,0.985,8.985,0
96,3,0,0.962,4.955,0
97,0,0,0.0,0.0,0
98,8,0,0.0,10.84,0
99,6,3,0.962,10.803999999999998,0
100,6,0,0.972,6.9719999999999995,0
101,14,0,0.0,14.995000000000001,4
102,5,0,0.0,6.929999999999999,0
103,23,2,0.995,26.98,0
104,5,1,0.988,6.9879999999999995,4
105,19,0,0.995,20.944,0
106,4,3,0.998,7.998,0
107,8,1,0.969,9.969,0
108,9,2,0.991,11.991,0
109,2,0,0.0,2.763,0
110,1,0,0.962,1.962,4
111,6,0,0.842,6.842,0
112,0,6,0.0,6.0,0
113,8,0,0.996,8.996,0
114,4,0,0.0,4.9719999999999995,0
115,0,9,0.0,9.0,0
116,5,0,0.964,7.959,0
117,11,1,0.0,13.995999999999999,0
118,5,0,0.972,5.9719999999999995,4
119,2,0,0.0,3.951,0
120,1,0,0.961,1.9609999999999999,0
121,6,0,0.978,6.978,0
122,4,0,0.0,4.987,0
123,7,2,0.0,9.995000000000001,0
124,4,0,0.954,4.954,0
125,4,4,0.967,9.946,0
126,8,0,0.847,8.847,0
127,8,0,0.996,8.996,4
128,2,0,0.0,2.999,0
129,5,5,0.986,10.986,0
130,0,0,0.0,0.0,0
131,5,0,0.996,5.9959999999999996,0
132,2,0,0.0,2.9539999999999997,0
133,4,1,0.998,6.992999999999999,0
134,0,5,0.0,5.0,0
135,2,0,0.999,2.999,0
136,5,0,0.769,5.768999999999999,0
137,4,0,0.0,5.992,0
138,4,0,0.999,5.991999999999999,0
139,5,4,0.993,9.993,4
140,8,2,0.999,11.986,0
141,0,0,0.0,0.0,0
142,6,0,0.997,6.997,0
143,7,0,0.812,7.811999999999999,0
144,1,0,0.962,1.962,0
145,7,0,0.989,8.987,0
146,12,0,1.0,13.0,0
147,0,7,0.962,7.962,0
148,7,0,0.82,8.814,4
149,10,0,0.983,11.975999999999999,0
150,7,1,0.98,9.96,0
151,2,0,0.0,2.9800000000000004,0
152,5,0,0.985,6.969,0
153,6,4,0.999,10.999,0
154,5,0,0.972,5.9719999999999995,0
155,2,0,0.0,3.951,0
156,7,3,0.983,10.983,0
157,5,2,0.906,7.906000000000001,0
158,2,8,0.968,11.926,4
159,4,0,0.0,4.982,0
160,3,4,0.983,7.983,0
161,2,0,0.0,2.963,0
162,21,0,0.989,21.989,4
163,2,0,0.0,3.951,0
164,2,0,1.0,3.0,0
165,1,0,0.961,1.9609999999999999,0
166,26,0,0.997,26.997,8
167,13,0,0.996,14.989,0
168,3,0,0.961,4.948,0
169,3,1,0.963,4.963,4
170,11,2,0.985,13.985,0
171,0,0,0.0,0.0,0
172,4,0,0.979,5.9510000000000005,0
173,1,0,0.962,1.962,0
174,1,0,0.962,1.962,0
