TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,6,0.0,6.0,0
1,4,2,0.0,6.984999999999999,0
2,4,3,0.0,5.0,0
3,2,0,0.0,3.0,0
4,5,0,1.0,6.0,0
5,3,0,1.0,4.0,0
6,4,1,1.0,6.0,16
7,8,0,0.999,8.998999999999999,0
8,6,0,1.0,7.0,0
9,5,0,1.0,7.0,0
10,15,4,1.0,16.0,0
11,7,0,0.985,8.783000000000001,0
12,6,0,1.0,7.0,0
13,6,3,1.0,7.0,0
14,8,0,0.0,9.985000000000003,0
15,13,8,1.0,14.0,0
16,2,0,1.0,3.0,0
17,0,0,0.0,0.0,0
18,6,2,0.0,7.997,0
19,5,0,1.0,6.0,0
20,3,0,1.0,5.981999999999999,0
21,5,4,0.999,5.999,15
22,4,0,0.997,5.981999999999999,0
23,6,2,0.0,8.0,0
24,7,0,0.999,7.9990000000000006,0
25,0,0,0.0,0.0,0
26,6,0,0.997,6.997,0
27,7,0,1.0,9.0,0
28,5,3,0.0,6.0,0
29,5,0,0.0,5.984999999999999,0
30,6,0,0.999,6.9990000000000006,0
31,3,0,1.0,4.0,0
32,1,0,0.999,1.999,0
33,2,0,0.0,2.996,0
34,15,0,1.0,16.0,0
35,5,2,0.0,6.0,0
36,0,0,0.0,0.0,0
37,4,2,0.0,5.0,0
38,7,0,1.0,10.998999999999999,0
39,3,0,0.999,4.9990000000000006,0
40,3,0,0.0,4.0,0
41,10,1,1.0,11.0,0
42,4,1,1.0,6.0,0
43,1,1,0.0,2.0,0
44,5,1,1.0,7.0,0
45,7,0,1.0,9.0,0
46,8,0,0.985,8.985,16
47,4,0,0.999,4.9990000000000006,0
48,7,5,1.0,8.0,0
49,3,1,0.0,4.0,0
50,1,0,0.999,1.999,0
51,8,2,1.0,9.0,0
52,2,0,0.0,3.0,0
53,0,0,0.0,0.0,0
54,8,0,1.0,9.0,0
55,6,0,0.0,8.0,0
56,7,0,0.993,7.993,0
57,5,0,0.985,5.984999999999999,0
58,11,0,0.999,12.773000000000001,0
59,4,0,0.997,5.981999999999999,0
60,2,0,1.0,3.0,0
61,9,1,1.0,10.798,0
62,2,0,0.0,3.9849999999999994,0
63,11,5,1.0,11.999999999999998,0
64,8,5,0.999,8.998999999999999,0
65,8,1,0.998,8.998000000000001,0
66,2,0,1.0,3.0,0
67,13,0,1.0,14.985,0
68,9,1,1.0,10.0,0
69,6,0,0.0,7.0,0
70,3,0,0.0,5.0,0
71,5,0,0.0,7.0,0
72,5,0,0.985,5.984999999999999,0
73,5,0,1.0,6.0,0
74,8,2,0.007,8.007,0
75,0,0,0.0,0.0,0
76,16,0,0.0,17.958,16
77,3,0,0.999,4.998,0
78,3,1,0.0,3.984999999999999,0
79,5,0,0.985,5.984999999999999,0
80,13,0,1.0,14.826,0
81,4,1,1.0,5.0,0
82,8,0,1.0,9.029,0
