TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,34,0,0.89,34.89,74
1,0,0,0.0,0.0,4
2,0,0,0.0,0.0,4
3,0,0,0.0,0.0,4
4,35,0,0.85,36.67,24
5,0,0,0.0,0.0,4
6,36,0,0.96,40.51,21
7,0,0,0.0,0.0,3
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,5
10,9,0,0.83,9.83,6
11,0,0,0.0,0.0,4
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,2
14,21,0,0.97,25.56,9
15,34,0,0.89,34.89,21
16,34,0,0.89,34.89,19
17,0,0,0.0,0.0,3
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,35,0,0.85,36.67,13
21,0,0,0.0,0.0,2
22,36,0,0.96,40.51,12
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,5
25,0,0,0.0,0.0,1
26,9,0,0.83,9.83,4
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,1
30,21,0,0.97,25.56,7
31,34,0,0.89,34.89,20
32,34,0,0.89,34.89,18
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,2
36,35,0,0.85,36.67,14
37,0,0,0.0,0.0,3
38,36,0,0.96,40.51,11
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,3
41,0,0,0.0,0.0,1
42,9,0,0.83,9.83,4
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,21,0,0.97,25.56,7
47,34,0,0.89,34.89,25
48,34,0,0.89,34.89,27
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,35,0,0.85,36.67,13
53,0,0,0.0,0.0,2
54,36,0,0.96,40.51,11
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,2
58,9,0,0.83,9.83,3
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,21,0,0.97,25.56,6
63,34,0,0.89,34.89,18
64,34,0,0.89,34.89,17
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,1
67,0,0,0.0,0.0,1
68,35,0,0.85,36.67,13
69,0,0,0.0,0.0,2
70,36,0,0.96,40.51,9
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.83,9.83,4
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,21,0,0.97,25.56,10
79,34,0,0.89,34.89,30
80,34,0,0.89,34.89,28
81,0,0,0.0,0.0,5
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,2
84,35,0,0.85,36.67,12
85,0,0,0.0,0.0,2
86,36,0,0.96,40.51,10
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,2
89,0,0,0.0,0.0,2
90,9,0,0.83,9.83,4
91,0,0,0.0,0.0,1
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,21,0,0.97,25.56,7
95,34,0,0.89,34.89,18
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
