TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,82
1,0,0,0.0,0.0,5
2,0,0,0.0,0.0,6
3,0,0,0.0,0.0,5
4,26,0,0.0,26.0,18
5,0,0,0.0,0.0,3
6,28,0,0.0,28.0,12
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,6
9,0,0,0.0,0.0,3
10,9,0,0.0,9.0,9
11,0,0,0.0,0.0,3
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,2
14,24,0,0.0,24.0,13
15,29,0,0.0,29.0,31
16,29,0,0.0,29.0,22
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,5
19,0,0,0.0,0.0,3
20,26,0,0.0,26.0,20
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,12
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,2
26,9,0,0.0,9.0,8
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,1
30,24,0,0.0,24.0,15
31,29,0,0.0,29.0,34
32,29,0,0.0,29.0,38
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,3
36,26,0,0.0,26.0,14
37,0,0,0.0,0.0,3
38,28,0,0.0,28.0,15
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,3
41,0,0,0.0,0.0,2
42,9,0,0.0,9.0,7
43,0,0,0.0,0.0,3
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,10
47,29,0,0.0,29.0,23
48,29,0,0.0,29.0,19
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,26,0,0.0,26.0,13
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,10
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,2
58,9,0,0.0,9.0,7
59,0,0,0.0,0.0,3
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,24,0,0.0,24.0,16
63,29,0,0.0,29.0,28
64,29,0,0.0,29.0,29
65,0,0,0.0,0.0,3
66,0,0,0.0,0.0,3
67,0,0,0.0,0.0,3
68,26,0,0.0,26.0,21
69,0,0,0.0,0.0,2
70,28,0,0.0,28.0,9
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.0,9.0,8
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,24,0,0.0,24.0,10
79,29,0,0.0,29.0,22
80,29,0,0.0,29.0,22
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,1
84,26,0,0.0,26.0,13
85,0,0,0.0,0.0,2
86,28,0,0.0,28.0,8
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,7
91,0,0,0.0,0.0,1
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,24,0,0.0,24.0,10
95,29,0,0.0,29.0,20
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,1
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
