TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,6,9
1,4,5
2,4,6
3,2,1
4,4,6
5,3,2
6,5,1
7,8,4
8,6,6
9,5,3
10,15,5
11,5,2
12,4,1
13,7,2
14,8,2
15,12,10
16,2,0
17,0,1
18,7,1
19,5,1
20,3,1
21,5,0
22,4,0
23,6,3
24,7,1
25,0,0
26,6,1
27,7,1
28,6,1
29,4,0
30,6,2
31,3,0
32,1,0
33,2,1
34,15,6
35,5,1
36,0,0
37,4,1
38,7,1
39,3,0
40,3,1
41,10,2
42,5,1
43,2,1
44,6,0
45,7,2
46,7,1
47,4,1
48,7,1
49,4,0
50,1,1
51,8,2
52,2,0
53,0,0
54,8,2
55,6,1
56,7,1
57,5,1
58,9,2
59,4,0
60,2,1
61,9,1
62,2,0
63,8,1
64,7,1
65,8,1
66,2,0
67,11,5
68,8,1
69,4,1
70,3,1
71,5,4
72,5,1
73,3,0
74,9,2
75,0,0
76,20,16
77,3,0
78,4,1
79,4,0
80,13,3
81,5,0
82,5,1
83,4,1
84,5,1
85,1,0
86,5,1
87,4,0
88,3,1
89,2,0
90,4,1
91,8,2
92,2,1
93,1,0
94,13,3
95,7,0
96,3,1
97,0,0
98,9,1
99,7,1
100,6,0
101,11,2
102,5,1
103,26,6
104,7,0
105,10,3
106,6,0
107,9,2
108,9,1
109,2,1
110,1,0
111,6,1
112,8,0
113,8,1
114,4,1
115,9,0
116,5,1
117,12,4
118,5,0
119,2,0
120,1,1
121,6,0
122,4,1
123,9,2
124,4,0
125,7,1
126,7,1
127,8,2
128,2,0
129,7,1
130,0,0
131,5,5
132,2,0
133,6,1
134,6,0
135,2,0
136,5,1
137,4,0
138,4,0
139,8,1
140,10,1
141,0,0
142,6,1
143,7,2
144,1,0
145,7,1
146,11,2
147,6,1
148,6,1
149,6,1
150,5,1
151,2,0
152,5,1
153,9,1
154,5,0
155,2,0
156,10,2
157,7,0
158,13,1
159,4,1
160,7,1
161,2,0
162,20,4
163,2,0
164,2,0
165,1,0
166,20,9
167,10,4
168,3,0
169,5,0
170,13,2
171,0,0
172,3,0
173,1,0
174,1,0
175,8,2
176,5,0
177,2,0
178,7,1
179,8,2
180,6,1
181,6,0
182,5,1
183,8,1
184,11,3
185,7,0
186,6,1
187,7,0
188,4,1
189,2,0
190,10,2
191,3,0
192,7,1
193,3,0
194,6,1
195,4,1
196,4,0
197,5,1
198,4,0
199,6,1
200,2,0
201,2,0
202,7,0
203,7,1
204,6,0
205,7,0
206,0,0
207,5,1
208,9,0
209,2,0
210,14,1
211,3,0
212,5,1
213,11,1
214,7,0
215,4,0
216,5,1
217,2,0
218,2,0
219,8,1
220,10,1
221,6,0
222,2,0
223,6,1
224,13,2
225,7,1
226,2,0
227,2,1
228,2,1
229,2,0
230,7,1
231,13,6
232,7,0
233,5,1
234,9,1
235,8,1
236,5,1
237,10,0
238,8,1
239,6,1
240,3,1
241,9,1
242,5,1
243,5,1
244,6,0
245,5,1
246,6,1
247,6,1
248,2,0
249,0,0
250,6,1
251,9,2
252,3,1
253,11,4
254,17,4
255,4,1
256,11,4
257,10,2
258,6,0
259,8,3
260,8,1
261,2,0
262,4,0
263,6,1
264,6,1
265,7,5
266,4,1
267,4,0
268,4,0
269,0,0
270,6,1
271,4,0
272,7,1
273,7,0
274,10,1
275,4,1
276,11,1
277,7,0
278,4,1
279,4,0
280,1,0
281,5,0
282,11,2
283,6,0
284,9,1
285,4,1
286,0,0
287,7,0
288,6,0
289,8,1
290,7,0
291,9,1
292,2,0
293,6,1
294,12,1
295,4,1
296,7,0
297,3,1
298,0,0
299,5,0
300,7,1
301,5,0
302,0,0
303,2,1
304,2,0
305,7,0
306,2,1
307,7,0
308,5,1
309,5,0
310,3,0
311,6,1
312,6,1
313,5,1
314,4,1
315,9,2
316,7,1
317,6,0
318,1,1
319,6,0
320,3,1
321,4,0
322,8,1
323,8,1
324,4,1
325,5,0
326,0,1
327,4,0
328,19,3
329,2,1
330,9,1
331,1,0
332,16,2
333,9,2
334,2,0
335,6,0
336,0,0
337,3,1
338,4,0
339,1,0
340,10,1
341,2,1
342,9,2
343,10,1
344,4,1
345,4,0
346,4,0
347,7,1
348,2,0
349,5,0
350,8,2
351,6,1
352,4,0
353,6,1
354,4,0
355,4,1
356,3,0
357,10,1
358,2,0
359,5,1
360,4,0
361,11,2
362,6,1
363,9,1
364,9,1
365,6,0
366,2,1
367,23,3
368,6,0
369,8,1
370,7,0
371,2,1
372,6,0
373,4,0
374,17,3
375,3,0
376,8,1
377,1,1
378,9,1
379,7,0
380,6,0
381,2,1
382,5,0
383,6,0
384,5,1
385,4,0
386,4,0
387,1,1
388,10,1
389,6,0
390,7,2
391,2,0
392,4,1
393,5,0
394,9,2
395,5,0
396,4,0
397,9,1
