TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,6,0
1,4,1
2,4,0
3,2,0
4,4,1
5,3,0
6,5,1
7,8,0
8,6,1
9,5,1
10,15,3
11,5,0
12,4,1
13,7,0
14,8,1
15,12,4
16,2,0
17,0,0
18,7,1
19,5,0
20,3,1
21,5,0
22,4,0
23,6,1
24,7,0
25,0,0
26,6,1
27,7,0
28,6,0
29,4,0
30,6,1
31,3,0
32,1,0
33,2,0
34,15,3
35,5,0
36,0,0
37,4,0
38,7,1
39,3,0
40,3,0
41,10,1
42,5,1
43,2,0
44,6,0
45,7,0
46,7,2
47,4,0
48,7,0
49,4,0
50,1,0
51,8,1
52,2,0
53,0,0
54,8,1
55,6,0
56,7,1
57,5,0
58,9,1
59,4,0
60,2,0
61,9,1
62,2,0
63,8,0
64,7,1
65,8,0
66,2,1
67,11,1
68,8,2
69,4,0
70,3,0
71,5,1
72,5,0
73,3,0
74,9,1
75,0,0
76,20,7
77,3,0
78,4,0
79,4,0
80,13,2
81,5,0
82,5,0
83,4,0
84,5,1
85,1,0
86,5,0
87,4,0
88,3,0
89,2,0
90,4,1
91,8,1
92,2,0
93,1,0
94,13,1
95,7,0
96,3,0
97,0,1
98,9,0
99,7,1
100,6,0
101,11,1
102,5,0
103,26,2
104,7,1
105,10,1
106,6,0
107,9,1
108,9,1
109,2,0
110,1,0
111,6,0
112,8,1
113,8,1
114,4,0
115,9,0
116,5,0
117,12,2
118,5,0
119,2,0
120,1,0
121,6,0
122,4,1
123,9,1
124,4,0
125,7,0
126,7,0
127,8,2
128,2,0
129,7,0
130,0,0
131,5,0
132,2,0
133,6,1
134,6,0
135,2,0
136,5,1
137,4,0
138,4,0
139,8,0
140,10,1
141,0,0
142,6,0
143,7,2
144,1,0
145,7,0
146,11,1
147,6,0
148,6,1
149,6,0
150,5,0
151,2,0
152,5,1
153,9,0
154,5,0
155,2,0
156,10,1
157,7,0
158,13,1
159,4,0
160,7,0
161,2,0
162,20,2
163,2,0
164,2,1
165,1,0
166,20,7
167,10,2
168,3,1
169,5,0
170,13,1
171,0,0
172,3,1
173,1,0
174,1,0
175,8,1
176,5,1
177,2,0
178,7,0
179,8,2
180,6,1
181,6,0
182,5,1
183,8,1
184,11,4
185,7,0
186,6,0
187,7,1
188,4,0
189,2,0
190,10,2
191,3,0
192,7,1
193,3,0
194,6,1
195,4,0
196,4,0
197,5,1
198,4,0
199,6,1
200,2,0
201,2,1
202,7,0
203,7,0
204,6,1
205,7,1
206,0,0
207,5,0
208,9,1
209,2,0
210,14,1
211,3,0
212,5,1
213,11,1
214,7,0
215,4,1
216,5,0
217,2,0
218,2,0
219,8,1
220,10,1
221,6,0
222,2,0
223,6,0
224,13,2
225,7,0
226,2,0
227,2,1
228,2,0
229,2,0
230,7,1
231,13,2
232,7,0
233,5,1
234,9,1
235,8,0
236,5,0
237,10,1
238,8,0
239,6,1
240,3,0
241,9,1
242,5,0
243,5,1
244,6,0
245,5,0
246,6,1
247,6,0
248,2,0
249,0,0
250,6,1
251,9,0
252,3,1
253,11,0
254,17,3
255,4,0
256,11,2
257,10,0
258,6,0
259,8,2
260,8,0
261,2,1
262,4,0
263,6,0
264,6,1
265,7,0
266,4,1
267,4,0
268,4,0
269,0,0
270,6,0
271,4,0
272,7,0
273,7,1
274,10,1
275,4,1
276,11,0
277,7,1
278,4,1
279,4,0
280,1,0
281,5,0
282,11,2
283,6,1
284,9,0
285,4,0
286,0,0
287,7,2
288,6,0
289,8,1
290,7,0
291,9,1
292,2,0
293,6,0
294,12,1
295,4,0
296,7,0
297,3,1
298,0,0
299,5,0
300,7,0
301,5,0
302,0,0
303,2,0
304,2,1
305,7,0
306,2,0
307,7,2
308,5,0
309,5,0
310,3,0
311,6,1
312,6,0
313,5,1
314,4,0
315,9,0
316,7,1
317,6,0
318,1,0
319,6,0
320,3,0
321,4,1
322,8,0
323,8,1
324,4,0
325,5,0
326,0,0
327,4,1
328,19,1
329,2,1
330,9,0
331,1,0
332,16,1
333,9,2
334,2,0
335,6,0
336,0,0
337,3,0
338,4,0
339,1,0
340,10,1
341,2,0
342,9,2
343,10,0
344,4,1
345,4,0
346,4,0
347,7,0
348,2,0
349,5,0
350,8,1
351,6,1
352,4,1
353,6,0
354,4,0
355,4,0
356,3,0
357,10,1
358,2,0
359,5,0
360,4,1
361,11,1
362,6,0
363,9,0
364,9,1
365,6,0
366,2,1
367,23,2
368,6,0
369,8,0
370,7,1
371,2,0
372,6,0
373,4,0
374,17,2
375,3,0
376,8,1
377,1,0
378,9,1
379,7,0
380,6,0
381,2,0
382,5,1
383,6,0
384,5,0
385,4,0
386,4,0
387,1,0
388,10,2
389,6,0
390,7,1
391,2,0
392,4,0
393,5,1
394,9,0
395,5,1
396,4,0
397,9,0
398,6,1
399,4,0
400,6,0
401,5,1
402,4,0
403,10,0
404,9,1
405,6,0
406,9,1
407,0,0
408,7,0
409,5,1
410,6,0
411,5,0
412,9,1
413,4,0
414,6,0
415,2,0
416,2,0
417,3,1
418,10,1
419,2,0
420,6,0
421,8,0
422,3,0
423,4,1
424,6,0
425,6,0
426,4,1
427,8,0
428,9,1
429,5,0
430,8,1
431,23,3
432,5,0
433,5,1
434,5,0
435,6,0
436,6,1
437,5,0
438,16,2
439,7,0
440,6,1
441,4,0
442,5,0
443,5,1
444,2,0
445,4,0
446,12,3
447,9,1
448,10,0
449,2,0
450,8,0
451,7,2
452,2,0
453,3,0
454,2,0
455,2,0
456,6,1
457,6,0
458,4,0
459,2,0
460,4,1
461,2,0
462,6,0
463,5,0
464,8,1
465,3,0
466,6,0
467,5,0
468,25,5
469,3,0
470,8,1
471,7,0
472,8,0
473,9,1
474,8,1
475,2,0
476,7,1
477,8,0
478,12,2
479,4,1
480,6,0
481,7,1
482,4,0
483,2,0
484,10,1
485,4,0
486,0,0
487,17,2
488,3,0
489,9,0
490,6,0
491,9,1
492,6,0
493,0,0
494,4,0
495,21,2
496,4,1
497,9,0
498,7,0
499,6,1
