TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,7,0
1,7,1
2,8,0
3,2,0
4,7,1
5,0,0
6,5,0
7,2,0
8,6,0
9,6,1
10,2,0
11,5,0
12,4,0
13,4,0
14,8,0
15,10,1
16,0,0
17,6,0
18,7,1
19,1,0
20,7,0
21,11,1
22,6,0
23,6,1
24,6,0
25,5,0
26,2,1
27,5,0
28,9,0
29,5,1
30,2,0
31,10,0
32,7,0
33,13,1
34,4,0
35,7,1
36,2,0
37,20,1
38,2,1
39,2,0
40,1,0
41,20,5
42,10,1
43,3,1
44,5,0
45,13,0
46,0,0
47,3,1
48,1,0
49,1,0
50,8,0
51,5,1
52,2,0
53,7,0
54,8,1
55,6,0
56,6,0
57,5,1
58,8,0
59,11,1
60,7,0
61,6,1
62,7,0
63,4,0
64,2,0
65,10,1
66,3,0
67,7,1
68,3,0
69,6,0
70,4,0
71,4,0
72,5,1
73,4,0
74,6,1
75,2,0
76,2,0
77,7,0
78,7,0
79,6,1
80,7,0
81,0,0
82,5,0
83,9,0
84,2,1
85,14,0
86,3,0
87,5,1
88,11,1
89,7,0
90,4,0
91,5,0
92,2,1
93,2,0
94,8,0
95,10,1
96,6,0
97,2,0
98,6,0
99,13,2
100,7,0
101,2,0
102,2,0
103,2,1
104,2,0
105,7,0
106,13,2
107,7,0
108,5,0
109,9,1
110,8,0
111,5,0
112,10,1
113,8,0
114,6,0
115,3,1
116,9,0
117,5,0
118,5,2
119,6,0
120,5,0
121,6,0
122,6,1
123,2,0
124,0,0
125,6,0
126,9,1
127,3,0
128,11,2
129,17,1
130,4,0
131,11,1
132,10,1
133,6,0
134,8,1
135,8,1
136,2,0
137,4,0
138,6,0
139,6,1
140,7,0
141,4,0
142,4,0
143,4,0
144,0,0
145,6,0
146,4,0
147,7,1
148,7,0
149,10,1
150,4,0
151,11,0
152,7,0
153,4,1
154,4,0
155,1,0
156,5,0
157,11,1
158,6,0
159,9,1
160,4,0
161,0,0
162,7,0
163,6,0
164,8,1
165,7,0
166,9,0
167,2,0
168,6,1
169,12,0
170,4,0
171,7,1
172,3,0
173,0,0
174,5,0
175,7,0
176,5,0
177,0,2
178,2,0
179,2,0
180,7,0
181,2,0
182,7,1
183,5,0
184,5,0
185,3,0
186,6,0
187,6,1
188,5,0
189,4,0
190,9,1
191,7,1
192,6,0
193,1,0
194,6,0
195,3,0
196,4,1
197,8,0
198,8,1
199,4,0
200,5,0
201,0,0
202,4,0
203,19,2
204,2,0
205,9,1
206,1,0
207,16,1
208,9,1
209,2,0
210,6,0
211,0,0
212,3,0
213,4,0
214,1,0
215,10,1
216,2,0
217,9,1
218,10,1
219,4,0
220,4,0
221,4,0
222,7,1
223,2,0
224,5,0
225,8,1
226,6,0
227,4,0
228,6,1
229,4,0
230,4,0
231,3,0
232,10,1
233,2,0
234,5,0
235,4,0
236,11,2
237,6,0
238,9,0
239,9,1
240,6,0
241,2,0
242,23,3
243,6,0
244,8,0
245,7,1
246,2,0
247,6,0
248,4,0
249,17,2
250,3,0
251,8,0
252,1,0
253,9,1
254,7,0
255,6,0
256,2,0
257,5,1
258,6,0
259,5,0
260,4,0
261,4,0
262,1,0
263,10,2
264,6,0
265,7,0
266,2,0
267,4,1
268,5,0
269,9,1
270,5,0
271,4,0
272,9,1
273,6,0
274,4,0
275,6,0
276,5,1
277,4,0
278,10,0
279,9,1
280,6,0
281,9,1
282,0,0
283,7,0
284,5,0
285,6,0
286,5,1
287,9,0
288,4,0
289,6,1
290,2,0
291,2,0
292,3,0
293,10,0
294,2,0
295,6,0
296,8,1
297,3,0
298,4,0
299,6,0
300,6,1
301,4,0
302,8,0
303,9,1
304,5,0
305,8,1
306,23,2
307,5,1
308,5,0
309,5,1
310,6,0
311,6,0
312,5,0
313,16,2
314,7,1
315,6,1
316,4,0
317,5,0
318,5,1
319,2,0
320,4,0
321,12,2
322,9,1
323,10,1
324,2,0
325,8,0
326,7,0
327,2,1
328,3,0
329,2,0
330,2,0
331,6,0
332,6,1
333,4,0
334,2,0
335,4,0
336,2,0
337,6,0
338,5,1
339,8,0
340,3,0
341,6,0
342,5,0
343,25,5
344,3,0
345,8,0
346,7,0
347,8,1
348,9,0
349,8,1
350,2,0
351,7,0
352,8,1
353,12,2
354,4,0
355,6,0
356,7,2
357,4,0
358,2,0
359,10,0
360,4,1
361,0,0
362,17,1
363,3,0
364,9,1
365,6,0
366,9,0
367,6,0
368,0,0
369,4,0
370,21,2
371,4,1
372,9,0
373,7,0
374,6,1
375,20,5
376,20,4
377,20,4
378,20,5
379,20,5
380,20,4
381,20,5
382,20,4
383,20,5
384,20,5
385,20,4
386,20,4
387,20,5
388,20,5
389,20,5
390,20,4
391,20,4
392,20,8
393,20,5
394,20,5
395,20,4
396,20,5
397,20,4
398,20,4
399,20,5
400,20,5
401,20,5
402,20,4
403,20,4
404,20,5
405,20,5
406,20,4
407,20,5
408,20,5
409,20,4
410,20,4
411,20,5
412,20,5
413,20,4
414,20,5
415,20,4
416,20,5
417,20,4
418,20,5
419,20,5
420,20,4
421,20,4
422,20,5
423,20,5
424,20,4
425,20,5
426,20,4
427,20,5
428,20,5
429,20,4
430,20,4
431,20,5
432,20,5
433,20,4
434,20,5
435,20,5
436,20,4
437,20,5
438,20,4
439,20,5
440,20,4
441,20,5
442,20,5
443,20,4
444,20,5
445,20,4
446,20,6
447,20,4
448,20,5
449,20,4
450,20,6
451,20,4
452,20,5
453,20,4
454,20,5
455,20,5
456,20,8
457,20,4
458,20,6
459,20,5
460,20,4
461,20,5
462,20,5
463,20,5
464,20,5
465,20,5
466,20,5
467,20,4
468,20,6
469,20,5
470,20,4
471,20,5
472,20,4
473,20,6
474,20,5
475,20,4
476,20,5
477,20,8
478,20,6
479,20,4
480,20,6
481,20,4
482,20,5
483,20,5
484,20,5
485,20,5
486,20,5
487,20,5
488,20,6
489,20,5
490,20,5
491,20,4
492,20,6
493,20,5
494,20,4
495,20,4
496,20,6
497,20,5
498,20,4
499,20,5
