TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,7,0
1,7,1
2,8,0
3,2,0
4,7,0
5,0,0
6,5,1
7,2,0
8,6,0
9,6,0
10,2,0
11,5,0
12,4,1
13,4,0
14,8,0
15,10,1
16,0,0
17,6,0
18,7,1
19,1,0
20,7,1
21,11,0
22,6,1
23,6,0
24,6,0
25,5,1
26,2,0
27,5,0
28,9,0
29,5,1
30,2,0
31,10,0
32,7,1
33,13,0
34,4,1
35,7,0
36,2,0
37,20,2
38,2,0
39,2,0
40,1,0
41,20,4
42,10,2
43,3,0
44,5,0
45,13,1
46,0,0
47,3,0
48,1,0
49,1,0
50,8,1
51,5,0
52,2,0
53,7,0
54,8,1
55,6,1
56,6,0
57,5,0
58,8,1
59,11,1
60,7,0
61,6,0
62,7,1
63,4,0
64,2,0
65,10,1
66,3,0
67,7,0
68,3,1
69,6,0
70,4,0
71,4,0
72,5,1
73,4,0
74,6,0
75,2,0
76,2,1
77,7,0
78,7,0
79,6,0
80,7,1
81,0,0
82,5,0
83,9,0
84,2,0
85,14,1
86,3,0
87,5,0
88,11,1
89,7,0
90,4,0
91,5,1
92,2,0
93,2,0
94,8,0
95,10,1
96,6,0
97,2,0
98,6,1
99,13,1
100,7,0
101,2,0
102,2,1
103,2,0
104,2,0
105,7,0
106,13,2
107,7,1
108,5,0
109,9,1
110,8,0
111,5,0
112,10,0
113,8,1
114,6,0
115,3,0
116,9,1
117,5,0
118,5,1
119,6,0
120,5,0
121,6,1
122,6,0
123,2,0
124,0,0
125,6,0
126,9,1
127,3,0
128,11,2
129,17,1
130,4,0
131,11,1
132,10,1
133,6,0
134,8,1
135,8,1
136,2,0
137,4,0
138,6,0
139,6,1
140,7,0
141,4,0
142,4,0
143,4,0
144,0,0
145,6,1
146,4,0
147,7,0
148,7,0
149,10,1
150,4,0
151,11,1
152,7,0
153,4,0
154,4,0
155,1,0
156,5,1
157,11,0
158,6,1
159,9,0
160,4,0
161,0,0
162,7,0
163,6,1
164,8,0
165,7,0
166,9,1
167,2,0
168,6,0
169,12,0
170,4,0
171,7,1
172,3,0
173,0,0
174,5,0
175,7,1
176,5,0
177,0,0
178,2,0
179,2,0
180,7,0
181,2,1
182,7,0
183,5,0
184,5,0
185,3,0
186,6,1
187,6,0
188,5,0
189,4,1
190,9,0
191,7,1
192,6,0
193,1,0
194,6,0
195,3,1
196,4,0
197,8,0
198,8,1
199,4,0
200,5,0
201,0,0
202,4,0
203,19,2
204,2,0
205,9,1
206,1,0
207,16,1
208,9,1
209,2,0
210,6,0
211,0,0
212,3,0
213,4,1
214,1,0
215,10,0
216,2,0
217,9,2
218,10,0
219,4,0
220,4,1
221,4,0
222,7,0
223,2,0
224,5,0
225,8,1
226,6,0
227,4,1
228,6,0
229,4,0
230,4,0
231,3,0
232,10,1
233,2,0
234,5,0
235,4,0
236,11,1
237,6,0
238,9,1
239,9,0
240,6,1
241,2,0
242,23,2
243,6,0
244,8,1
245,7,0
246,2,0
247,6,0
248,4,0
249,17,2
250,3,0
251,8,1
252,1,0
253,9,0
254,7,0
255,6,1
256,2,0
257,5,0
258,6,0
259,5,0
260,4,0
261,4,1
262,1,0
263,10,0
264,6,1
265,7,0
266,2,0
267,4,0
268,5,1
269,9,0
270,5,1
271,4,0
272,9,0
273,6,1
274,4,0
275,6,0
276,5,0
277,4,1
278,10,0
279,9,1
280,6,0
281,9,0
282,0,0
283,7,1
284,5,0
285,6,0
286,5,0
287,9,1
288,4,0
289,6,0
290,2,0
291,2,0
292,3,1
293,10,0
294,2,0
295,6,1
296,8,0
297,3,0
298,4,0
299,6,1
300,6,0
301,4,0
302,8,0
303,9,1
304,5,0
305,8,1
306,23,2
307,5,1
308,5,0
309,5,1
310,6,0
311,6,0
312,5,0
313,16,3
314,7,0
315,6,0
316,4,1
317,5,0
318,5,0
319,2,0
320,4,1
321,12,2
322,9,1
323,10,0
324,2,0
325,8,1
326,7,0
327,2,0
328,3,0
329,2,0
330,2,1
331,6,0
332,6,0
333,4,0
334,2,0
335,4,1
336,2,0
337,6,0
338,5,0
339,8,1
340,3,0
341,6,0
342,5,0
343,25,5
344,3,0
345,8,0
346,7,0
347,8,1
348,9,0
349,8,1
350,2,0
351,7,0
352,8,1
353,12,2
354,4,0
355,6,0
356,7,1
357,4,0
358,2,0
359,10,1
360,4,0
361,0,0
362,17,1
363,3,0
364,9,1
365,6,0
366,9,1
367,6,0
368,0,0
369,4,0
370,21,2
371,4,1
372,9,0
373,7,0
374,6,0
375,6,0
376,6,1
377,6,0
378,6,0
379,6,0
380,6,0
381,6,0
382,6,0
383,6,0
384,6,0
385,6,0
386,6,0
387,6,0
388,6,1
389,6,0
390,6,0
391,6,0
392,6,0
393,6,0
394,6,0
395,6,0
396,6,0
397,6,0
398,6,0
399,6,1
400,6,0
401,6,0
402,6,0
403,6,0
404,6,0
405,6,0
406,6,0
407,6,0
408,6,0
409,6,0
410,6,0
411,6,1
412,6,0
413,6,0
414,6,0
415,6,0
416,6,0
417,6,0
418,6,0
419,6,0
420,6,0
421,6,0
422,6,1
423,6,0
424,6,0
425,6,0
426,6,0
427,6,0
428,6,0
429,6,0
430,6,0
431,6,0
432,6,0
433,6,0
434,6,1
435,6,0
436,6,0
437,6,0
438,6,0
439,6,0
440,6,0
441,6,0
442,6,0
443,6,0
444,6,0
445,6,1
446,6,0
447,6,0
448,6,0
449,6,0
450,6,0
451,6,0
452,6,0
453,6,0
454,6,0
455,6,0
456,6,0
457,6,1
458,6,0
459,6,0
460,6,0
461,6,0
462,6,0
463,6,0
464,6,0
465,6,0
466,6,0
467,6,0
468,6,1
469,6,0
470,6,0
471,6,0
472,6,0
473,6,0
474,6,0
475,6,0
476,6,0
477,6,0
478,6,0
479,6,0
480,6,1
481,6,0
482,6,0
483,6,0
484,6,0
485,6,0
486,6,0
487,6,0
488,6,0
489,6,0
490,6,0
491,6,1
492,6,0
493,6,0
494,6,0
495,6,0
496,6,0
497,6,0
498,6,0
499,6,0
