TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,3,0,0.0,3.0,1
1,3,0,0.0,3.0,2
2,2,0,0.0,2.0,1
3,1,0,0.0,1.0,0
4,2,0,0.0,2.0,1
5,0,0,0.0,0.0,0
6,1,0,0.0,1.0,0
7,1,0,0.0,1.0,0
8,1,0,0.0,1.0,1
9,1,0,0.0,1.0,0
10,0,0,0.0,0.0,0
11,1,0,0.0,1.0,1
12,2,0,0.0,2.0,0
13,2,0,0.0,2.0,0
14,3,0,0.0,3.0,1
15,4,0,0.0,4.0,0
16,0,0,0.0,0.0,0
17,1,0,0.0,1.0,1
18,1,0,0.0,1.0,0
19,1,0,0.0,1.0,0
20,2,0,0.0,2.0,1
21,3,0,0.0,3.0,0
22,1,0,0.0,1.0,2
23,2,0,0.0,2.0,0
24,3,0,0.0,3.0,1
25,2,1,0.0,3.0,0
26,1,0,0.0,1.0,1
27,2,0,0.0,2.0,0
28,2,0,0.0,2.0,1
29,2,0,0.0,2.0,0
30,2,0,0.0,2.0,0
31,1,0,0.0,1.0,0
32,1,1,0.0,2.0,1
33,3,0,0.0,3.0,0
34,2,0,0.0,2.0,1
35,3,0,0.0,3.0,0
36,1,0,0.0,1.0,0
37,1,3,0.0,4.0,2
38,2,0,0.0,2.0,0
39,1,0,0.0,1.0,0
40,0,0,0.0,0.0,0
41,1,3,0.0,4.0,2
42,2,0,0.0,2.0,2
43,1,0,0.0,1.0,0
44,1,0,0.0,1.0,0
45,1,4,0.0,5.0,1
46,0,0,0.0,0.0,0
47,2,0,0.0,2.0,0
48,1,0,0.0,1.0,0
49,1,0,0.0,1.0,0
50,2,0,0.0,2.0,1
51,1,0,0.0,1.0,1
52,2,0,0.0,2.0,0
53,1,0,0.0,1.0,0
54,2,1,0.0,3.0,0
55,2,0,0.0,2.0,1
56,3,0,0.0,3.0,0
57,2,0,0.0,2.0,1
58,0,0,0.0,0.0,1
59,2,1,0.0,3.0,1
60,1,0,0.0,1.0,0
61,1,0,0.0,1.0,0
62,1,1,0.0,2.0,0
63,2,0,0.0,2.0,1
64,1,0,0.0,1.0,0
65,1,1,0.0,2.0,1
66,0,1,0.0,1.0,0
67,2,0,0.0,2.0,1
68,1,0,0.0,1.0,0
69,2,0,0.0,2.0,0
70,2,0,0.0,2.0,0
71,1,1,0.0,2.0,1
72,1,0,0.0,1.0,1
73,1,0,0.0,1.0,0
74,1,0,0.0,1.0,0
75,1,0,0.0,1.0,0
76,1,0,0.0,1.0,1
77,0,0,0.0,0.0,1
78,2,0,0.0,2.0,0
79,2,1,0.0,3.0,1
80,1,0,0.0,1.0,0
81,0,0,0.0,0.0,1
82,1,0,0.0,1.0,0
83,4,0,0.0,4.0,0
84,2,0,0.0,2.0,0
85,3,0,0.0,3.0,1
86,1,0,0.0,1.0,0
87,2,0,0.0,2.0,1
88,3,0,0.0,3.0,0
89,2,0,0.0,2.0,0
90,0,0,0.0,0.0,1
91,1,0,0.0,1.0,0
92,1,0,0.0,1.0,0
93,1,0,0.0,1.0,0
94,2,0,0.0,2.0,1
95,4,0,0.0,4.0,1
96,2,0,0.0,2.0,0
97,1,0,0.0,1.0,0
98,2,0,0.0,2.0,0
99,3,0,0.0,3.0,1
100,2,0,0.0,2.0,0
101,1,0,0.0,1.0,0
102,1,0,0.0,1.0,0
103,1,0,0.0,1.0,1
104,2,0,0.0,2.0,0
105,3,0,0.0,3.0,1
106,1,0,0.0,1.0,2
107,1,0,0.0,1.0,0
108,3,0,0.0,3.0,1
109,3,0,0.0,3.0,0
110,4,0,0.0,4.0,1
111,0,0,0.0,0.0,0
112,2,0,0.0,2.0,0
113,1,0,0.0,1.0,1
114,0,0,0.0,0.0,1
115,2,0,0.0,2.0,1
116,0,3,0.0,3.0,1
117,1,0,0.0,1.0,1
118,1,0,0.0,1.0,0
119,3,0,0.0,3.0,1
120,2,0,0.0,2.0,0
121,3,0,0.0,3.0,1
122,2,0,0.0,2.0,0
123,1,0,0.0,1.0,1
124,0,0,0.0,0.0,0
125,2,0,0.0,2.0,0
126,4,0,0.0,4.0,1
127,1,0,0.0,1.0,0
128,4,0,0.0,4.0,2
129,2,1,0.0,3.0,1
130,2,0,0.0,2.0,1
131,3,0,0.0,3.0,0
132,0,1,0.0,1.0,1
133,2,0,0.0,2.0,0
134,1,1,0.0,2.0,2
135,2,0,0.0,2.0,1
136,1,0,0.0,1.0,0
137,1,0,0.0,1.0,1
138,3,0,0.0,3.0,1
139,2,0,0.0,2.0,0
140,0,1,0.0,1.0,1
141,2,0,0.0,2.0,1
142,2,0,0.0,2.0,0
143,2,0,0.0,2.0,0
144,0,0,0.0,0.0,0
145,1,0,0.0,1.0,1
146,2,0,0.0,2.0,0
147,2,1,0.0,3.0,2
148,0,0,0.0,0.0,0
149,1,3,0.0,4.0,2
150,2,0,0.0,2.0,1
151,3,0,0.0,3.0,0
152,2,0,0.0,2.0,0
153,2,0,0.0,2.0,1
154,2,0,0.0,2.0,0
155,1,0,0.0,1.0,1
156,2,0,0.0,2.0,0
157,2,1,0.0,3.0,2
158,1,0,0.0,1.0,1
159,3,0,0.0,3.0,1
160,1,1,0.0,2.0,0
161,0,0,0.0,0.0,0
162,1,0,0.0,1.0,1
163,2,0,0.0,2.0,0
164,2,0,0.0,2.0,1
165,2,0,0.0,2.0,0
166,1,0,0.0,1.0,1
167,1,0,0.0,1.0,0
168,2,0,0.0,2.0,1
169,1,4,0.0,5.0,1
170,1,0,0.0,1.0,0
171,3,0,0.0,3.0,0
172,1,0,0.0,1.0,1
173,0,0,0.0,0.0,0
174,2,0,0.0,2.0,0
175,1,0,0.0,1.0,2
176,1,0,0.0,1.0,0
177,0,0,0.0,0.0,0
178,2,0,0.0,2.0,0
179,1,0,0.0,1.0,0
180,0,3,0.0,3.0,1
181,1,0,0.0,1.0,0
182,1,2,0.0,3.0,1
183,2,0,0.0,2.0,0
184,2,0,0.0,2.0,0
185,2,0,0.0,2.0,1
186,2,0,0.0,2.0,1
187,2,0,0.0,2.0,0
188,1,0,0.0,1.0,1
189,2,0,0.0,2.0,0
190,3,0,0.0,3.0,3
191,3,0,0.0,3.0,1
192,1,0,0.0,1.0,0
193,1,0,0.0,1.0,0
194,2,0,0.0,2.0,1
195,0,2,0.0,2.0,0
196,2,0,0.0,2.0,1
197,1,0,0.0,1.0,0
198,3,0,0.0,3.0,1
199,1,0,0.0,1.0,0
200,2,0,0.0,2.0,1
201,0,0,0.0,0.0,0
202,2,0,0.0,2.0,0
203,3,0,0.0,3.0,2
204,1,0,0.0,1.0,0
205,4,0,0.0,4.0,2
206,0,0,0.0,0.0,0
207,1,3,0.0,4.0,1
208,3,0,0.0,3.0,2
209,1,0,0.0,1.0,0
210,2,0,0.0,2.0,0
211,0,0,0.0,0.0,0
212,1,0,0.0,1.0,0
213,3,0,0.0,3.0,1
214,1,0,0.0,1.0,0
215,1,1,0.0,2.0,2
216,1,0,0.0,1.0,0
217,4,0,0.0,4.0,1
218,2,0,0.0,2.0,0
219,1,0,0.0,1.0,1
220,1,0,0.0,1.0,0
221,2,0,0.0,2.0,0
222,2,0,0.0,2.0,1
223,2,0,0.0,2.0,0
224,2,0,0.0,2.0,0
225,3,0,0.0,3.0,2
226,1,0,0.0,1.0,1
227,2,0,0.0,2.0,0
228,1,0,0.0,1.0,0
229,1,0,0.0,1.0,1
230,2,0,0.0,2.0,1
231,1,0,0.0,1.0,0
232,3,0,0.0,3.0,1
233,1,0,0.0,1.0,0
234,0,0,0.0,0.0,0
235,2,0,0.0,2.0,1
236,2,2,0.0,4.0,1
237,3,0,0.0,3.0,1
238,2,0,0.0,2.0,1
239,0,2,0.0,2.0,1
240,2,0,0.0,2.0,0
241,1,0,0.0,1.0,1
242,1,3,0.0,4.0,2
243,3,0,0.0,3.0,1
244,1,1,0.0,2.0,1
245,0,0,0.0,0.0,1
246,1,0,0.0,1.0,1
247,3,0,0.0,3.0,0
248,2,0,0.0,2.0,0
249,1,4,0.0,5.0,3
250,1,0,0.0,1.0,0
251,3,1,0.0,4.0,1
252,1,0,0.0,1.0,0
253,0,0,0.0,0.0,1
254,2,0,0.0,2.0,0
255,1,0,0.0,1.0,1
256,1,0,0.0,1.0,0
257,2,0,0.0,2.0,0
258,1,0,0.0,1.0,0
259,3,0,0.0,3.0,1
260,2,0,0.0,2.0,0
261,1,0,0.0,1.0,0
262,1,0,0.0,1.0,1
263,3,0,0.0,3.0,1
264,1,0,0.0,1.0,1
265,2,0,0.0,2.0,0
266,2,0,0.0,2.0,0
267,2,0,0.0,2.0,0
268,2,0,0.0,2.0,1
269,2,0,0.0,2.0,1
270,2,0,0.0,2.0,0
271,2,0,0.0,2.0,1
272,3,0,0.0,3.0,1
273,2,0,0.0,2.0,0
274,2,0,0.0,2.0,1
275,4,0,0.0,4.0,1
276,2,0,0.0,2.0,0
277,1,0,0.0,1.0,1
278,2,0,0.0,2.0,0
279,3,0,0.0,3.0,1
