TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,64
1,0,0,0.0,0.0,7
2,0,0,0.0,0.0,3
3,0,0,0.0,0.0,4
4,26,0,0.0,26.0,11
5,0,0,0.0,0.0,2
6,28,0,0.0,28.0,8
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,3
10,9,0,0.0,9.0,4
11,0,0,0.0,0.0,1
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,4
14,24,0,0.0,24.0,8
15,29,0,0.0,29.0,16
16,29,0,0.0,29.0,15
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,26,0,0.0,26.0,11
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,8
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,1
26,9,0,0.0,9.0,3
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,1
29,0,0,0.0,0.0,4
30,24,0,0.0,24.0,8
31,29,0,0.0,29.0,14
32,29,0,0.0,29.0,17
33,0,0,0.0,0.0,3
34,0,0,0.0,0.0,3
35,0,0,0.0,0.0,4
36,26,0,0.0,26.0,16
37,0,0,0.0,0.0,3
38,28,0,0.0,28.0,11
39,0,0,0.0,0.0,4
40,0,0,0.0,0.0,4
41,0,0,0.0,0.0,4
42,9,0,0.0,9.0,5
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,4
45,0,0,0.0,0.0,5
46,24,0,0.0,24.0,10
47,29,0,0.0,29.0,12
48,29,0,0.0,29.0,17
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,1
51,0,0,0.0,0.0,3
52,26,0,0.0,26.0,7
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,6
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,2
57,0,0,0.0,0.0,1
58,9,0,0.0,9.0,3
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,24,0,0.0,24.0,9
63,29,0,0.0,29.0,11
64,29,0,0.0,29.0,12
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,1
67,0,0,0.0,0.0,1
68,26,0,0.0,26.0,8
69,0,0,0.0,0.0,2
70,28,0,0.0,28.0,5
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,1
74,9,0,0.0,9.0,4
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,24,0,0.0,24.0,7
79,29,0,0.0,29.0,19
80,29,0,0.0,29.0,19
81,0,0,0.0,0.0,3
82,0,0,0.0,0.0,3
83,0,0,0.0,0.0,4
84,26,0,0.0,26.0,13
85,0,0,0.0,0.0,3
86,28,0,0.0,28.0,11
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,5
89,0,0,0.0,0.0,3
90,9,0,0.0,9.0,7
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,5
93,0,0,0.0,0.0,1
94,24,0,0.0,24.0,7
95,29,0,0.0,29.0,13
96,0,0,0.0,0.0,0
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
