TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,4,0,0.65,4.65,0
1,9,0,0.65,9.65,1
2,3,0,0.0,4.15,0
3,2,0,0.0,2.65,0
4,5,0,0.25,5.25,1
5,3,0,0.15,3.15,0
6,3,0,0.7,3.7,1
7,8,0,0.3,8.3,1
8,6,0,0.5,6.5,0
9,5,0,0.5,6.2,1
10,20,0,0.7,20.7,1
11,5,0,0.2,5.85,0
12,6,0,0.3,6.299999999999999,1
13,3,0,0.7,3.7,0
14,8,0,0.0,8.6,0
15,15,0,0.55,16.200000000000003,1
16,2,0,0.1,2.1,1
17,0,0,0.0,0.0,0
18,8,0,0.7,8.7,0
19,5,0,0.75,5.75,0
20,3,0,0.05,3.75,0
21,7,0,0.65,7.65,1
22,3,0,0.35,3.7,0
23,6,0,0.0,7.4,0
24,7,0,0.35,7.35,0
25,0,0,0.0,0.0,0
26,6,0,0.3,6.3,0
27,7,0,0.25,7.8999999999999995,1
28,5,0,0.0,5.800000000000001,0
29,5,0,0.0,5.35,0
30,6,0,0.3,6.3,1
31,3,0,0.15,3.15,0
32,1,0,0.05,1.05,0
33,2,0,0.0,2.15,0
34,15,0,0.3,15.75,2
35,5,0,0.0,5.95,0
36,0,0,0.0,0.0,0
37,5,0,0.0,5.9,0
38,7,0,0.05,8.25,1
39,3,0,0.05,3.6999999999999997,0
40,3,0,0.0,3.4,0
41,11,0,0.7,11.7,1
42,10,0,0.7,10.7,0
43,2,0,0.0,2.7,0
44,8,0,0.7,8.7,0
45,8,0,0.2,8.85,1
46,8,0,0.35,8.35,0
47,4,0,0.2,4.2,0
48,11,0,0.7,11.7,1
49,10,0,0.7,10.7,1
50,1,0,0.05,1.0499999999999998,0
51,8,0,0.5,9.200000000000001,0
52,2,0,0.0,2.15,0
53,0,0,0.0,0.0,0
54,8,0,0.05,8.45,1
55,6,0,0.0,6.850000000000001,0
56,6,0,0.35,6.35,1
57,5,0,0.35,5.35,0
58,10,0,0.35,10.95,0
59,3,0,0.35,3.6999999999999997,0
60,2,0,0.1,2.1,0
61,11,0,0.7,11.7,1
62,2,0,0.0,2.6,0
63,13,0,0.65,13.65,0
64,4,0,0.65,4.65,0
65,10,0,0.7,10.7,1
66,2,0,0.1,2.0999999999999996,0
67,12,0,0.3,12.899999999999999,1
68,10,0,0.7,10.7,0
69,6,0,0.0,6.299999999999999,1
70,6,0,0.0,6.25,0
71,5,0,0.0,5.9,0
72,4,0,0.35,4.35,1
73,5,0,0.0,5.35,0
74,11,0,0.7,11.7,0
75,0,0,0.0,0.0,0
76,16,0,0.0,16.7,2
77,3,0,0.05,3.25,0
78,3,0,0.0,3.7,0
79,5,0,0.35,5.35,0
80,13,0,0.2,14.2,1
81,8,0,0.7,8.7,0
82,8,0,0.5,9.15,1
83,4,0,0.0,4.5,0
84,5,0,0.0,5.550000000000001,1
85,1,0,0.05,1.0499999999999998,0
86,5,0,0.05,6.1000000000000005,0
87,4,0,0.0,4.65,0
88,4,0,0.65,4.65,0
89,2,0,0.0,2.65,1
90,4,0,0.0,4.35,0
91,9,0,0.35,10.0,0
92,2,0,0.0,2.3499999999999996,0
93,1,0,0.05,1.0499999999999998,1
94,13,0,0.2,14.25,1
95,8,0,0.3,8.3,1
96,3,0,0.05,3.6999999999999997,0
97,0,0,0.0,0.0,0
98,7,0,0.0,8.2,0
99,12,0,0.65,12.65,1
100,6,0,0.35,6.35,0
101,11,0,0.0,11.75,1
102,5,0,0.0,5.6,1
103,26,0,0.1,26.400000000000002,3
104,4,0,0.7,4.7,0
105,19,0,0.0,19.95,1
106,8,0,0.55,9.25,1
107,10,0,0.7,10.7,0
108,10,0,0.7,10.7,0
109,2,0,0.0,2.3,0
110,1,0,0.05,1.0499999999999998,0
111,6,0,0.3,6.3,2
112,5,0,0.7,5.7,0
113,6,0,0.3,6.299999999999999,0
114,3,0,0.0,3.35,1
115,9,0,0.65,9.65,0
116,5,0,0.05,6.0,0
117,17,0,0.7,17.7,1
118,5,0,0.35,5.35,0
119,2,0,0.0,2.7,0
120,1,0,0.05,1.05,0
121,4,0,0.45,4.45,1
122,3,0,0.0,3.3499999999999996,0
123,9,0,0.0,10.0,1
124,4,0,0.2,4.2,0
125,8,0,0.35,8.35,0
126,7,0,0.35,7.8,0
127,7,0,0.3,7.3,1
128,1,0,0.1,1.1,0
129,9,0,0.45,10.1,0
130,0,0,0.0,0.0,0
131,5,0,0.6,5.6,1
132,1,0,0.0,1.2,0
133,8,0,0.7,8.7,0
134,6,0,0.65,6.65,0
135,2,0,0.1,2.1,0
136,5,0,0.25,5.25,0
137,3,0,0.0,3.75,1
138,4,0,0.1,4.75,0
139,11,0,0.35,12.0,0
140,10,0,0.3,11.500000000000002,0
141,0,0,0.0,0.0,0
142,6,0,0.5,6.5,1
143,7,0,0.4,7.4,0
144,1,0,0.05,1.0499999999999998,0
145,7,0,0.25,7.950000000000001,0
146,12,0,0.35,12.35,2
147,6,0,0.65,6.65,0
148,7,0,0.3,7.8999999999999995,0
149,8,0,0.0,9.0,1
150,10,0,0.7,10.7,0
151,2,0,0.0,2.2,0
152,4,0,0.2,4.6000000000000005,1
153,13,0,0.65,13.65,1
154,5,0,0.35,5.35,0
155,2,0,0.0,2.7,0
156,10,0,0.7,10.7,0
157,7,0,0.25,7.950000000000001,1
158,9,0,0.7,9.7,0
159,4,0,0.0,4.2,0
160,6,0,0.3,6.949999999999999,1
161,2,0,0.0,2.15,0
162,21,0,0.2,21.2,2
163,2,0,0.0,2.7,0
164,2,0,0.1,2.0999999999999996,0
165,1,0,0.05,1.0499999999999998,0
166,26,0,0.6,26.599999999999998,3
167,16,0,0.0,17.0,2
168,3,0,0.05,3.4,0
169,3,0,0.7,3.7,0
170,15,0,0.35,16.6,1
171,0,0,0.0,0.0,0
172,4,0,0.35,4.7,0
173,1,0,0.05,1.05,0
174,1,0,0.05,1.05,0
175,11,0,0.7,11.7,1
176,6,0,0.35,6.35,0
177,2,0,0.0,2.7,0
178,8,0,0.7,8.7,0
179,10,0,0.6,11.3,1
180,7,0,0.35,7.35,0
181,6,0,0.0,7.2,1
182,5,0,0.35,6.0,0
183,11,0,0.7,11.7,1
184,13,0,0.6,14.249999999999998,0
185,4,0,0.7,4.7,0
186,6,0,0.7,6.7,0
187,7,0,0.5,8.2,1
188,7,0,0.35,7.35,1
189,2,0,0.0,2.2,0
190,10,0,0.0,11.5,1
191,3,0,0.05,3.75,0
192,7,0,0.25,7.950000000000001,0
193,4,0,0.3,4.3,0
194,6,0,0.4,7.05,1
195,4,0,0.35,4.7,0
196,10,0,0.7,10.7,0
197,7,0,0.35,7.35,1
198,4,0,0.2,4.2,0
199,6,0,0.3,6.3,0
200,2,0,0.0,2.15,0
201,2,0,0.1,2.0999999999999996,0
202,10,0,0.7,10.7,1
203,3,0,0.7,3.7,0
204,10,0,0.7,10.7,0
205,8,0,0.7,8.7,0
206,0,0,0.0,0.0,0
207,5,0,0.35,5.35,1
208,10,0,0.25,10.9,0
209,2,0,0.0,2.7,0
210,10,0,0.65,10.649999999999999,0
211,3,0,0.2,3.1999999999999997,1
212,5,0,0.65,5.65,0
213,8,0,0.7,8.7,0
214,7,0,0.25,7.950000000000001,0
215,4,0,0.7,4.7,1
216,5,0,0.25,5.25,0
217,2,0,0.0,2.3499999999999996,0
218,2,0,0.0,2.2,0
219,8,0,0.5,9.200000000000001,0
220,10,0,0.0,10.2,1
221,6,0,0.65,6.65,0
222,1,0,0.0,1.7,0
223,5,0,0.35,5.35,0
224,12,0,0.6,13.299999999999999,1
225,3,0,0.7,3.7,0
226,2,0,0.0,2.0999999999999996,0
227,2,0,0.0,2.3499999999999996,0
228,4,0,0.0,4.299999999999999,0
229,2,0,0.0,2.7,0
230,11,0,0.55,12.25,1
231,17,0,0.7,17.7,1
232,7,0,0.35,7.35,0
233,5,0,0.0,5.9,0
234,9,0,0.35,10.0,1
235,11,0,0.7,11.7,0
236,3,0,0.7,3.7,1
237,11,0,0.55,11.55,0
238,10,0,0.7,10.7,0
239,10,0,0.7,10.7,1
240,5,0,0.05,5.3999999999999995,0
241,10,0,0.3,10.899999999999999,1
242,6,0,0.3,6.3,0
243,4,0,0.25,4.25,0
244,6,0,0.4,7.05,1
245,5,0,0.05,6.0,0
246,10,0,0.7,10.7,0
247,6,0,0.2,6.55,1
248,2,0,0.1,2.0999999999999996,0
249,0,0,0.0,0.0,0
250,6,0,0.65,6.65,0
251,8,0,0.0,8.55,1
252,3,0,0.05,3.3499999999999996,0
253,13,0,0.0,14.0,2
254,18,0,0.25,18.95,2
255,5,0,0.25,5.25,0
256,8,0,0.7,8.7,0
257,10,0,0.3,11.000000000000002,1
258,3,0,0.0,3.7,0
259,10,0,0.7,10.7,0
260,7,0,0.3,7.3,1
261,1,0,0.0,1.7,0
262,4,0,0.25,4.25,0
263,6,0,0.0,7.049999999999999,0
264,11,0,0.7,11.7,1
265,7,0,0.2,8.3,0
266,5,0,0.0,6.3500000000000005,0
267,3,0,0.35,3.7,0
268,4,0,0.2,4.2,1
269,0,0,0.0,0.0,0
270,6,0,0.0,6.65,0
271,4,0,0.1,4.45,0
272,8,0,0.7,8.7,0
273,6,0,0.7,6.7,0
274,14,0,0.7,14.7,1
275,4,0,0.0,4.3,1
276,7,0,0.65,7.65,0
277,3,0,0.7,3.7,0
278,4,0,0.0,4.3,0
279,4,0,0.0,4.45,0
280,1,0,0.05,1.05,0
281,6,0,0.65,6.65,0
282,14,0,0.7,14.7,1
283,7,0,0.35,7.35,2
284,9,0,0.65,9.65,0
285,4,0,0.7,4.7,1
286,0,0,0.0,0.0,0
287,6,0,0.7,6.7,0
288,6,0,0.65,6.65,0
289,9,0,0.5,9.5,0
290,3,0,0.7,3.7,0
291,10,0,0.7,10.7,1
292,2,0,0.0,2.25,0
293,6,0,0.25,6.9,0
294,10,0,0.2,10.55,1
