TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,3,0
1,6,0
2,10,1
3,3,0
4,5,0
5,10,0
6,2,0
7,12,1
8,7,0
9,8,0
10,10,1
11,8,0
12,9,1
13,2,0
14,12,0
15,14,1
16,4,0
17,4,0
18,6,0
19,8,0
20,3,0
21,4,0
22,3,0
23,10,1
24,10,0
25,3,0
26,7,0
27,9,0
28,4,0
29,4,0
30,10,1
31,3,0
32,3,0
33,7,1
34,16,1
35,8,1
36,4,0
37,5,0
38,10,0
39,3,0
40,6,0
41,10,1
42,9,0
43,5,0
44,7,0
45,8,1
46,6,0
47,3,0
48,6,0
49,9,0
50,3,0
51,7,1
52,3,0
53,4,0
54,14,0
55,11,0
56,8,1
57,3,0
58,10,1
59,3,0
60,4,0
61,10,0
62,6,0
63,9,1
64,4,0
65,9,0
66,4,0
67,17,0
68,9,0
69,10,1
70,8,0
71,8,0
72,3,0
73,6,1
74,10,0
75,4,0
76,18,1
77,3,0
78,3,0
79,3,0
80,14,1
81,7,0
82,8,0
83,7,1
84,6,0
85,3,0
86,10,0
87,6,1
88,6,0
89,4,0
90,5,0
91,8,0
92,10,1
93,3,0
94,16,1
95,11,1
96,3,0
97,4,0
98,10,0
99,10,0
100,4,0
