TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,7,16,0.0,23.0,2457
1,0,0,0.0,0.0,2
2,0,0,0.0,0.0,3
3,0,0,0.0,0.0,3
4,21,7,0.0,28.0,973
5,0,0,0.0,0.0,1
6,28,0,0.0,28.0,289
7,0,0,0.0,0.0,1
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,1
10,9,0,0.0,9.0,6
11,0,0,0.0,0.0,1
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,1
14,8,16,0.0,24.0,2368
15,7,16,0.0,23.0,1991
16,7,16,0.0,23.0,2005
17,0,0,0.0,0.0,1
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,1
20,21,7,0.0,28.0,1052
21,0,0,0.0,0.0,1
22,28,0,0.0,28.0,229
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,2
25,0,0,0.0,0.0,1
26,9,0,0.0,9.0,5
27,0,0,0.0,0.0,1
28,0,0,0.0,0.0,1
29,0,0,0.0,0.0,1
30,8,16,0.0,24.0,2267
31,7,16,0.0,23.0,2066
32,7,16,0.0,23.0,2157
33,0,0,0.0,0.0,1
34,0,0,0.0,0.0,1
35,0,0,0.0,0.0,2
36,21,7,0.0,28.0,971
37,0,0,0.0,0.0,1
38,28,0,0.0,28.0,236
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,2
41,0,0,0.0,0.0,2
42,9,0,0.0,9.0,5
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,1
46,8,16,0.0,24.0,2286
47,7,16,0.0,23.0,2162
48,7,16,0.0,23.0,2028
49,0,0,0.0,0.0,1
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,21,7,0.0,28.0,943
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,249
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,2
57,0,0,0.0,0.0,1
58,9,0,0.0,9.0,5
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,1
62,8,16,0.0,24.0,2457
63,7,16,0.0,23.0,1987
64,7,16,0.0,23.0,1970
65,0,0,0.0,0.0,1
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,13
68,21,7,0.0,28.0,921
69,0,0,0.0,0.0,1
70,28,0,0.0,28.0,246
71,0,0,0.0,0.0,0
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,1
74,9,0,0.0,9.0,5
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,8,16,0.0,24.0,2538
79,7,16,0.0,23.0,2010
80,7,16,0.0,23.0,2052
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,1
84,21,7,0.0,28.0,955
85,0,0,0.0,0.0,1
86,28,0,0.0,28.0,246
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,2
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,5
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,1
94,8,16,0.0,24.0,2219
95,7,16,0.0,23.0,2254
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,1
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
