TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,7,16,0.0,23.0,2682
1,0,0,0.0,0.0,4
2,0,0,0.0,0.0,3
3,0,0,0.0,0.0,3
4,21,7,0.0,28.0,1106
5,0,0,0.0,0.0,3
6,28,0,0.0,28.0,303
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,2
10,9,0,0.0,9.0,6
11,0,0,0.0,0.0,1
12,0,0,0.0,0.0,1
13,0,0,0.0,0.0,2
14,8,16,0.0,24.0,2458
15,7,16,0.0,23.0,2049
16,7,16,0.0,23.0,2048
17,0,0,0.0,0.0,1
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,1
20,21,7,0.0,28.0,980
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,255
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,1
26,9,0,0.0,9.0,5
27,0,0,0.0,0.0,1
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,2
30,8,16,0.0,24.0,2493
31,7,16,0.0,23.0,2200
32,7,16,0.0,23.0,2091
33,0,0,0.0,0.0,1
34,0,0,0.0,0.0,3
35,0,0,0.0,0.0,1
36,21,7,0.0,28.0,1022
37,0,0,0.0,0.0,1
38,28,0,0.0,28.0,243
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,2
41,0,0,0.0,0.0,2
42,9,0,0.0,9.0,5
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,8,16,0.0,24.0,2515
47,7,16,0.0,23.0,2066
48,7,16,0.0,23.0,2052
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,21,7,0.0,28.0,975
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,235
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,1
58,9,0,0.0,9.0,5
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,1
62,8,16,0.0,24.0,2486
63,7,16,0.0,23.0,2074
64,7,16,0.0,23.0,2104
65,0,0,0.0,0.0,1
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,1
68,21,7,0.0,28.0,968
69,0,0,0.0,0.0,2
70,28,0,0.0,28.0,245
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.0,9.0,4
75,0,0,0.0,0.0,2
76,0,0,0.0,0.0,1
77,0,0,0.0,0.0,2
78,8,16,0.0,24.0,2535
79,7,16,0.0,23.0,2092
80,7,16,0.0,23.0,2093
81,0,0,0.0,0.0,1
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,1
84,21,7,0.0,28.0,962
85,0,0,0.0,0.0,1
86,28,0,0.0,28.0,240
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,1
90,9,0,0.0,9.0,4
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,1
94,8,16,0.0,24.0,2298
95,7,16,0.0,23.0,2289
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,1
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
