TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,85
1,0,0,0.0,0.0,7
2,0,0,0.0,0.0,12
3,0,0,0.0,0.0,6
4,26,0,0.0,26.0,25
5,0,0,0.0,0.0,5
6,28,0,0.0,28.0,25
7,0,0,0.0,0.0,4
8,0,0,0.0,0.0,9
9,0,0,0.0,0.0,5
10,9,0,0.0,9.0,10
11,0,0,0.0,0.0,9
12,0,0,0.0,0.0,5
13,0,0,0.0,0.0,4
14,24,0,0.0,24.0,18
15,29,0,0.0,29.0,36
16,29,0,0.0,29.0,48
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,4
19,0,0,0.0,0.0,5
20,26,0,0.0,26.0,20
21,0,0,0.0,0.0,4
22,28,0,0.0,28.0,17
23,0,0,0.0,0.0,4
24,0,0,0.0,0.0,6
25,0,0,0.0,0.0,12
26,9,0,0.0,9.0,9
27,0,0,0.0,0.0,4
28,0,0,0.0,0.0,3
29,0,0,0.0,0.0,4
30,24,0,0.0,24.0,20
31,29,0,0.0,29.0,34
32,29,0,0.0,29.0,38
33,0,0,0.0,0.0,7
34,0,0,0.0,0.0,6
35,0,0,0.0,0.0,7
36,26,0,0.0,26.0,20
37,0,0,0.0,0.0,4
38,28,0,0.0,28.0,19
39,0,0,0.0,0.0,3
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,2
42,9,0,0.0,9.0,5
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,10
47,29,0,0.0,29.0,17
48,29,0,0.0,29.0,18
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,3
52,26,0,0.0,26.0,13
53,0,0,0.0,0.0,3
54,28,0,0.0,28.0,18
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,6
57,0,0,0.0,0.0,4
58,9,0,0.0,9.0,9
59,0,0,0.0,0.0,3
60,0,0,0.0,0.0,3
61,0,0,0.0,0.0,3
62,24,0,0.0,24.0,17
63,29,0,0.0,29.0,29
64,29,0,0.0,29.0,30
65,0,0,0.0,0.0,3
66,0,0,0.0,0.0,3
67,0,0,0.0,0.0,3
68,26,0,0.0,26.0,11
69,0,0,0.0,0.0,2
70,28,0,0.0,28.0,12
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,5
73,0,0,0.0,0.0,4
74,9,0,0.0,9.0,6
75,0,0,0.0,0.0,3
76,0,0,0.0,0.0,3
77,0,0,0.0,0.0,3
78,24,0,0.0,24.0,14
79,29,0,0.0,29.0,25
80,29,0,0.0,29.0,25
81,0,0,0.0,0.0,3
82,0,0,0.0,0.0,4
83,0,0,0.0,0.0,3
84,26,0,0.0,26.0,16
85,0,0,0.0,0.0,4
86,28,0,0.0,28.0,15
87,0,0,0.0,0.0,3
88,0,0,0.0,0.0,6
89,0,0,0.0,0.0,4
90,9,0,0.0,9.0,6
91,0,0,0.0,0.0,3
92,0,0,0.0,0.0,4
93,0,0,0.0,0.0,3
94,24,0,0.0,24.0,15
95,29,0,0.0,29.0,26
96,0,0,0.0,0.0,3
97,0,0,0.0,0.0,4
98,0,0,0.0,0.0,4
99,0,0,0.0,0.0,4
