TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,70
1,0,0,0.0,0.0,7
2,0,0,0.0,0.0,4
3,0,0,0.0,0.0,4
4,26,0,0.0,26.0,12
5,0,0,0.0,0.0,3
6,28,0,0.0,28.0,9
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,3
10,9,0,0.0,9.0,5
11,0,0,0.0,0.0,5
12,0,0,0.0,0.0,4
13,0,0,0.0,0.0,3
14,24,0,0.0,24.0,19
15,29,0,0.0,29.0,32
16,29,0,0.0,29.0,21
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,26,0,0.0,26.0,11
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,9
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,4
25,0,0,0.0,0.0,3
26,9,0,0.0,9.0,7
27,0,0,0.0,0.0,3
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,2
30,24,0,0.0,24.0,8
31,29,0,0.0,29.0,18
32,29,0,0.0,29.0,17
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,4
35,0,0,0.0,0.0,4
36,26,0,0.0,26.0,15
37,0,0,0.0,0.0,3
38,28,0,0.0,28.0,13
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,5
42,9,0,0.0,9.0,4
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,8
47,29,0,0.0,29.0,14
48,29,0,0.0,29.0,14
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,26,0,0.0,26.0,9
53,0,0,0.0,0.0,2
54,28,0,0.0,28.0,7
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,6
57,0,0,0.0,0.0,2
58,9,0,0.0,9.0,5
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,1
62,24,0,0.0,24.0,8
63,29,0,0.0,29.0,13
64,29,0,0.0,29.0,14
65,0,0,0.0,0.0,1
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,26,0,0.0,26.0,9
69,0,0,0.0,0.0,1
70,28,0,0.0,28.0,8
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,2
74,9,0,0.0,9.0,5
75,0,0,0.0,0.0,3
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,3
78,24,0,0.0,24.0,13
79,29,0,0.0,29.0,23
80,29,0,0.0,29.0,23
81,0,0,0.0,0.0,3
82,0,0,0.0,0.0,3
83,0,0,0.0,0.0,3
84,26,0,0.0,26.0,13
85,0,0,0.0,0.0,3
86,28,0,0.0,28.0,12
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,2
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,6
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,24,0,0.0,24.0,9
95,29,0,0.0,29.0,16
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
