TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,6,0
1,4,0
2,4,2
3,2,0
4,4,0
5,3,0
6,5,1
7,8,0
8,6,0
9,5,0
10,15,1
11,5,1
12,4,0
13,7,0
14,8,1
15,12,2
16,2,0
17,0,0
18,7,0
19,5,1
20,3,0
21,5,0
22,4,0
23,6,1
24,7,0
25,0,0
26,6,1
27,7,0
28,6,0
29,4,0
30,6,1
31,3,0
32,1,0
33,2,0
34,15,2
35,5,0
36,0,0
37,4,1
38,7,0
39,3,0
40,3,1
41,10,0
42,5,1
43,2,0
44,6,0
45,7,1
46,7,0
47,4,0
48,7,1
49,4,0
50,1,0
51,8,0
52,2,1
53,0,0
54,8,0
55,6,1
56,7,0
57,5,0
58,9,0
59,4,0
60,2,1
61,9,0
62,2,0
63,8,1
64,7,0
65,8,0
66,2,1
67,11,1
68,8,1
69,4,0
70,3,0
71,5,1
72,5,0
73,3,0
74,9,0
75,0,1
76,20,6
77,3,0
78,4,1
79,4,0
80,13,1
81,5,0
82,5,0
83,4,0
84,5,1
85,1,0
86,5,0
87,4,0
88,3,0
89,2,0
90,4,1
91,8,0
92,2,0
93,1,0
94,13,1
95,7,1
96,3,0
97,0,0
98,9,0
99,7,1
100,6,0
101,11,0
102,5,1
103,26,2
104,7,0
105,10,1
106,6,0
107,9,1
108,9,1
109,2,0
110,1,0
111,6,1
112,8,0
113,8,0
114,4,0
115,9,1
116,5,0
117,12,1
118,5,0
119,2,0
120,1,0
121,6,1
122,4,0
123,9,1
124,4,0
125,7,1
126,7,0
127,8,1
128,2,0
129,7,0
130,0,0
131,5,0
132,2,0
133,6,1
134,6,0
135,2,0
136,5,0
137,4,0
138,4,0
139,8,1
140,10,0
141,0,0
142,6,1
143,7,1
144,1,0
145,7,0
146,11,1
147,6,0
148,6,1
149,6,0
150,5,0
151,2,0
152,5,1
153,9,0
154,5,0
155,2,0
156,10,0
157,7,1
158,13,1
159,4,0
160,7,0
161,2,1
162,20,1
163,2,0
164,2,1
165,1,0
166,20,4
167,10,2
168,3,0
169,5,1
170,13,0
171,0,0
172,3,0
173,1,0
174,1,0
175,8,1
176,5,0
177,2,0
178,7,1
179,8,1
180,6,0
181,6,0
182,5,1
183,8,0
184,11,2
185,7,0
186,6,1
187,7,0
188,4,1
189,2,0
190,10,1
191,3,0
192,7,0
193,3,0
194,6,0
195,4,0
196,4,0
197,5,1
198,4,0
199,6,0
200,2,0
201,2,1
202,7,0
203,7,0
204,6,0
205,7,1
206,0,0
207,5,0
208,9,0
209,2,0
210,14,1
211,3,0
212,5,1
213,11,0
214,7,0
215,4,1
216,5,0
217,2,0
218,2,0
219,8,1
220,10,0
221,6,0
222,2,1
223,6,0
224,13,2
225,7,0
226,2,0
227,2,0
228,2,0
229,2,1
230,7,0
231,13,2
232,7,1
233,5,0
234,9,1
235,8,0
236,5,0
237,10,1
238,8,0
239,6,0
240,3,0
241,9,1
242,5,0
243,5,0
244,6,1
245,5,0
246,6,0
247,6,0
248,2,0
249,0,0
250,6,2
251,9,0
252,3,1
253,11,1
254,17,1
255,4,1
256,11,1
257,10,0
258,6,0
259,8,2
260,8,1
261,2,0
262,4,0
263,6,1
264,6,0
265,7,1
266,4,0
267,4,1
268,4,0
269,0,0
270,6,0
271,4,0
272,7,1
273,7,0
274,10,1
275,4,0
276,11,0
277,7,1
278,4,0
279,4,0
280,1,0
281,5,1
282,11,0
283,6,1
284,9,0
285,4,0
286,0,0
287,7,1
288,6,0
289,8,0
290,7,0
291,9,1
292,2,0
293,6,0
294,12,1
295,4,0
296,7,0
297,3,0
298,0,0
299,5,0
300,7,1
301,5,0
302,0,0
303,2,0
304,2,0
305,7,1
306,2,0
307,7,0
308,5,0
309,5,1
310,3,0
311,6,0
312,6,1
313,5,0
314,4,1
315,9,0
316,7,1
317,6,0
318,1,0
319,6,0
320,3,1
321,4,0
322,8,0
323,8,1
324,4,0
325,5,0
326,0,0
327,4,0
328,19,2
329,2,0
330,9,1
331,1,1
332,16,0
333,9,2
334,2,0
335,6,0
336,0,0
337,3,0
338,4,0
339,1,0
340,10,1
341,2,0
342,9,1
343,10,1
344,4,0
345,4,0
346,4,0
347,7,1
348,2,0
349,5,0
350,8,1
351,6,0
352,4,1
353,6,0
354,4,0
355,4,0
356,3,0
357,10,1
358,2,0
359,5,0
360,4,0
361,11,1
362,6,0
363,9,1
364,9,0
365,6,0
366,2,1
367,23,2
368,6,0
369,8,1
370,7,0
371,2,0
372,6,0
373,4,0
374,17,2
375,3,0
376,8,0
377,1,1
378,9,0
379,7,0
380,6,0
381,2,0
382,5,1
383,6,0
384,5,1
385,4,0
386,4,0
387,1,0
388,10,1
389,6,0
390,7,1
391,2,0
392,4,0
393,5,0
394,9,1
395,5,0
396,4,0
397,9,1
