TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,7,1
1,7,0
2,8,1
3,2,0
4,7,0
5,0,0
6,5,1
7,2,0
8,6,0
9,6,0
10,2,0
11,5,0
12,4,0
13,4,1
14,8,0
15,10,0
16,0,0
17,6,1
18,7,1
19,1,0
20,7,1
21,11,1
22,6,0
23,6,0
24,6,1
25,5,0
26,2,0
27,5,1
28,9,0
29,5,0
30,2,0
31,10,1
32,7,0
33,13,1
34,4,0
35,7,0
36,2,0
37,20,2
38,2,0
39,2,0
40,1,0
41,20,4
42,10,3
43,3,0
44,5,0
45,13,1
46,0,0
47,3,0
48,1,0
49,1,0
50,8,1
51,5,0
52,2,0
53,7,0
54,8,1
55,6,0
56,6,0
57,5,1
58,8,0
59,11,2
60,7,0
61,6,0
62,7,0
63,4,1
64,2,0
65,10,0
66,3,1
67,7,0
68,3,0
69,6,1
70,4,0
71,4,0
72,5,0
73,4,1
74,6,0
75,2,0
76,2,0
77,7,1
78,7,0
79,6,0
80,7,0
81,0,0
82,5,1
83,9,0
84,2,0
85,14,1
86,3,0
87,5,0
88,11,1
89,7,1
90,4,0
91,5,0
92,2,0
93,2,0
94,8,1
95,10,1
96,6,0
97,2,0
98,6,0
99,13,2
100,7,0
101,2,0
102,2,0
103,2,0
104,2,0
105,7,1
106,13,2
107,7,0
108,5,1
109,9,0
110,8,0
111,5,0
112,10,1
113,8,1
114,6,0
115,3,0
116,9,1
117,5,1
118,5,0
119,6,0
120,5,0
121,6,1
122,6,0
123,2,0
124,0,0
125,6,0
126,9,1
127,3,0
128,11,2
129,17,1
130,4,0
131,11,1
132,10,1
133,6,0
134,8,1
135,8,0
136,2,1
137,4,0
138,6,0
139,6,1
140,7,0
141,4,0
142,4,0
143,4,0
144,0,0
145,6,1
146,4,0
147,7,0
148,7,0
149,10,1
150,4,0
151,11,1
152,7,0
153,4,1
154,4,0
155,1,0
156,5,0
157,11,1
158,6,0
159,9,1
160,4,0
161,0,0
162,7,0
163,6,0
164,8,1
165,7,0
166,9,1
167,2,0
168,6,0
169,12,1
170,4,0
171,7,0
172,3,1
173,0,0
174,5,0
175,7,1
176,5,0
177,0,0
178,2,0
179,2,0
180,7,0
181,2,1
182,7,0
183,5,0
184,5,0
185,3,0
186,6,1
187,6,0
188,5,1
189,4,0
190,9,0
191,7,1
192,6,0
193,1,0
194,6,1
195,3,0
196,4,0
197,8,0
198,8,0
199,4,1
200,5,0
201,0,0
202,4,0
203,19,2
204,2,0
205,9,1
206,1,0
207,16,1
208,9,1
209,2,0
210,6,0
211,0,0
212,3,0
213,4,1
214,1,0
215,10,0
216,2,0
217,9,2
218,10,0
219,4,1
220,4,0
221,4,0
222,7,0
223,2,0
224,5,0
225,8,1
226,6,1
227,4,0
228,6,0
229,4,0
230,4,1
231,3,0
232,10,1
233,2,0
234,5,0
235,4,0
236,11,1
237,6,0
238,9,1
239,9,0
240,6,0
241,2,1
242,23,2
243,6,0
244,8,1
245,7,0
246,2,0
247,6,0
248,4,0
249,17,1
250,3,1
251,8,0
252,1,0
253,9,1
254,7,0
255,6,0
256,2,0
257,5,1
258,6,0
259,5,0
260,4,0
261,4,0
262,1,0
263,10,1
264,6,0
265,7,1
266,2,0
267,4,0
268,5,0
269,9,1
270,5,0
271,4,1
272,9,0
273,6,0
274,4,1
275,6,0
276,5,0
277,4,0
278,10,1
279,9,0
280,6,1
281,9,1
282,0,0
283,7,0
284,5,0
285,6,1
286,5,0
287,9,0
288,4,0
289,6,1
290,2,0
291,2,0
292,3,0
293,10,1
294,2,0
295,6,0
296,8,0
297,3,1
298,4,0
299,6,0
300,6,0
301,4,1
302,8,0
303,9,1
304,5,0
305,8,0
306,23,3
307,5,0
308,5,1
309,5,0
310,6,0
311,6,0
312,5,1
313,16,2
314,7,0
315,6,0
316,4,1
317,5,0
318,5,1
319,2,0
320,4,0
321,12,3
322,9,0
323,10,0
324,2,0
325,8,1
326,7,0
327,2,0
328,3,0
329,2,0
330,2,1
331,6,0
332,6,0
333,4,0
334,2,1
335,4,0
336,2,0
337,6,0
338,5,0
339,8,1
340,3,0
341,6,0
342,5,0
343,25,5
344,3,0
345,8,1
346,7,0
347,8,0
348,9,1
349,8,1
350,2,0
351,7,0
352,8,1
353,12,2
354,4,0
355,6,0
356,7,1
357,4,0
358,2,0
359,10,1
360,4,0
361,0,0
362,17,1
363,3,0
364,9,1
365,6,0
366,9,1
367,6,0
368,0,0
369,4,0
370,21,2
371,4,0
372,9,1
373,7,0
374,6,0
375,20,5
376,20,5
377,20,5
378,20,4
379,20,4
380,20,5
381,20,5
382,20,4
383,20,5
384,20,4
385,20,5
386,20,5
387,20,5
388,20,5
389,20,4
390,20,5
391,20,4
392,20,5
393,20,5
394,20,4
395,20,4
396,20,5
397,20,5
398,20,5
399,20,4
400,20,5
401,20,4
402,20,5
403,20,5
404,20,4
405,20,5
406,20,5
407,20,4
408,20,5
409,20,4
410,20,5
411,20,5
412,20,4
413,20,5
414,20,5
415,20,4
416,20,5
417,20,5
418,20,4
419,20,4
420,20,5
421,20,5
422,20,5
423,20,4
424,20,5
425,20,5
426,20,4
427,20,5
428,20,5
429,20,5
430,20,4
431,20,4
432,20,5
433,20,5
434,20,6
435,20,7
436,20,9
437,20,5
438,20,5
439,20,4
440,20,4
441,20,5
442,20,5
443,20,4
444,20,5
445,20,5
446,20,5
447,20,4
448,20,5
449,20,4
450,20,5
451,20,5
452,20,4
453,20,5
454,20,5
455,20,4
456,20,5
457,20,5
458,20,4
459,20,5
460,20,5
461,20,5
462,20,4
463,20,4
464,20,5
465,20,5
466,20,5
467,20,4
468,20,4
469,20,5
470,20,5
471,20,4
472,20,5
473,20,4
474,20,5
475,20,6
476,20,4
477,20,4
478,20,5
479,20,5
480,20,4
481,20,5
482,20,5
483,20,4
484,20,5
485,20,4
486,20,4
487,20,6
488,20,4
489,20,5
490,20,4
491,20,5
492,20,5
493,20,4
494,20,5
495,20,5
496,20,4
497,20,5
498,20,5
499,20,4
