TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,8,0,0.35,8.35,0
1,7,0,0.35,7.8,1
2,8,0,0.3,8.3,0
3,2,0,0.0,2.0999999999999996,0
4,9,0,0.45,10.1,0
5,0,0,0.0,0.0,0
6,5,0,0.6,5.6,1
7,2,0,0.0,2.2,0
8,6,0,0.25,6.8,0
9,6,0,0.0,6.65,0
10,2,0,0.1,2.1,0
11,5,0,0.25,5.25,0
12,4,0,0.1,4.75,0
13,4,0,0.1,4.75,1
14,11,0,0.35,12.0,0
15,10,0,0.3,11.500000000000002,0
16,0,0,0.0,0.0,0
17,6,0,0.5,6.5,1
18,7,0,0.4,7.4,0
19,1,0,0.05,1.0499999999999998,0
20,7,0,0.25,7.950000000000001,0
21,12,0,0.35,12.35,1
22,6,0,0.65,6.65,0
23,7,0,0.3,7.8999999999999995,1
24,8,0,0.0,9.0,0
25,8,0,0.2,8.55,0
26,2,0,0.0,2.2,0
27,5,0,0.2,5.6000000000000005,1
28,13,0,0.65,13.65,0
29,5,0,0.35,5.35,0
30,2,0,0.0,2.7,0
31,14,0,0.7,14.7,1
32,7,0,0.25,7.950000000000001,0
33,13,0,0.7,13.7,0
34,4,0,0.0,4.2,1
35,7,0,0.3,7.95,0
36,2,0,0.0,2.15,0
37,21,0,0.2,21.2,3
38,2,0,0.0,2.7,0
39,2,0,0.1,2.0999999999999996,0
40,1,0,0.05,1.0499999999999998,0
41,26,0,0.6,26.599999999999998,2
42,16,0,0.0,17.0,1
43,3,0,0.05,3.4,1
44,5,0,0.15,5.15,0
45,15,0,0.35,16.6,0
46,0,0,0.0,0.0,0
47,4,0,0.35,4.7,0
48,1,0,0.05,1.05,1
49,1,0,0.05,1.05,0
50,8,0,0.35,8.35,0
51,6,0,0.35,6.35,0
52,2,0,0.0,2.7,0
53,7,0,0.4,7.3999999999999995,1
54,10,0,0.6,11.3,0
55,7,0,0.35,7.35,0
56,6,0,0.0,7.2,1
57,5,0,0.35,6.0,0
58,8,0,0.35,8.899999999999999,0
59,13,0,0.6,14.249999999999998,1
60,7,0,0.7,7.7,0
61,6,0,0.25,6.6,0
62,7,0,0.5,8.2,0
63,7,0,0.35,7.35,1
64,2,0,0.0,2.2,0
65,10,0,0.2,11.5,0
66,3,0,0.05,3.75,1
67,7,0,0.25,7.950000000000001,0
68,4,0,0.3,4.3,0
69,6,0,0.4,7.05,0
70,4,0,0.35,4.7,1
71,4,0,0.0,4.25,0
72,7,0,0.35,7.35,0
73,4,0,0.2,4.2,0
74,6,0,0.3,6.3,0
75,2,0,0.0,2.15,0
76,2,0,0.1,2.0999999999999996,1
77,14,0,0.7,14.7,0
78,7,0,0.7,7.7,0
79,6,0,0.0,6.35,0
80,7,0,0.6,7.6,1
81,0,0,0.0,0.0,0
82,5,0,0.35,5.35,0
83,10,0,0.25,10.9,0
84,2,0,0.0,2.7,0
85,14,0,0.65,14.65,1
86,3,0,0.2,3.1999999999999997,0
87,5,0,0.65,5.65,0
88,12,0,0.7,12.7,0
89,7,0,0.25,7.950000000000001,1
90,4,0,0.1,4.1,0
