TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,6,0.0,6.0,6
1,5,2,0.0,6.219,4
2,4,3,0.0,4.761000000000001,3
3,2,0,0.0,2.6899999999999995,2
4,5,0,0.764,5.764,2
5,3,0,0.673,3.673,1
6,5,0,0.365,5.365,1
7,8,0,0.883,8.883,2
8,6,0,0.715,6.715,1
9,5,0,0.357,6.014,1
10,15,4,0.454,15.454,3
11,5,0,0.397,6.162000000000001,1
12,6,0,0.879,6.879,0
13,6,3,0.365,6.365,1
14,8,0,0.0,9.218999999999998,1
15,14,9,0.357,14.357,2
16,2,0,0.512,2.5119999999999996,0
17,0,0,0.0,0.0,0
18,6,2,0.0,7.727,1
19,5,0,0.555,5.555,1
20,3,0,0.227,4.399000000000001,1
21,5,4,0.21,5.21,0
22,4,0,0.48,5.172000000000001,0
23,6,2,0.0,7.5409999999999995,2
24,7,0,0.987,7.987,1
25,0,0,0.0,0.0,0
26,6,0,0.847,6.8469999999999995,1
27,7,0,0.525,8.215,0
28,5,3,0.512,5.5120000000000005,1
29,5,0,0.0,5.692,0
30,6,0,0.725,6.725,0
31,3,0,0.365,3.3649999999999998,1
32,1,0,0.243,1.2429999999999999,0
33,2,0,0.0,2.567,0
34,15,0,0.791,16.633000000000003,3
35,5,2,0.0,5.365,0
36,0,0,0.0,0.0,0
37,6,2,0.0,8.559000000000001,1
38,7,0,0.441,9.871,1
39,3,0,0.243,3.9329999999999994,0
40,3,0,0.0,3.557,0
41,10,1,0.688,10.687999999999999,1
42,4,1,0.359,5.142,0
43,3,3,0.0,3.0,1
44,6,1,0.69,6.6899999999999995,1
45,8,0,0.648,9.337999999999997,1
46,8,0,0.692,8.692,0
47,4,0,0.893,4.893,1
48,7,5,0.525,7.525,0
49,3,1,0.0,3.9040000000000004,1
50,1,0,0.243,1.2429999999999999,0
51,8,2,0.657,8.657,1
52,2,0,0.0,2.365,0
53,0,0,0.0,0.0,0
54,8,0,0.176,8.879999999999999,1
55,6,0,0.0,7.2749999999999995,1
56,7,0,0.971,7.971,1
57,5,0,0.692,5.692,0
58,12,10,0.0,12.604,3
59,4,0,0.48,5.172000000000001,1
60,2,0,0.464,2.464,0
61,8,1,0.896,9.661,1
62,2,0,0.0,3.219,0
63,11,5,0.704,11.704,1
64,8,7,0.198,8.198,0
65,8,1,0.988,8.988,1
66,2,0,0.464,2.464,0
67,13,0,0.793,14.594,2
68,9,1,0.92,9.92,0
69,6,0,0.0,6.879,1
70,6,0,0.0,6.737,0
71,5,0,0.0,6.3340000000000005,1
72,5,0,0.692,5.692,0
73,5,0,0.79,5.79,1
74,8,2,0.777,8.777000000000001,1
75,0,0,0.0,0.0,0
76,16,0,0.0,17.83,3
77,3,0,0.243,4.136,0
78,3,1,0.0,3.692,1
79,5,0,0.692,5.692,0
80,13,0,0.934,14.699,3
81,4,1,0.282,4.282,0
82,8,0,0.357,9.093,1
83,4,0,0.0,5.5,1
84,5,0,0.0,5.994,1
85,1,0,0.243,1.2429999999999999,0
86,5,2,0.417,6.284,0
87,4,0,0.0,5.263999999999999,1
88,5,0,0.63,5.63,1
89,2,0,0.0,2.69,0
90,4,0,0.0,4.622,1
91,9,0,0.733,10.423,1
92,2,0,0.0,2.921,1
93,1,0,0.243,1.2429999999999999,0
94,13,2,0.335,14.065,2
95,8,0,0.624,8.624,1
96,3,0,0.243,3.9329999999999994,0
97,0,0,0.0,0.0,0
98,8,0,0.0,10.224,1
99,12,8,0.968,12.968,0
100,6,0,0.692,6.692,1
101,11,0,0.807,12.533000000000001,2
102,5,0,0.0,6.219,1
103,25,2,0.864,26.545,6
104,6,1,0.854,6.854,0
105,19,0,0.63,20.395,3
106,7,3,0.955,7.955,1
107,9,1,0.957,9.957,1
108,12,5,0.581,12.581,1
109,2,0,0.0,2.8289999999999997,1
110,1,0,0.243,1.2429999999999999,0
111,6,0,0.879,6.879,1
112,6,6,0.0,6.0,0
113,8,0,0.807,8.807,1
114,4,0,0.0,4.692,0
115,9,9,0.0,9.0,0
116,5,0,0.397,7.082999999999999,0
117,12,1,0.0,13.633,3
118,5,0,0.692,5.692,0
119,2,0,0.0,3.1719999999999997,1
120,1,0,0.21,1.21,0
121,6,0,0.748,6.747999999999999,1
122,4,0,0.0,4.737,1
123,9,2,0.0,9.63,1
124,4,0,0.652,4.652,1
125,8,4,0.227,8.707,0
126,7,0,0.939,8.7,2
127,8,0,0.807,8.807,1
128,2,0,0.0,2.198,0
129,10,5,0.705,10.705,1
130,0,0,0.0,0.0,0
131,5,0,0.942,5.942,1
132,2,0,0.0,2.652,1
133,5,1,0.948,6.596,0
134,5,5,0.0,5.0,0
135,2,0,0.198,2.198,1
136,5,0,0.91,5.91,0
137,4,0,0.0,4.888,0
138,4,0,0.198,4.888,1
139,10,6,0.777,10.777000000000001,0
140,10,2,0.91,11.407,1
141,0,0,0.0,0.0,0
142,6,0,0.905,6.905,1
143,7,0,0.7,7.7,2
144,1,0,0.243,1.2429999999999999,0
145,7,0,0.764,8.647,1
146,12,0,0.752,12.751999999999999,2
147,6,5,0.243,6.243,0
148,7,0,0.828,8.706,1
149,8,0,0.0,9.611,1
150,8,0,0.803,9.713999999999999,2
151,2,0,0.0,2.893,0
152,5,0,0.292,6.112,1
153,10,4,0.91,10.910000000000002,1
154,5,0,0.692,5.692,0
155,2,0,0.0,3.1719999999999997,0
156,10,3,0.924,10.924,1
157,7,2,0.775,7.775,1
158,10,6,0.197,11.248999999999999,1
159,4,0,0.0,4.276,1
160,7,4,0.572,7.572,1
161,2,0,0.0,2.365,0
162,21,0,0.318,21.317999999999998,5
163,2,0,0.0,3.1719999999999997,1
164,2,0,0.464,2.464,0
165,1,0,0.21,1.21,0
166,26,0,0.987,26.987000000000002,7
167,16,0,0.0,17.349,2
168,3,0,0.44,4.330000000000001,1
169,4,1,0.365,4.365,0
170,14,4,0.624,14.624,1
171,0,0,0.0,0.0,0
172,4,0,0.48,5.172,0
173,1,0,0.268,1.268,0
174,1,0,0.243,1.2429999999999999,0
175,7,1,0.909,7.909,1
176,6,0,0.242,6.242,0
177,2,0,0.0,3.1719999999999997,0
178,6,1,0.68,6.68,0
179,9,3,0.64,9.64,1
180,7,0,0.868,7.867999999999999,0
181,6,0,0.0,8.115,1
182,5,0,0.648,6.413,0
183,7,1,0.909,8.578,0
184,12,4,0.357,12.911999999999999,2
185,5,5,0.0,5.0,0
186,5,1,0.527,6.219,0
187,7,2,0.715,7.715,0
188,7,0,0.792,7.792,1
189,2,0,0.0,2.8870000000000005,0
190,10,2,0.312,11.078,4
191,3,2,0.243,3.243,1
192,7,2,0.753,7.753,0
193,4,0,0.342,4.3420000000000005,1
194,6,0,0.688,7.453000000000001,1
195,4,0,0.48,5.172,0
196,3,1,0.0,3.7549999999999994,0
197,7,0,0.939,7.939,0
198,4,0,0.652,4.652,1
199,6,0,0.816,6.816,0
200,2,0,0.0,2.365,0
201,2,0,0.44,2.44,0
202,6,3,0.583,6.583000000000001,1
203,7,5,0.69,7.6899999999999995,0
204,5,1,0.0,5.939,0
205,6,1,0.766,6.766,0
206,0,0,0.0,0.0,0
207,5,0,0.692,5.692,1
208,10,5,0.263,10.263,0
209,2,0,0.0,3.1719999999999997,0
210,10,4,0.252,10.251999999999999,1
211,3,0,0.616,3.616,0
212,5,0,0.63,5.63,0
213,10,9,0.278,10.278,1
214,7,2,0.916,7.916,0
215,3,1,0.464,3.464,1
216,5,0,0.967,5.9670000000000005,0
217,2,0,0.0,2.692,0
218,2,0,0.0,2.8870000000000005,0
219,8,2,0.729,8.729000000000003,1
220,10,0,0.0,10.667,1
221,6,6,0.0,6.0,0
222,2,2,0.0,2.0,0
223,7,5,0.464,7.464,0
224,12,1,0.657,12.657,1
225,6,1,0.692,6.692,0
226,2,0,0.0,2.198,0
227,2,0,0.0,2.771,1
228,4,0,0.0,4.764000000000001,1
229,2,0,0.0,3.1719999999999997,0
230,7,1,0.317,8.189,2
231,13,1,0.905,13.905000000000001,2
232,7,0,0.803,7.803,1
233,5,4,0.0,5.315,0
234,9,0,0.803,10.493,1
235,10,5,0.0,10.884,1
236,4,1,0.243,4.9350000000000005,0
