TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,6,0.0,6.0,0
1,4,2,0.0,6.997,0
2,4,3,0.0,4.997,0
3,2,0,0.0,2.968,13
4,5,0,0.974,5.974,0
5,3,0,0.986,3.9859999999999998,0
6,4,1,0.999,5.999,0
7,8,0,0.999,8.999,0
8,6,0,0.988,6.9879999999999995,0
9,5,0,0.913,6.9110000000000005,0
10,15,4,0.913,15.913,0
11,5,0,0.913,6.91,0
12,6,0,0.999,6.9990000000000006,0
13,6,3,0.999,6.9990000000000006,0
14,8,0,0.0,9.997000000000002,0
15,13,8,0.913,13.913,0
16,2,0,0.992,2.992,0
17,0,0,0.0,0.0,0
18,6,2,0.0,7.9959999999999996,1
19,5,0,1.0,6.0,0
20,3,0,0.998,5.995,1
21,5,4,0.998,5.997999999999999,0
22,4,0,0.999,5.997,0
23,6,2,0.0,7.972000000000001,2
24,7,0,0.999,7.9990000000000006,2
25,0,0,0.0,0.0,0
26,6,0,0.952,6.952,1
27,7,0,0.999,8.966999999999999,1
28,5,3,0.0,5.992,0
29,5,0,0.0,5.998,1
30,6,0,0.998,6.998,0
31,3,0,0.999,3.999,0
32,1,0,0.998,1.998,0
33,2,0,0.0,2.979,0
34,15,0,0.913,16.681,0
35,5,2,0.0,5.968,0
36,0,0,0.0,0.0,0
37,5,4,0.0,5.993999999999998,0
38,7,0,0.984,10.95,0
39,3,0,0.998,4.966,0
40,3,0,0.0,3.9909999999999997,0
41,10,1,0.913,10.913,0
42,4,1,0.984,5.979,0
43,3,3,0.0,3.0,0
44,5,1,1.0,7.0,0
45,7,0,0.999,8.967,0
46,8,0,0.998,8.998000000000001,0
47,4,0,0.99,4.99,0
48,7,5,0.999,7.999,0
49,3,1,0.0,4.0,0
50,1,0,0.998,1.998,0
51,8,2,0.999,8.998999999999999,0
52,2,0,0.0,2.999,0
53,0,0,0.0,0.0,0
54,8,0,0.982,9.973,0
55,6,0,0.0,7.967,0
56,7,0,0.953,7.953,0
57,5,0,0.998,5.998,0
58,11,0,0.986,12.986,0
59,4,0,0.999,5.997,0
60,2,0,0.992,2.992,0
61,8,1,0.991,9.988,0
62,2,0,0.0,3.997,15
63,9,3,0.999,9.998999999999999,0
64,8,6,0.968,8.968,0
65,8,1,0.999,8.998999999999999,0
66,2,0,0.992,2.992,0
67,13,0,0.913,14.043999999999999,0
68,9,1,0.995,9.995000000000001,0
69,6,0,0.0,6.9990000000000006,0
70,6,0,0.0,6.999,0
71,5,0,0.0,6.966,0
72,5,0,0.998,5.998,0
73,5,0,1.0,6.0,0
74,8,2,0.854,8.854,0
75,0,0,0.0,0.0,0
76,16,0,0.0,17.963,0
77,3,0,0.998,4.988,0
78,3,1,0.0,3.9979999999999993,0
79,5,0,0.998,5.998,0
80,13,0,0.913,14.91,0
81,4,1,0.999,4.9990000000000006,0
82,8,0,0.913,9.681000000000001,0
83,4,0,0.0,5.975,0
84,5,0,0.0,6.890000000000001,0
85,1,0,0.998,1.998,0
86,5,2,0.984,6.978,0
87,4,0,0.0,5.997,0
88,5,0,0.968,5.968,0
89,2,0,0.0,2.968,0
90,4,0,0.0,4.996,0
91,9,0,1.0,10.968,0
92,2,0,0.0,3.0,15
93,1,0,0.998,1.998,0
94,13,2,0.913,14.682,0
95,8,0,0.997,8.997,0
96,3,0,0.998,4.966,0
97,0,0,0.0,0.0,0
98,12,12,0.0,12.0,0
99,11,7,1.0,12.0,0
100,6,0,0.998,6.998,0
101,11,0,0.913,12.89,0
102,5,0,0.0,6.997,0
103,25,2,0.998,26.989,0
104,6,1,0.998,6.998,0
105,14,0,0.689,14.689,0
106,7,3,0.999,7.999,0
107,9,1,1.0,10.0,0
108,12,11,0.984,12.984,0
109,2,0,0.0,3.0,0
110,1,0,0.998,1.998,0
111,6,0,0.999,6.9990000000000006,0
112,6,6,0.0,6.0,0
113,8,0,0.913,8.913,0
114,4,0,0.0,4.998,0
115,9,9,0.0,9.0,0
116,5,0,0.984,7.973999999999999,16
117,12,1,0.0,13.681000000000001,0
118,5,0,0.998,5.998,0
119,2,0,0.0,3.997,0
120,1,0,0.998,1.998,0
121,6,0,0.997,6.997,0
122,4,0,0.0,4.999,0
123,9,2,0.0,9.976999999999999,0
124,4,0,0.988,4.9879999999999995,0
125,8,0,0.998,8.998,0
126,7,0,0.999,8.995999999999999,0
127,8,0,0.913,8.913,0
128,2,0,0.0,2.996,0
129,10,5,0.984,10.984,0
130,0,0,0.0,0.0,0
131,5,0,0.913,5.913,0
132,2,0,0.0,2.9879999999999995,0
133,6,1,0.968,6.968,0
134,5,5,0.0,5.0,0
135,2,0,0.996,2.996,0
136,5,0,1.0,5.999999999999999,0
137,4,0,0.0,5.964,0
138,4,0,0.996,5.9639999999999995,0
139,10,6,0.974,10.974,0
140,10,2,0.997,10.997,0
141,0,0,0.0,0.0,0
142,6,0,0.913,6.912999999999999,0
143,7,0,1.0,7.999999999999999,0
144,1,0,0.998,1.998,0
145,7,0,0.974,8.97,0
146,12,0,0.768,12.768,0
147,6,0,0.968,6.968,0
148,7,0,0.996,8.909,0
149,8,0,0.0,9.968,15
150,7,1,0.986,9.986,1
151,2,0,0.0,2.99,0
152,5,0,0.913,6.91,0
153,10,4,1.0,11.0,0
154,5,0,0.998,5.998,0
155,2,0,0.0,3.997,0
156,10,3,0.998,10.998000000000001,0
157,7,2,1.0,8.0,0
158,10,8,0.998,11.997,0
159,4,0,0.0,4.913,0
160,7,4,0.999,7.999,0
161,2,0,0.0,2.999,0
162,21,0,0.999,21.999000000000002,0
163,2,0,0.0,3.997,0
164,2,0,0.992,2.992,0
165,1,0,0.998,1.998,0
166,26,0,0.689,26.689,0
167,13,0,0.913,14.880999999999998,16
168,3,0,0.984,4.9799999999999995,0
169,4,1,0.999,4.9990000000000006,0
170,14,4,0.997,14.997,0
171,0,0,0.0,0.0,0
172,4,0,0.999,5.997,0
173,1,0,0.998,1.998,0
174,1,0,0.998,1.998,0
175,7,1,0.913,7.913,0
176,6,0,0.999,6.9990000000000006,0
177,2,0,0.0,3.997,0
178,6,1,0.999,6.9990000000000006,0
179,9,3,0.997,9.997,0
180,7,0,0.995,7.995,0
181,8,0,0.953,10.91,0
182,7,0,0.621,7.621,0
183,7,1,0.913,8.91,0
184,12,3,0.913,13.534,0
185,5,5,0.0,5.0,0
186,5,1,0.999,6.997,0
187,7,2,0.998,7.998,0
188,7,0,1.0,8.0,0
189,2,0,0.0,2.9559999999999995,0
190,10,2,0.0,11.897,0
191,3,2,0.998,3.998,0
192,7,2,0.994,7.994,0
193,4,0,0.968,4.968,0
194,6,0,1.0,7.997,0
195,4,0,0.999,5.997,0
196,3,1,0.0,3.9939999999999998,0
197,7,0,0.999,7.999,0
198,4,0,0.988,4.9879999999999995,0
199,6,0,0.999,6.9990000000000006,0
200,2,0,0.0,2.999,0
201,2,0,1.0,3.0,0
202,6,3,0.998,6.997999999999999,0
203,7,5,0.968,7.968,0
204,5,1,0.0,5.9990000000000006,0
205,6,1,0.984,6.984,0
206,0,0,0.0,0.0,0
207,5,0,0.998,5.998,0
208,10,7,0.913,10.913,0
209,2,0,0.0,3.997,0
210,10,4,0.913,10.913,0
211,3,0,0.999,3.999,0
212,5,0,0.968,5.968,0
213,9,9,0.982,10.982,0
214,7,2,0.978,7.978,0
215,3,1,0.992,3.992,0
216,5,0,0.986,5.986,0
217,2,0,0.0,2.998,15
218,2,0,0.0,2.9559999999999995,0
219,8,2,0.854,8.854000000000001,0
220,10,0,0.0,10.999,0
221,6,6,0.0,6.0,0
222,2,2,0.0,2.0,0
223,6,0,0.998,6.998,0
224,12,1,0.997,12.997,0
225,6,1,0.998,6.998,0
226,2,0,0.0,2.996,0
227,2,0,0.0,2.9960000000000004,0
228,4,0,0.0,5.0,0
229,2,0,0.0,3.997,0
230,6,1,0.913,8.909,0
231,13,1,0.913,13.913,0
232,7,0,0.998,7.998000000000001,0
233,5,4,0.0,5.999,0
234,9,0,0.998,10.966,0
235,9,4,0.0,10.0,0
236,4,1,0.998,5.9959999999999996,0
237,11,0,0.944,11.943999999999999,0
238,7,1,0.999,7.999,0
239,5,1,1.0,6.0,0
240,5,0,0.984,6.9719999999999995,0
241,10,0,0.913,11.825999999999999,0
242,6,0,1.0,7.0,0
243,5,0,0.974,5.974,0
244,6,0,1.0,7.997,0
245,5,2,0.984,6.984,16
246,8,1,0.998,9.998000000000001,0
247,6,0,0.994,7.994,0
248,2,0,0.992,2.992,0
249,0,0,0.0,0.0,0
250,6,0,0.968,6.968,0
251,9,0,0.0,10.881,0
252,3,0,0.984,4.982,0
253,13,0,0.0,15.822000000000001,0
254,18,3,0.991,18.991,0
255,5,0,0.998,5.998,0
256,10,6,1.0,11.0,0
257,9,3,1.0,10.0,0
258,4,4,0.0,3.999999999999999,0
259,7,1,0.998,7.998,0
260,8,0,0.913,8.913,0
261,2,2,0.0,2.0,0
262,4,0,0.998,4.998,0
263,5,4,0.0,5.999,0
264,5,1,0.0,5.977,0
265,7,2,0.913,8.909,0
266,4,3,0.0,4.9990000000000006,0
267,4,0,0.0,5.997,0
268,4,0,0.99,4.99,0
269,0,0,0.0,0.0,0
270,5,5,0.0,5.0,0
271,4,0,0.0,5.994,0
272,7,1,0.998,7.998,0
273,6,1,0.999,7.997,0
274,9,1,0.982,12.883,0
275,4,0,0.0,4.952999999999999,0
276,11,4,0.968,11.968,0
277,6,1,0.998,6.998,0
278,4,0,0.0,4.9990000000000006,0
279,4,0,0.992,5.99,0
280,1,0,0.998,1.998,0
281,6,0,0.968,6.968,0
282,10,3,0.913,10.913,0
283,7,0,1.0,8.0,0
284,7,2,0.984,8.982,16
285,3,1,0.0,3.999,0
286,0,0,0.0,0.0,0
287,6,1,0.999,7.997,0
288,7,6,0.968,7.968,0
289,9,0,0.659,9.658999999999999,0
290,6,2,0.998,6.998,0
291,8,2,0.996,9.985,0
292,2,0,0.0,3.0,0
293,6,0,0.991,7.99,0
294,10,0,0.999,11.997,0
295,4,0,0.99,4.99,0
296,6,6,0.0,6.0,0
297,5,0,0.0,5.913,0
298,0,0,0.0,0.0,0
299,7,0,0.952,8.948,0
300,7,0,0.986,7.986,0
301,5,0,0.998,5.998,0
302,0,0,0.0,0.0,0
303,2,0,0.0,3.997,0
304,2,0,0.0,2.968,0
305,8,4,0.984,10.935,0
306,2,0,0.0,2.953,0
307,7,0,0.913,9.784,0
308,5,0,0.998,5.998,0
309,5,0,0.986,6.984999999999999,0
310,3,0,0.998,4.966,0
311,10,0,0.984,11.897,0
312,7,0,0.902,7.902000000000001,0
313,5,0,0.999,5.999,0
314,4,0,0.0,5.964,0
315,9,0,0.913,9.913,0
316,9,3,1.0,10.0,0
317,7,6,0.0,7.992,0
318,1,0,0.0,2.0,0
319,6,0,0.996,7.964,0
320,3,0,0.984,4.952,0
321,3,1,0.0,3.998,0
322,7,7,0.0,7.0,0
323,9,0,1.0,10.968,0
324,5,0,1.0,6.0,0
325,5,0,0.998,5.998,0
326,0,0,0.0,0.0,0
327,4,0,0.0,5.994,0
328,20,0,0.998,21.966,0
329,2,0,0.0,3.0,0
330,9,0,0.998,10.988999999999999,0
331,1,0,0.998,1.998,0
332,14,5,0.913,15.909,0
333,11,0,0.0,11.913,15
334,2,0,0.992,2.992,0
335,6,0,0.968,6.968,0
336,0,0,0.0,0.0,0
337,3,0,0.999,3.999,0
338,4,0,0.0,5.994,0
339,1,0,0.998,1.998,0
340,9,2,0.999,9.999000000000002,0
341,2,0,1.0,3.0,0
342,8,4,0.984,9.979000000000001,0
343,9,3,0.984,9.984,0
344,4,0,0.0,4.986,0
345,4,0,0.988,4.9879999999999995,0
346,5,4,0.996,5.9959999999999996,0
347,6,1,0.991,6.991,0
348,2,0,0.0,3.997,0
349,5,0,0.999,6.997,0
350,8,0,0.0,9.682,0
351,6,0,0.978,6.978,0
352,5,0,0.998,5.998,0
353,6,6,0.0,6.0,0
354,4,0,0.99,4.99,0
355,4,0,0.0,5.980999999999999,0
356,3,0,0.999,3.999,0
357,12,10,0.994,12.994,0
358,2,0,0.0,2.968,0
359,7,7,0.996,7.996,0
360,4,0,0.999,5.997,0
361,13,0,1.0,14.968,0
362,5,1,0.0,5.998,0
363,8,1,0.999,8.998999999999999,0
364,9,0,0.999,11.957999999999998,0
365,6,6,0.0,6.0,0
366,4,0,0.0,4.998,0
367,22,1,0.0,23.999,16
368,6,0,0.998,8.995000000000001,0
369,7,1,0.995,7.995,0
370,6,1,0.984,7.9830000000000005,0
371,2,0,0.0,2.992,0
372,8,0,0.998,8.998000000000001,0
373,4,0,0.0,4.998,0
374,18,0,0.913,18.913,5
375,3,0,0.999,3.999,0
376,9,1,0.913,9.913,0
377,1,0,0.0,1.913,0
378,8,1,0.999,8.998999999999999,0
379,6,6,0.0,6.0,0
380,5,1,0.996,6.994,0
381,2,0,0.0,2.968,0
382,6,0,0.953,6.952999999999999,0
383,6,1,0.968,6.968,0
384,5,0,0.998,7.954,0
385,4,0,0.0,4.998,0
386,4,0,1.0,5.997999999999999,0
387,1,0,0.998,1.998,0
388,11,0,0.991,13.982,0
389,6,0,0.996,6.996,0
390,7,0,0.994,7.994000000000001,0
391,2,0,0.0,3.997,0
392,5,0,0.998,5.998,0
393,5,0,0.999,5.999,0
394,12,9,0.994,12.994,0
395,5,0,0.913,6.909,0
396,4,0,0.999,5.997,0
397,9,3,0.999,9.999,0
398,6,0,0.997,7.965,0
399,6,0,1.0,7.0,0
400,6,0,0.0,7.997,0
401,5,0,0.999,6.997,0
402,4,0,0.997,4.997,0
403,7,2,0.999,8.997,0
404,9,0,0.903,10.870999999999999,0
405,5,5,0.0,5.0,0
406,9,2,0.661,9.661,0
407,0,0,0.0,0.0,0
408,7,0,1.0,8.0,0
409,5,0,0.999,6.996999999999999,0
410,6,0,0.984,6.984,11
411,6,2,0.956,6.9559999999999995,0
412,8,1,0.999,9.966999999999999,0
413,5,0,0.998,5.998,0
414,6,0,0.968,6.968,0
415,2,0,0.0,3.997,0
416,2,0,0.982,3.9589999999999996,0
417,3,0,0.999,3.999,0
418,11,1,0.913,11.912999999999998,0
419,2,0,0.0,2.996,0
420,5,1,0.999,6.997,0
421,7,7,0.0,7.0,0
422,4,0,0.988,4.9879999999999995,0
423,4,0,1.0,5.995,0
424,6,0,0.998,7.966,0
425,9,0,1.0,10.968,0
426,4,0,0.999,5.997,0
427,8,0,0.984,8.984,0
428,9,3,0.999,10.999,0
429,5,2,0.0,5.9990000000000006,0
430,8,0,1.0,9.968,0
431,28,0,0.913,29.913,0
432,5,0,0.0,6.9959999999999996,0
433,5,0,1.0,6.0,0
434,5,2,0.0,6.682,0
435,6,0,1.0,7.968,0
436,6,0,0.659,6.658999999999999,0
437,5,2,0.984,6.978,0
438,15,3,0.998,16.988999999999997,0
439,8,0,0.999,8.999,0
440,7,2,0.999,7.9990000000000006,0
441,4,0,0.99,4.99,0
442,7,0,1.0,8.0,0
443,5,0,0.998,5.998000000000001,0
444,2,0,0.0,2.968,0
445,5,0,0.978,5.978,0
446,11,3,1.0,12.0,0
447,9,4,0.991,9.991,0
448,9,3,0.0,9.974,0
449,2,0,0.0,3.997,0
450,6,5,0.992,6.992,0
451,7,0,0.998,7.998,0
452,2,0,0.0,2.999,0
453,3,0,0.0,3.9989999999999997,0
454,2,0,0.0,2.999,0
455,7,0,0.995,7.995,16
456,6,0,0.0,7.917999999999999,0
457,5,3,0.0,5.9990000000000006,0
458,5,0,0.998,5.998,0
459,2,0,0.996,2.996,0
460,4,0,0.913,4.912999999999999,0
461,2,0,0.0,3.997,0
462,8,2,1.0,9.0,0
463,5,0,0.998,5.998,0
464,8,0,0.987,9.955,0
465,3,0,0.998,5.995,0
466,6,0,0.893,6.893,0
467,5,0,0.998,5.998,0
468,25,1,0.991,26.991,11
469,3,0,0.978,3.9779999999999998,0
470,7,7,0.0,7.0,0
471,7,4,0.968,7.968,0
472,9,1,0.999,9.998999999999999,1
473,10,4,0.998,11.998000000000001,0
474,8,0,0.995,8.995000000000001,1
475,2,0,0.0,3.997,0
476,8,0,0.998,8.998000000000001,0
477,8,0,0.982,9.895,1
478,13,0,0.984,13.984,1
479,4,0,0.999,4.999,0
480,6,0,0.998,6.998,0
481,7,0,0.999,7.999,1
482,4,0,0.0,5.997,0
483,2,2,0.0,2.0,0
484,10,0,0.913,11.908999999999999,0
485,5,0,0.998,5.998,1
486,0,0,0.0,0.0,0
487,16,1,0.913,16.913,1
488,3,0,0.998,5.995,0
489,9,1,0.994,9.994,0
490,6,4,0.996,6.996,0
491,10,7,0.997,10.997,1
492,6,0,0.998,6.998,0
493,0,0,0.0,0.0,0
494,4,2,0.0,4.9990000000000006,0
495,21,0,0.0,22.904,3
496,4,0,0.0,4.9990000000000006,0
497,9,0,0.991,10.959,0
498,7,3,0.998,7.998,1
499,6,0,0.988,7.9559999999999995,0
