TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,34,0,0.9990840554237366,34.99908405542374,83
1,0,0,0.0,0.0,7
2,0,0,0.0,0.0,6
3,0,0,0.0,0.0,5
4,30,0,0.9164968729019165,31.914636492729187,30
5,0,0,0.0,0.0,4
6,36,0,0.9649304747581482,39.16026246547699,25
7,0,0,0.0,0.0,1
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,3
10,9,0,0.2064405083656311,9.206440508365631,10
11,0,0,0.0,0.0,4
12,0,0,0.0,0.0,4
13,0,0,0.0,0.0,2
14,29,0,1.0,31.99818778038025,16
15,34,0,0.9990840554237366,34.99908405542374,27
16,34,0,0.9990840554237366,34.99908405542374,27
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,4
19,0,0,0.0,0.0,5
20,30,0,0.9164968729019165,31.914636492729187,31
21,0,0,0.0,0.0,3
22,36,0,0.9649304747581482,39.16026246547699,20
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,4
25,0,0,0.0,0.0,2
26,9,0,0.2064405083656311,9.206440508365631,7
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,2
30,29,0,1.0,31.99818778038025,15
31,34,0,0.9990840554237366,34.99908405542374,27
32,34,0,0.9990840554237366,34.99908405542374,31
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,3
35,0,0,0.0,0.0,2
36,30,0,0.9164968729019165,31.914636492729187,17
37,0,0,0.0,0.0,2
38,36,0,0.9649304747581482,39.16026246547699,17
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,4
41,0,0,0.0,0.0,2
42,9,0,0.2064405083656311,9.206440508365631,6
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,29,0,1.0,31.99818778038025,15
47,34,0,0.9990840554237366,34.99908405542374,28
48,34,0,0.9990840554237366,34.99908405542374,40
49,0,0,0.0,0.0,1
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,30,0,0.9164968729019165,31.914636492729187,16
53,0,0,0.0,0.0,1
54,36,0,0.9649304747581482,39.16026246547699,16
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,2
58,9,0,0.2064405083656311,9.206440508365631,7
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,3
62,29,0,1.0,31.99818778038025,25
63,34,0,0.9990840554237366,34.99908405542374,23
64,34,0,0.9990840554237366,34.99908405542374,22
65,0,0,0.0,0.0,1
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,30,0,0.9164968729019165,31.914636492729187,15
69,0,0,0.0,0.0,2
70,36,0,0.9649304747581482,39.16026246547699,30
71,0,0,0.0,0.0,3
72,0,0,0.0,0.0,8
73,0,0,0.0,0.0,6
74,9,0,0.2064405083656311,9.206440508365631,14
75,0,0,0.0,0.0,4
76,0,0,0.0,0.0,1
77,0,0,0.0,0.0,2
78,29,0,1.0,31.99818778038025,14
79,34,0,0.9990840554237366,34.99908405542374,22
80,34,0,0.9990840554237366,34.99908405542374,22
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,1
84,30,0,0.9164968729019165,31.914636492729187,16
85,0,0,0.0,0.0,2
86,36,0,0.9649304747581482,39.16026246547699,14
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,2
90,9,0,0.2064405083656311,9.206440508365631,6
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,29,0,1.0,31.99818778038025,12
95,34,0,0.9990840554237366,34.99908405542374,30
96,0,0,0.0,0.0,2
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
