TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,6,0.0,6.0,7
1,5,2,0.0,6.92,3
2,4,3,0.0,4.99,3
3,2,0,0.0,2.9699999999999998,1
4,5,0,1.0,6.0,2
5,3,0,1.0,4.0,2
6,5,0,0.99,5.99,3
7,8,0,1.0,9.0,2
8,6,0,1.0,7.0,2
9,5,0,1.0,6.99,2
10,15,4,1.0,16.0,5
11,7,0,0.99,8.969999999999999,2
12,6,0,1.0,7.0,2
13,6,3,0.99,6.99,0
14,8,0,0.0,9.920000000000002,2
15,14,7,1.0,15.0,3
16,2,0,0.97,2.9699999999999998,0
17,0,0,0.0,0.0,1
18,6,2,0.0,7.989999999999999,1
19,5,0,1.0,6.0,1
20,3,0,0.9,5.79,1
21,5,4,0.83,5.83,0
22,4,0,0.97,5.89,1
23,6,2,0.0,8.0,2
24,7,0,1.0,8.0,1
25,0,0,0.0,0.0,0
26,6,0,1.0,7.0,1
27,7,0,0.99,8.959999999999999,1
28,5,3,0.97,5.97,0
29,5,0,0.0,5.92,0
30,6,0,1.0,7.0,1
31,3,0,0.99,3.99,0
32,1,0,0.76,1.76,1
33,2,0,0.0,3.0,0
34,15,0,1.0,16.0,3
35,5,2,0.0,6.0,0
36,0,0,0.0,0.0,0
37,4,2,0.0,5.0,1
38,7,0,0.91,10.879999999999999,1
39,3,0,0.76,4.7299999999999995,0
40,3,0,0.0,3.9999999999999996,1
41,10,1,1.0,11.0,1
42,4,1,0.92,5.92,1
43,2,0,0.0,2.0,1
44,6,1,0.99,6.99,1
45,7,0,1.0,8.969999999999999,1
46,8,0,0.92,8.92,1
47,4,0,0.89,4.890000000000001,0
48,7,5,0.99,7.99,1
49,3,1,0.0,3.9999999999999996,0
50,1,0,0.76,1.7599999999999998,1
51,8,2,1.0,9.0,1
52,2,0,0.0,2.9899999999999998,0
53,0,0,0.0,0.0,0
54,8,0,1.0,9.0,2
55,6,0,0.0,7.969999999999999,2
56,7,0,1.0,8.0,1
57,5,0,0.92,5.92,1
58,11,1,1.0,12.98,7
59,4,0,0.97,5.89,0
60,2,0,0.97,2.9699999999999998,1
61,9,1,1.0,10.98,0
62,2,0,0.0,3.9200000000000004,1
63,9,3,0.99,9.99,1
64,8,7,0.97,8.969999999999999,0
65,8,1,1.0,9.0,1
66,2,0,0.97,2.9699999999999998,1
67,13,0,1.0,14.99,2
68,9,1,1.0,10.0,1
69,6,0,0.0,7.0,1
70,6,0,0.0,7.0,1
71,5,0,0.0,6.96,1
72,5,0,0.92,5.92,0
73,5,0,0.99,5.99,1
74,8,2,1.0,9.0,1
75,0,0,0.0,0.0,0
76,16,0,0.0,18.0,4
77,3,0,0.76,4.65,0
78,3,1,0.0,3.92,1
79,5,0,0.92,5.92,1
80,14,0,1.0,15.98,2
81,4,1,1.0,5.0,0
82,9,0,1.0,10.0,1
83,4,0,0.0,6.0,1
84,5,0,0.0,6.999999999999999,0
85,1,0,0.76,1.7599999999999998,0
86,5,2,0.93,6.93,1
87,4,0,0.0,5.9,0
88,5,0,1.0,6.0,1
89,2,0,0.0,2.9699999999999998,0
90,4,0,0.0,4.999999999999999,1
91,9,0,0.99,9.99,1
92,2,0,0.0,4.0,0
93,1,0,0.76,1.7599999999999998,0
94,11,2,1.0,12.0,1
95,8,0,1.0,9.0,1
96,3,0,0.76,4.7299999999999995,0
97,0,0,0.0,0.0,0
98,12,12,0.0,12.0,1
99,11,7,1.0,12.0,1
100,6,0,0.92,6.92,0
101,11,0,1.0,13.0,2
102,5,0,0.0,6.92,0
103,25,2,0.99,26.99,10
104,6,1,0.98,6.98,0
105,17,0,1.0,18.990000000000002,4
106,7,3,1.0,8.0,0
107,9,1,1.0,10.0,1
108,11,10,0.91,11.91,0
109,2,0,0.0,3.0,1
110,1,0,0.76,1.7599999999999998,0
111,6,0,1.0,7.0,0
112,6,6,0.0,6.0,0
113,8,0,1.0,9.0,1
114,4,0,0.0,4.92,0
115,9,9,0.0,9.0,1
116,5,0,0.92,7.909999999999998,1
117,12,1,0.0,14.0,3
118,5,0,0.92,5.92,1
119,2,0,0.0,3.89,0
120,1,0,0.83,1.83,0
121,6,0,1.0,6.999999999999999,1
122,4,0,0.0,5.0,0
123,9,2,0.0,10.0,2
124,4,0,0.98,4.98,0
125,9,8,0.76,9.76,0
126,7,0,1.0,8.99,1
127,8,0,1.0,9.0,0
