TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,6,0.0,6.0,7
1,5,2,0.0,7.0,4
2,4,3,0.0,5.0,1
3,2,0,0.0,2.9799999999999995,2
4,5,0,1.0,6.0,1
5,3,0,1.0,4.0,1
6,5,0,0.99,5.99,1
7,8,0,1.0,9.0,2
8,6,0,0.99,6.99,1
9,5,0,1.0,7.0,1
10,15,4,1.0,16.0,2
11,5,0,1.0,7.0,0
12,6,0,1.0,7.0,1
13,6,3,0.99,6.99,1
14,8,0,0.0,10.0,1
15,13,8,1.0,14.0,2
16,2,0,0.85,2.85,1
17,0,0,0.0,0.0,0
18,6,2,0.0,8.0,1
19,5,0,1.0,6.0,0
20,3,0,0.98,5.98,1
21,5,4,1.0,6.0,0
22,5,0,1.0,6.0,1
23,6,2,0.0,8.0,0
24,7,0,1.0,8.0,1
25,0,0,0.0,0.0,0
26,6,0,1.0,7.0,1
27,7,0,1.0,8.98,0
28,5,3,0.85,5.85,1
29,6,6,0.0,6.0,0
30,6,0,1.0,7.0,1
31,3,0,0.99,3.99,0
32,1,0,1.0,2.0,0
33,2,0,0.0,3.0,1
34,15,0,1.0,16.0,4
35,5,2,0.0,6.0,0
36,0,0,0.0,0.0,0
37,4,2,0.0,5.0,2
38,7,0,1.0,10.98,1
39,3,0,1.0,4.9799999999999995,1
40,3,0,0.0,3.9999999999999996,0
41,10,1,1.0,11.0,1
42,4,1,1.0,6.0,1
43,3,3,0.0,3.0,1
44,6,1,1.0,7.0,1
45,7,0,1.0,8.98,2
46,9,9,0.0,9.0,1
47,4,0,1.0,5.0,0
48,7,5,1.0,8.0,1
49,3,1,0.0,4.0,1
50,1,0,1.0,2.0,0
51,8,2,0.98,8.98,1
52,2,0,0.0,2.99,0
53,0,0,0.0,0.0,0
54,8,0,1.0,9.0,2
55,6,0,0.0,7.9799999999999995,0
56,7,0,1.0,8.0,1
57,5,0,1.0,6.0,0
58,12,10,0.0,12.64,2
