TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,6,0.0,6.0,6
1,8,8,0.0,7.999999999999999,3
2,4,3,0.0,4.975999999999999,2
3,2,0,0.0,2.9879999999999995,1
4,5,0,1.0,6.0,3
5,3,0,0.963,3.963,0
6,5,0,0.999,5.9990000000000006,2
7,8,0,1.0,9.0,2
8,6,0,1.0,7.0,1
9,5,0,1.0,7.0,1
10,15,4,1.0,16.0,2
11,7,0,1.0,8.943999999999999,2
12,6,0,1.0,7.0,2
13,6,3,0.999,6.9990000000000006,0
14,8,0,0.0,9.998,2
15,13,8,1.0,14.0,2
16,2,0,0.972,2.972,1
17,0,0,0.0,0.0,0
18,6,2,0.0,8.0,1
19,5,0,0.99,5.99,1
20,4,0,1.0,5.998,1
21,5,4,1.0,6.0,0
22,5,0,0.998,5.998,1
23,6,2,0.0,7.991999999999999,1
24,7,0,1.0,8.0,1
25,0,0,0.0,0.0,0
26,6,0,1.0,7.0,2
27,7,0,1.0,8.988,1
28,5,3,0.972,5.9719999999999995,0
29,5,0,0.0,5.998,1
30,6,0,0.979,6.979,1
31,3,0,0.999,3.999,0
32,1,0,0.998,1.998,1
33,2,0,0.0,2.985,0
34,15,0,1.0,16.0,4
35,5,2,0.0,6.0,0
36,0,0,0.0,0.0,1
37,4,2,0.0,4.912,1
38,7,0,0.975,10.924999999999999,1
39,3,0,0.998,4.986,0
40,3,0,0.0,3.9989999999999997,1
41,10,1,0.999,10.998999999999999,1
42,4,1,0.989,5.981,1
43,2,0,0.0,2.0,1
44,6,1,1.0,7.0,1
45,7,0,1.0,8.988,1
46,8,0,0.998,8.998000000000001,1
47,4,0,0.999,4.9990000000000006,0
48,7,5,1.0,8.0,1
49,3,1,0.0,4.0,1
50,1,0,0.998,1.998,0
51,8,2,1.0,9.0,1
52,2,0,0.0,2.999,0
53,0,0,0.0,0.0,0
54,8,0,1.0,9.0,1
55,6,0,0.0,7.9879999999999995,2
56,7,0,1.0,8.0,0
57,5,0,0.998,5.998,1
58,11,1,0.986,12.98,2
59,4,0,1.0,5.998,0
60,2,0,1.0,3.0,0
61,9,1,1.0,10.943999999999999,2
62,2,0,0.0,3.998,1
63,9,3,1.0,10.0,0
64,7,3,0.988,7.9879999999999995,1
65,8,1,1.0,9.0,1
66,2,0,1.0,3.0,0
67,13,0,1.0,14.971,2
68,9,1,1.0,10.0,0
69,6,0,0.0,7.0,1
70,6,0,0.0,6.999,0
71,5,0,0.0,6.988,1
72,5,0,0.998,5.998,0
73,5,0,0.999,5.9990000000000006,0
74,8,2,0.96,8.96,1
75,0,0,0.0,0.0,0
76,16,0,0.0,18.0,2
77,3,0,0.998,4.997,0
78,3,1,0.0,3.998,0
79,5,0,0.998,5.998,0
80,14,0,0.897,15.841000000000001,4
81,4,1,1.0,5.0,0
82,9,0,0.998,9.998000000000001,1
83,4,0,0.0,5.998,2
84,5,0,0.0,7.0,0
85,1,0,0.998,1.998,1
86,5,2,0.962,6.962,0
87,4,0,0.0,5.998,1
88,5,0,1.0,6.0,0
89,2,0,0.0,2.988,0
90,4,0,0.0,4.885,1
91,8,0,1.0,9.988,0
92,2,0,0.0,3.0,0
93,1,0,0.998,1.998,0
94,11,2,1.0,12.0,1
95,8,0,0.994,8.994,1
96,3,0,0.998,4.986,0
97,0,0,0.0,0.0,0
98,12,12,0.0,12.0,2
99,9,5,0.828,9.828,1
100,6,0,0.998,6.998,0
101,14,0,0.0,14.996,3
102,5,0,0.0,6.998,1
103,25,2,1.0,26.97,9
104,6,1,1.0,7.0,1
105,17,0,1.0,19.0,3
106,7,3,1.0,8.0,1
107,9,1,1.0,10.0,1
108,12,11,0.95,12.95,1
109,2,0,0.0,3.0,1
110,1,0,0.998,1.998,0
111,6,0,1.0,7.0,1
112,6,6,0.0,6.0,0
113,8,0,1.0,9.0,1
114,4,0,0.0,4.998,1
115,9,9,0.0,9.0,0
116,5,0,0.932,7.927,1
117,12,1,0.0,13.844999999999999,3
118,5,0,0.998,5.998,0
119,2,0,0.0,3.998,1
120,1,0,1.0,2.0,0
121,6,0,0.991,6.991,1
122,4,0,0.0,4.9319999999999995,0
123,9,2,0.0,9.996,1
124,4,0,0.999,4.9990000000000006,0
125,8,0,0.998,8.998,0
126,7,0,1.0,8.975999999999999,0
127,8,0,1.0,9.0,1
128,2,0,0.0,3.0,0
129,10,5,0.975,10.975,0
130,0,0,0.0,0.0,1
131,5,0,1.0,6.0,0
132,2,0,0.0,2.999,0
133,5,1,1.0,6.943,0
134,5,5,0.0,5.0,0
135,2,0,1.0,3.0,1
136,5,0,1.0,6.0,0
137,4,0,0.0,5.9879999999999995,0
138,4,0,1.0,5.9879999999999995,0
139,9,2,0.924,9.924,1
140,10,2,1.0,11.000000000000002,0
141,0,0,0.0,0.0,1
142,6,0,1.0,7.0,0
143,7,0,1.0,8.0,0
144,1,0,0.998,1.998,0
145,7,0,1.0,8.995,1
146,12,0,0.947,12.947,1
147,6,0,0.988,6.9879999999999995,0
148,7,0,0.999,8.998000000000001,0
149,8,0,0.0,9.988,1
150,8,0,0.87,9.870000000000001,1
151,2,0,0.0,2.9989999999999997,0
152,5,0,1.0,6.96,0
153,10,6,1.0,11.0,1
154,5,0,0.998,5.998,0
155,2,0,0.0,3.998,0
156,10,3,1.0,11.0,1
157,7,2,1.0,8.0,0
158,10,8,1.0,12.0,0
159,4,0,0.0,5.0,1
160,7,4,1.0,8.0,0
161,2,0,0.0,2.999,1
162,21,0,1.0,22.0,4
163,2,0,0.0,3.998,2
164,2,0,1.0,3.0,0
165,1,0,1.0,2.0,0
166,26,0,1.0,27.0,5
167,13,0,1.0,14.988,1
168,3,0,0.955,4.955,0
169,4,1,0.999,4.9990000000000006,0
170,13,2,0.994,13.994,1
171,0,0,0.0,0.0,0
172,4,0,1.0,5.998,0
173,1,0,0.999,1.999,1
174,1,0,0.998,1.998,0
175,7,1,1.0,8.0,0
176,6,0,1.0,7.0,0
177,2,0,0.0,3.998,1
178,6,1,0.983,6.983,0
179,9,3,0.969,9.969,0
180,7,0,1.0,8.0,1
181,6,0,0.0,8.958,0
182,5,0,1.0,7.0,1
183,7,1,1.0,8.0,0
184,12,4,1.0,13.0,1
185,5,5,0.0,5.0,0
186,5,1,1.0,6.998,0
187,7,2,1.0,8.0,0
188,7,0,0.996,7.996,1
189,2,0,0.0,2.025,0
190,10,2,1.0,11.986,2
191,3,2,0.998,3.998,0
192,7,2,1.0,8.0,1
193,4,0,1.0,5.0,0
194,6,0,1.0,7.943999999999999,1
195,4,0,1.0,5.998,0
196,3,1,0.0,4.0,0
197,7,0,1.0,8.0,1
198,4,0,0.999,4.999,0
199,6,0,1.0,7.0,0
