TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,33,0,0.43,33.99,62
1,0,0,0.0,0.0,11
2,0,0,0.0,0.0,9
3,0,0,0.0,0.0,0
4,35,0,0.83,36.4,35
5,0,0,0.0,0.0,5
6,36,0,0.3,38.58,30
7,0,0,0.0,0.0,5
8,0,0,0.0,0.0,10
9,0,0,0.0,0.0,0
10,9,0,0.3,9.3,15
11,0,0,0.0,0.0,0
12,0,0,0.0,0.0,0
13,0,0,0.0,0.0,0
14,21,0,0.13,22.72,20
15,33,0,0.43,33.99,20
16,33,0,0.43,33.99,20
17,0,0,0.0,0.0,0
18,0,0,0.0,0.0,0
19,0,0,0.0,0.0,5
20,35,0,0.83,36.4,20
21,0,0,0.0,0.0,2
22,36,0,0.3,38.58,16
23,0,0,0.0,0.0,0
24,0,0,0.0,0.0,7
25,0,0,0.0,0.0,0
26,9,0,0.3,9.3,10
27,0,0,0.0,0.0,0
28,0,0,0.0,0.0,0
29,0,0,0.0,0.0,5
30,21,0,0.13,22.72,10
31,33,0,0.43,33.99,16
32,33,0,0.43,33.99,19
33,0,0,0.0,0.0,5
34,0,0,0.0,0.0,0
35,0,0,0.0,0.0,5
36,35,0,0.83,36.4,20
37,0,0,0.0,0.0,5
38,36,0,0.3,38.58,15
39,0,0,0.0,0.0,0
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,0
42,9,0,0.3,9.3,11
43,0,0,0.0,0.0,4
44,0,0,0.0,0.0,0
45,0,0,0.0,0.0,5
46,21,0,0.13,22.72,16
47,33,0,0.43,33.99,18
48,33,0,0.43,33.99,20
49,0,0,0.0,0.0,3
50,0,0,0.0,0.0,0
51,0,0,0.0,0.0,0
52,35,0,0.83,36.4,22
53,0,0,0.0,0.0,0
54,36,0,0.3,38.58,15
55,0,0,0.0,0.0,0
56,0,0,0.0,0.0,5
57,0,0,0.0,0.0,0
58,9,0,0.3,9.3,6
59,0,0,0.0,0.0,0
60,0,0,0.0,0.0,9
61,0,0,0.0,0.0,0
62,21,0,0.13,22.72,10
63,33,0,0.43,33.99,13
64,33,0,0.43,33.99,17
65,0,0,0.0,0.0,6
66,0,0,0.0,0.0,1
67,0,0,0.0,0.0,2
68,35,0,0.83,36.4,16
69,0,0,0.0,0.0,5
70,36,0,0.3,38.58,20
71,0,0,0.0,0.0,0
72,0,0,0.0,0.0,5
73,0,0,0.0,0.0,5
74,9,0,0.3,9.3,10
75,0,0,0.0,0.0,5
76,0,0,0.0,0.0,5
77,0,0,0.0,0.0,5
78,21,0,0.13,22.72,10
79,33,0,0.43,33.99,16
80,33,0,0.43,33.99,19
81,0,0,0.0,0.0,6
82,0,0,0.0,0.0,0
83,0,0,0.0,0.0,0
84,35,0,0.83,36.4,19
85,0,0,0.0,0.0,5
86,36,0,0.3,38.58,10
87,0,0,0.0,0.0,5
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,2
90,9,0,0.3,9.3,4
91,0,0,0.0,0.0,0
92,0,0,0.0,0.0,0
93,0,0,0.0,0.0,6
94,21,0,0.13,22.72,10
95,33,0,0.43,33.99,15
96,0,0,0.0,0.0,0
97,0,0,0.0,0.0,0
98,0,0,0.0,0.0,5
99,0,0,0.0,0.0,0
