TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,0,0.63,6.63,6
1,9,0,0.0,9.629999999999999,5
2,4,0,0.0,5.120000000000001,3
3,2,0,0.0,2.63,0
4,5,0,0.25,5.25,2
5,3,0,0.15,3.15,2
6,5,0,0.15,5.1499999999999995,2
7,8,0,0.29,8.29,3
8,6,0,0.49,6.49,1
9,5,0,0.49,6.17,1
10,24,0,0.68,24.68,5
11,5,0,0.2,5.83,1
12,6,0,0.3,6.3,2
13,7,0,0.68,7.68,1
14,8,0,0.0,8.59,2
15,15,0,0.54,16.169999999999998,3
16,2,0,0.1,2.1,0
17,0,0,0.0,0.0,1
18,7,0,0.0,7.97,1
19,5,0,0.73,5.73,1
20,3,0,0.05,3.7399999999999998,0
21,7,0,0.63,7.63,1
22,4,0,0.35,4.6899999999999995,1
23,6,0,0.0,7.370000000000001,2
24,7,0,0.34,7.34,1
25,0,0,0.0,0.0,0
26,6,0,0.3,6.3,1
27,7,0,0.25,7.88,2
28,6,0,0.0,6.779999999999999,0
29,5,0,0.0,5.34,1
30,6,0,0.29,6.29,1
31,3,0,0.15,3.15,1
32,1,0,0.05,1.05,0
33,2,0,0.0,2.15,0
34,15,0,0.29,15.729999999999999,2
35,5,0,0.0,5.92,0
36,0,0,0.0,0.0,0
37,6,0,0.0,6.88,1
38,7,0,0.04,8.21,0
39,3,0,0.05,3.6799999999999997,1
40,3,0,0.0,3.39,0
41,11,0,0.49,11.49,1
42,5,0,0.04,5.43,0
43,2,0,0.0,2.0,1
44,6,0,0.24,6.24,0
45,8,0,0.2,8.829999999999998,1
46,8,0,0.34,8.34,0
47,4,0,0.19,4.1899999999999995,0
48,13,0,0.68,13.68,1
49,4,0,0.0,4.3,1
50,1,0,0.05,1.0499999999999996,0
51,8,0,0.49,9.17,1
52,2,0,0.0,2.1499999999999995,0
53,0,0,0.0,0.0,0
54,8,0,0.05,8.44,1
