TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,7,0
1,7,1
2,8,0
3,2,0
4,7,1
5,0,0
6,5,0
7,2,0
8,6,0
9,6,1
10,2,0
11,5,0
12,4,0
13,4,0
14,8,1
15,10,0
16,0,0
17,6,0
18,7,2
19,1,0
20,7,0
21,11,1
22,6,0
23,6,1
24,6,0
25,5,0
26,2,0
27,5,1
28,9,0
29,5,1
30,2,0
31,10,0
32,7,1
33,13,0
34,4,1
35,7,0
36,2,0
37,20,2
38,2,0
39,2,0
40,1,0
41,20,5
42,10,2
43,3,0
44,5,0
45,13,1
46,0,0
47,3,0
48,1,0
49,1,0
50,8,1
51,5,0
52,2,0
53,7,0
54,8,1
55,6,1
56,6,0
57,5,0
58,8,1
59,11,3
60,7,0
61,6,1
62,7,0
63,4,1
64,2,0
65,10,1
66,3,0
67,7,1
68,3,1
69,6,0
70,4,0
71,4,1
72,5,1
73,4,0
74,6,1
75,2,0
76,2,0
77,7,1
78,7,0
79,6,0
80,7,1
81,0,0
82,5,0
83,9,1
84,2,0
85,14,1
86,3,1
87,5,0
88,11,2
89,7,0
90,4,0
91,5,1
92,2,0
93,2,0
94,8,1
95,10,1
96,6,1
97,2,0
98,6,0
99,13,2
100,7,1
101,2,0
102,2,0
103,2,1
104,2,0
105,7,1
106,13,3
107,7,0
108,5,1
109,9,1
110,8,1
111,5,0
112,10,1
113,8,0
114,6,1
115,3,2
116,9,1
117,5,1
118,5,0
119,6,0
120,5,1
121,6,0
122,6,0
123,2,0
124,0,1
125,6,0
126,9,0
127,3,1
128,11,1
129,17,2
130,4,0
131,11,1
132,10,0
133,6,1
134,8,1
135,8,0
136,2,0
137,4,1
138,6,0
139,6,0
140,7,1
141,4,0
142,4,0
143,4,0
144,0,0
145,6,0
146,4,1
147,7,0
148,7,0
149,10,1
150,4,0
151,11,0
152,7,1
153,4,0
154,4,0
155,1,0
156,5,1
157,11,1
158,6,0
159,9,1
160,4,0
161,0,0
162,7,0
163,6,0
164,8,1
165,7,0
166,9,0
167,2,0
168,6,1
169,12,1
170,4,0
171,7,0
172,3,0
173,0,0
174,5,1
175,7,0
176,5,0
177,0,0
178,2,0
179,2,0
180,7,1
181,2,0
182,7,0
183,5,1
184,5,0
185,3,0
186,6,0
187,6,1
188,5,0
189,4,0
190,9,1
191,7,1
192,6,0
193,1,0
194,6,0
195,3,0
196,4,1
197,8,0
198,8,1
199,4,0
200,5,0
201,0,0
202,4,0
203,19,3
204,2,0
205,9,1
206,1,0
207,16,1
208,9,1
209,2,0
210,6,0
211,0,0
212,3,1
213,4,0
214,1,0
215,10,1
216,2,0
217,9,1
218,10,1
219,4,0
220,4,0
221,4,0
222,7,0
223,2,1
224,5,0
225,8,0
226,6,1
227,4,0
228,6,0
229,4,1
230,4,0
231,3,0
232,10,1
233,2,0
234,5,0
235,4,0
236,11,1
237,6,0
238,9,1
239,9,0
240,6,1
241,2,0
242,23,2
243,6,1
244,8,0
245,7,0
246,2,0
247,6,1
248,4,0
249,17,1
250,3,1
251,8,0
252,1,0
253,9,1
254,7,0
255,6,0
256,2,0
257,5,1
258,6,0
259,5,0
260,4,0
261,4,0
262,1,0
263,10,1
264,6,1
265,7,0
266,2,0
267,4,0
268,5,1
269,9,0
270,5,1
271,4,0
272,9,1
273,6,0
274,4,0
275,6,0
276,5,1
277,4,0
278,10,0
279,9,1
280,6,0
281,9,1
282,0,0
283,7,0
284,5,1
285,6,0
286,5,0
287,9,1
288,4,0
289,6,0
290,2,0
291,2,0
292,3,1
293,10,0
294,2,0
295,6,1
296,8,0
297,3,0
298,4,0
299,6,1
300,6,0
301,4,0
302,8,0
303,9,1
304,5,0
305,8,1
306,23,3
307,5,0
308,5,1
309,5,0
310,6,0
311,6,1
312,5,0
313,16,2
314,7,0
315,6,1
316,4,0
317,5,0
318,5,0
319,2,0
320,4,1
321,12,3
322,9,1
323,10,0
324,2,0
325,8,0
326,7,1
327,2,0
328,3,0
329,2,0
330,2,0
331,6,1
332,6,0
333,4,0
334,2,0
335,4,0
336,2,1
337,6,0
338,5,0
339,8,0
340,3,1
341,6,0
342,5,0
343,25,5
344,3,0
345,8,0
346,7,0
347,8,0
348,9,1
349,8,0
350,2,0
351,7,1
352,8,1
353,12,2
354,4,0
355,6,1
356,7,0
357,4,0
358,2,0
359,10,1
360,4,0
361,0,0
362,17,2
363,3,0
364,9,1
365,6,0
366,9,0
367,6,1
368,0,0
369,4,0
370,21,2
371,4,0
372,9,1
373,7,0
374,6,0
375,20,5
376,20,5
377,20,5
378,20,5
379,20,5
380,20,5
381,20,4
382,20,5
383,20,5
384,20,5
385,20,4
386,20,5
387,20,5
388,20,4
389,20,6
390,20,7
391,20,5
392,20,4
393,20,5
394,20,5
395,20,4
396,20,5
397,20,5
398,20,4
399,20,5
400,20,5
401,20,4
402,20,5
403,20,5
404,20,4
405,20,5
406,20,4
407,20,5
408,20,5
409,20,4
410,20,5
411,20,5
412,20,5
413,20,5
414,20,4
415,20,5
416,20,5
417,20,4
418,20,5
419,20,5
420,20,4
421,20,5
422,20,4
423,20,5
424,20,5
425,20,4
426,20,5
427,20,7
428,20,6
429,20,8
430,20,8
431,20,7
432,20,9
433,20,9
434,20,5
435,20,5
436,20,5
437,20,4
438,20,5
439,20,5
440,20,5
441,20,5
442,20,5
443,20,4
444,20,5
445,20,5
446,20,5
447,20,4
448,20,5
449,20,4
450,20,5
451,20,5
452,20,4
453,20,5
454,20,5
455,20,5
456,20,5
457,20,5
458,20,4
459,20,5
460,20,5
461,20,5
462,20,5
463,20,4
464,20,5
465,20,4
466,20,5
467,20,5
468,20,4
469,20,5
470,20,4
471,20,5
472,20,4
473,20,6
474,20,5
475,20,6
476,20,4
477,20,5
478,20,8
479,20,4
480,20,5
481,20,5
482,20,4
483,20,5
484,20,4
485,20,5
486,20,5
487,20,4
488,20,5
489,20,5
490,20,4
491,20,5
492,20,5
493,20,4
494,20,4
495,20,5
496,20,5
497,20,4
498,20,5
499,20,4
