TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,7,1
1,7,0
2,8,1
3,2,0
4,7,0
5,0,0
6,5,1
7,2,0
8,6,0
9,6,0
10,2,0
11,5,0
12,4,1
13,4,0
14,8,0
15,10,1
16,0,0
17,6,0
18,7,1
19,1,0
20,7,4
21,11,1
22,6,0
23,6,1
24,6,0
25,5,0
26,2,0
27,5,1
28,9,0
29,5,0
30,2,1
31,10,0
32,7,1
33,13,0
34,4,1
35,7,0
36,2,0
37,20,2
38,2,0
39,2,0
40,1,0
41,20,5
42,10,1
43,3,1
44,5,0
45,13,0
46,0,0
47,3,1
48,1,0
49,1,0
50,8,1
51,5,0
52,2,0
53,7,1
54,8,0
55,6,1
56,6,0
57,5,1
58,8,0
59,11,1
60,7,0
61,6,1
62,7,0
63,4,0
64,2,0
65,10,1
66,3,0
67,7,1
68,3,0
69,6,0
70,4,0
71,4,1
72,5,0
73,4,0
74,6,1
75,2,0
76,2,0
77,7,0
78,7,1
79,6,0
80,7,0
81,0,0
82,5,0
83,9,1
84,2,0
85,14,1
86,3,0
87,5,0
88,11,1
89,7,0
90,4,0
91,5,1
92,2,0
93,2,0
94,8,0
95,10,1
96,6,0
97,2,1
98,6,0
99,13,1
100,7,1
101,2,0
102,2,0
103,2,0
104,2,0
105,7,1
106,13,2
107,7,0
108,5,1
109,9,0
110,8,1
111,5,0
112,10,0
113,8,1
114,6,0
115,3,0
116,9,1
117,5,0
118,5,1
119,6,0
120,5,0
121,6,1
122,6,0
123,2,0
124,0,0
125,6,0
126,9,1
127,3,1
128,11,1
129,17,2
130,4,0
131,11,1
132,10,1
133,6,0
134,8,1
135,8,1
136,2,0
137,4,0
138,6,0
139,6,1
140,7,0
141,4,0
142,4,1
143,4,0
144,0,0
145,6,0
146,4,0
147,7,1
148,7,0
149,10,0
150,4,2
151,11,0
152,7,0
153,4,1
154,4,0
155,1,0
156,5,0
157,11,1
158,6,0
159,9,1
160,4,0
161,0,0
162,7,0
163,6,1
164,8,0
165,7,0
166,9,1
167,2,0
168,6,0
169,12,1
170,4,0
171,7,0
172,3,0
173,0,0
174,5,1
175,7,0
176,5,1
177,0,0
178,2,0
179,2,0
180,7,0
181,2,0
182,7,1
183,5,0
184,5,0
185,3,0
186,6,1
187,6,0
188,5,1
189,4,0
190,9,1
191,7,0
192,6,0
193,1,1
194,6,0
195,3,0
196,4,0
197,8,0
198,8,1
199,4,1
200,5,0
201,0,0
202,4,0
203,19,2
204,2,0
205,9,1
206,1,0
207,16,1
208,9,1
209,2,0
210,6,0
211,0,0
212,3,1
213,4,0
214,1,0
215,10,0
216,2,1
217,9,1
218,10,1
219,4,0
220,4,0
221,4,0
222,7,0
223,2,1
224,5,0
225,8,0
226,6,1
227,4,0
228,6,0
229,4,1
230,4,0
231,3,0
232,10,1
233,2,0
234,5,0
235,4,0
236,11,1
237,6,0
238,9,1
239,9,1
240,6,0
241,2,0
242,23,2
243,6,1
244,8,0
245,7,1
246,2,0
247,6,0
248,4,0
249,17,2
250,3,0
251,8,0
252,1,1
253,9,0
254,7,0
255,6,1
256,2,0
257,5,0
258,6,0
259,5,0
260,4,0
261,4,1
262,1,0
263,10,1
264,6,0
265,7,0
266,2,1
267,4,0
268,5,0
269,9,1
270,5,0
271,4,0
272,9,1
273,6,0
274,4,0
275,6,1
276,5,0
277,4,0
278,10,0
279,9,1
280,6,1
281,9,0
282,0,0
283,7,1
284,5,0
285,6,0
286,5,0
287,9,1
288,4,0
289,6,0
290,2,0
291,2,1
292,3,0
293,10,1
294,2,0
295,6,0
296,8,0
297,3,0
298,4,1
299,6,0
300,6,0
301,4,0
302,8,1
303,9,1
304,5,0
305,8,1
306,23,2
307,5,1
308,5,0
309,5,1
310,6,0
311,6,0
312,5,1
313,16,1
314,7,1
315,6,0
316,4,0
317,5,1
318,5,0
319,2,0
320,4,0
321,12,3
322,9,1
323,10,0
324,2,1
325,8,0
326,7,0
327,2,1
328,3,0
329,2,0
330,2,0
331,6,1
332,6,0
333,4,0
334,2,0
335,4,0
336,2,0
337,6,1
338,5,0
339,8,0
340,3,1
341,6,0
342,5,0
343,25,5
344,3,0
345,8,1
346,7,0
347,8,0
348,9,1
349,8,1
350,2,0
351,7,0
352,8,1
353,12,2
354,4,0
355,6,0
356,7,1
357,4,0
358,2,0
359,10,1
360,4,0
361,0,0
362,17,2
363,3,0
364,9,1
365,6,0
366,9,0
367,6,1
368,0,0
369,4,0
370,21,2
371,4,0
372,9,1
373,7,0
374,6,0
375,6,0
376,6,1
377,6,0
378,6,0
379,6,0
380,6,0
381,6,0
382,6,0
383,6,0
384,6,0
385,6,0
386,6,0
387,6,1
388,6,0
389,6,0
390,6,0
391,6,0
392,6,0
393,6,0
394,6,0
395,6,0
396,6,0
397,6,1
398,6,0
399,6,0
400,6,0
401,6,0
402,6,0
403,6,0
404,6,0
405,6,0
406,6,0
407,6,1
408,6,0
409,6,0
410,6,0
411,6,0
412,6,0
413,6,0
414,6,0
415,6,0
416,6,0
417,6,0
418,6,1
419,6,0
420,6,0
421,6,0
422,6,0
423,6,0
424,6,0
425,6,0
426,6,0
427,6,0
428,6,1
429,6,0
430,6,0
431,6,0
432,6,0
433,6,0
434,6,0
435,6,0
436,6,0
437,6,0
438,6,0
439,6,1
440,6,0
441,6,0
442,6,0
443,6,0
444,6,0
445,6,0
446,6,0
447,6,0
448,6,0
449,6,1
450,6,0
451,6,0
452,6,0
453,6,0
454,6,0
455,6,0
456,6,0
457,6,0
458,6,0
459,6,1
460,6,0
461,6,0
462,6,0
463,6,0
464,6,0
465,6,0
466,6,3
467,6,0
468,6,0
469,6,1
470,6,0
471,6,0
472,6,0
473,6,0
474,6,0
475,6,0
476,6,0
477,6,0
478,6,1
479,6,0
480,6,0
481,6,0
482,6,0
483,6,0
484,6,0
485,6,0
486,6,0
487,6,0
488,6,0
489,6,1
490,6,0
491,6,0
492,6,0
493,6,0
494,6,0
495,6,0
496,6,0
497,6,0
498,6,0
499,6,0
