TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,8,0,0.23,8.229999999999999,0
1,7,0,0.3,7.58,0
2,8,0,0.28,8.280000000000001,1
3,2,0,0.0,2.01,0
4,9,0,0.37,9.819999999999999,1
5,0,0,0.0,0.0,0
6,5,0,0.58,5.58,0
7,2,0,0.0,2.1,0
8,6,0,0.23,6.540000000000001,1
9,6,0,0.0,6.45,0
10,2,0,0.01,2.01,0
11,5,0,0.09,5.089999999999999,0
12,4,0,0.01,4.46,0
13,4,0,0.01,4.46,0
14,11,0,0.28,11.73,1
15,10,0,0.27,11.149999999999999,1
16,0,0,0.0,0.0,0
17,6,0,0.47,6.47,0
18,7,0,0.26,7.26,0
19,1,0,0.01,1.0099999999999998,0
20,7,0,0.11,7.78,1
21,12,0,0.29,12.29,1
22,6,0,0.45,6.45,0
23,7,0,0.29,7.8500000000000005,0
24,8,0,0.0,8.780000000000001,1
25,8,0,0.16,8.49,0
26,2,0,0.0,2.17,0
27,5,0,0.01,5.26,1
28,13,0,0.45,13.45,0
29,5,0,0.23,5.23,0
30,2,0,0.0,2.58,0
31,14,0,0.67,14.67,1
32,7,0,0.12,7.79,0
33,13,0,0.67,13.67,1
34,4,0,0.0,4.02,0
35,7,0,0.3,7.75,1
36,2,0,0.0,2.0599999999999996,0
37,21,0,0.08,21.08,2
38,2,0,0.0,2.58,0
39,2,0,0.02,2.02,0
40,1,0,0.01,1.01,1
41,26,0,0.6,26.6,4
42,16,0,0.0,16.560000000000002,1
43,3,0,0.01,3.32,0
44,5,0,0.06,5.0600000000000005,0
45,15,0,0.31,16.32,1
46,0,0,0.0,0.0,0
47,4,0,0.35,4.58,0
48,1,0,0.01,1.01,0
49,1,0,0.01,1.01,0
50,8,0,0.33,8.33,1
51,6,0,0.09,6.09,0
52,2,0,0.0,2.58,0
53,7,0,0.33,7.33,1
54,10,0,0.2,10.870000000000001,0
55,7,0,0.27,7.27,0
56,6,0,0.0,6.81,1
57,5,0,0.23,5.720000000000001,0
58,8,0,0.33,8.48,0
59,13,0,0.56,14.01,1
60,7,0,0.67,7.67,0
61,6,0,0.25,6.48,0
62,7,0,0.46,8.129999999999999,1
63,7,0,0.19,7.19,0
64,2,0,0.0,2.17,0
65,10,0,0.03,11.01,1
66,3,0,0.01,3.6799999999999997,0
67,7,0,0.07,7.74,0
68,4,0,0.07,4.07,0
69,6,0,0.26,6.75,1
70,4,0,0.35,4.58,0
71,4,0,0.0,4.1,0
72,7,0,0.3,7.3,0
73,4,0,0.1,4.1,1
74,6,0,0.25,6.25,0
75,2,0,0.0,2.0599999999999996,0
76,2,0,0.02,2.0199999999999996,0
77,14,0,0.67,14.67,1
78,7,0,0.67,7.67,0
79,6,0,0.0,6.3,0
80,7,0,0.31,7.31,1
81,0,0,0.0,0.0,0
82,5,0,0.23,5.23,0
83,10,0,0.04,10.49,1
84,2,0,0.0,2.58,0
85,14,0,0.45,14.45,1
86,3,0,0.11,3.11,0
87,5,0,0.23,5.2299999999999995,1
88,12,0,0.67,12.67,1
89,7,0,0.17,7.839999999999999,1
90,4,0,0.02,4.02,0
91,5,0,0.2,5.2,0
92,2,0,0.0,2.23,0
93,2,0,0.0,2.17,0
94,8,0,0.38,9.05,1
95,10,0,0.0,10.120000000000001,0
96,6,0,0.45,6.45,1
97,2,0,0.0,2.67,0
98,6,0,0.23,6.23,0
99,13,0,0.08,13.08,0
100,7,0,0.23,7.23,0
101,2,0,0.0,2.01,0
102,2,0,0.0,2.3,1
103,4,0,0.0,4.2,0
104,2,0,0.0,2.58,0
105,7,0,0.0,7.430000000000001,0
106,14,0,0.47,14.469999999999999,1
107,7,0,0.28,7.28,1
108,5,0,0.0,5.53,0
109,9,0,0.28,9.73,0
110,14,0,0.67,14.67,1
111,7,0,0.67,7.67,0
112,11,0,0.5,11.5,1
113,8,0,0.23,8.23,0
114,6,0,0.05,6.05,0
115,5,0,0.23,5.51,0
116,10,0,0.29,10.85,1
117,5,0,0.0,5.22,0
118,5,0,0.11,5.109999999999999,1
119,6,0,0.26,6.75,0
120,5,0,0.0,5.889999999999999,0
121,8,0,0.0,8.280000000000001,1
122,6,0,0.14,6.47,0
123,2,0,0.02,2.02,0
124,0,0,0.0,0.0,0
125,6,0,0.45,6.45,0
126,9,0,0.0,9.11,1
127,3,0,0.01,3.1999999999999997,0
128,13,0,0.0,13.5,1
129,18,0,0.14,18.81,2
130,5,0,0.2,5.2,0
131,12,0,0.6,12.6,0
132,10,0,0.28,10.95,1
133,8,0,0.67,8.67,0
134,8,0,0.14,8.14,0
135,8,0,0.28,8.280000000000001,1
136,2,0,0.0,2.67,0
137,4,0,0.18,4.18,0
138,6,0,0.0,6.9399999999999995,0
139,6,0,0.0,6.26,0
140,7,0,0.07,8.09,1
141,6,0,0.0,7.080000000000001,0
142,4,0,0.35,4.58,0
143,4,0,0.17,4.17,0
144,0,0,0.0,0.0,0
145,6,0,0.0,6.45,0
146,4,0,0.01,4.24,0
147,8,0,0.41,8.41,1
148,10,0,0.67,10.67,0
149,18,0,0.67,18.67,1
150,4,0,0.0,4.14,0
151,11,0,0.45,11.45,0
152,7,0,0.67,7.67,0
153,4,0,0.0,4.27,1
154,4,0,0.0,4.25,0
155,1,0,0.01,1.01,0
156,6,0,0.45,6.45,0
157,18,0,0.67,18.67,1
158,7,0,0.33,7.33,0
159,9,0,0.0,9.280000000000001,0
160,4,0,0.0,4.0600000000000005,1
161,0,0,0.0,0.0,0
162,7,0,0.3,7.529999999999999,0
163,6,0,0.45,6.45,0
164,9,0,0.49,9.49,0
165,7,0,0.23,7.23,0
166,9,0,0.2,9.57,1
167,2,0,0.0,2.13,0
168,6,0,0.07,6.67,0
169,10,0,0.2,10.43,1
170,4,0,0.17,4.17,0
171,7,0,0.23,7.23,0
172,5,0,0.0,5.279999999999999,0
173,0,0,0.0,0.0,1
174,7,0,0.27,7.470000000000001,0
175,7,0,0.3,7.3,1
176,5,0,0.23,5.23,0
177,0,0,0.0,0.0,1
178,2,0,0.0,2.58,0
179,2,0,0.0,2.45,0
180,9,0,0.0,10.07,1
181,2,0,0.0,2.04,0
182,7,0,0.09,8.02,1
183,5,0,0.23,5.23,0
184,7,0,0.17,7.43,0
185,3,0,0.01,3.46,1
186,10,0,0.17,10.73,0
187,7,0,0.35,7.35,1
188,5,0,0.33,5.33,0
189,4,0,0.01,4.46,0
190,9,0,0.03,9.03,1
191,10,0,0.2,10.870000000000001,1
192,7,0,0.23,7.23,0
193,1,0,0.0,1.08,1
194,6,0,0.17,6.62,0
195,3,0,0.0,3.4499999999999997,0
196,4,0,0.0,4.23,0
197,8,0,0.67,8.67,1
198,9,0,0.32,9.77,0
199,4,0,0.0,4.199999999999999,1
200,5,0,0.23,5.23,0
201,0,0,0.0,0.0,0
202,4,0,0.01,4.24,0
203,20,0,0.36,20.810000000000002,2
204,2,0,0.0,2.33,1
205,9,0,0.0,9.26,1
206,1,0,0.01,1.01,0
207,18,0,0.67,18.67,1
208,9,0,0.0,9.120000000000001,1
209,2,0,0.04,2.04,0
210,6,0,0.45,6.45,0
211,0,0,0.0,0.0,0
212,3,0,0.14,3.1399999999999997,1
213,4,0,0.0,4.279999999999999,0
214,1,0,0.01,1.0099999999999998,0
215,10,0,0.32,10.320000000000002,1
216,2,0,0.0,2.0300000000000002,0
217,9,0,0.0,10.030000000000001,1
218,12,0,0.67,12.67,0
219,4,0,0.0,4.43,1
220,4,0,0.1,4.1,0
221,6,0,0.01,6.68,0
222,7,0,0.1,7.1000000000000005,0
223,2,0,0.0,2.58,1
224,5,0,0.05,5.279999999999999,0
225,8,0,0.0,8.260000000000002,1
226,6,0,0.22,6.220000000000001,0
227,5,0,0.23,5.23,0
228,6,0,0.45,6.45,0
229,4,0,0.17,4.17,1
230,4,0,0.0,4.369999999999999,0
231,3,0,0.06,3.06,0
232,12,0,0.48,12.93,1
233,2,0,0.0,2.45,0
234,6,0,0.35,6.58,0
235,4,0,0.35,4.58,0
236,13,0,0.29,13.74,2
237,6,0,0.0,6.2,0
238,14,0,0.67,14.67,1
239,9,0,0.05,9.79,0
240,7,0,0.67,7.67,0
241,4,0,0.0,4.1899999999999995,1
242,23,0,0.0,23.41,3
243,6,0,0.05,6.48,1
244,8,0,0.26,8.26,0
245,7,0,0.0,7.28,1
246,2,0,0.0,2.02,0
247,8,0,0.23,8.23,0
248,4,0,0.0,4.23,1
249,18,0,0.33,18.33,1
250,3,0,0.06,3.06,0
251,12,0,0.67,12.67,1
252,1,0,0.0,1.08,0
253,9,0,0.23,9.23,0
254,7,0,0.67,7.67,0
255,7,0,0.67,7.67,0
256,2,0,0.0,2.45,0
257,6,0,0.13,6.13,1
258,6,0,0.45,6.45,0
259,5,0,0.01,5.5600000000000005,0
260,4,0,0.0,4.23,0
261,4,0,0.02,4.109999999999999,0
262,1,0,0.01,1.01,0
263,11,0,0.12,11.999999999999998,2
264,6,0,0.44,6.4399999999999995,0
265,7,0,0.24,7.24,1
266,2,0,0.0,2.48,0
267,5,0,0.23,5.23,0
268,5,0,0.1,5.1,0
269,12,0,0.38,12.83,1
270,5,0,0.12,5.79,0
271,4,0,0.35,4.58,0
272,9,0,0.18,9.850000000000001,0
273,6,0,0.1,6.55,1
274,6,0,0.27,6.27,0
275,6,0,0.0,6.48,0
276,5,0,0.04,5.27,0
277,4,0,0.26,4.26,1
278,10,0,0.67,10.67,0
279,9,0,0.34,9.79,0
280,6,0,0.45,6.45,0
281,8,0,0.0,8.91,1
282,0,0,0.0,0.0,0
283,7,0,0.3,7.3,0
284,5,0,0.3,5.53,0
285,6,0,0.26,6.260000000000001,1
286,6,0,0.17,6.84,0
287,11,0,0.28,11.510000000000002,0
288,5,0,0.23,5.23,1
