TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,3,0,0.0,3.0,0
1,6,0,0.0,6.0,1
2,10,0,0.0,10.0,1
3,3,0,0.0,3.0,0
4,6,0,0.23,6.23,1
5,10,0,0.0,10.0,0
6,2,0,0.67,2.67,0
7,14,0,0.0,14.0,1
8,8,0,0.0,8.0,0
9,11,0,0.0,11.0,0
10,19,0,0.67,19.67,2
11,11,0,0.0,11.0,0
12,10,0,0.0,10.0,1
13,2,0,0.67,2.67,0
14,12,0,0.0,12.0,0
15,14,0,0.0,14.0,1
16,4,0,0.0,4.0,0
17,4,0,0.0,4.0,0
18,6,0,0.44,7.11,0
19,8,0,0.0,8.0,0
20,3,0,0.0,3.0,0
21,4,0,0.0,4.0,0
22,3,0,0.0,3.0,1
23,10,0,0.0,10.0,0
24,10,0,0.0,10.0,0
25,3,0,0.0,3.0,0
26,7,0,0.19,7.19,1
27,9,0,0.0,9.0,0
28,4,0,0.0,4.0,0
29,4,0,0.0,4.0,0
30,10,0,0.0,10.0,0
31,3,0,0.0,3.0,0
32,3,0,0.0,3.0,0
33,10,0,0.0,10.0,1
34,20,0,0.0,20.0,1
35,8,0,0.0,8.0,0
36,4,0,0.0,4.0,0
37,5,0,0.0,5.19,0
38,10,0,0.0,10.0,1
39,3,0,0.0,3.0,0
40,8,0,0.0,8.0,0
41,10,0,0.67,10.67,0
42,9,0,0.67,9.67,1
43,10,0,0.0,10.0,0
44,7,0,0.67,7.67,0
45,10,0,0.0,10.0,1
46,6,0,0.0,6.0,0
47,3,0,0.0,3.0,0
48,9,0,0.0,9.0,0
49,9,0,0.67,9.67,0
50,3,0,0.0,3.0,0
51,8,0,0.0,8.0,1
52,3,0,0.0,3.0,0
53,4,0,0.0,4.0,0
54,14,0,0.0,14.0,0
55,11,0,0.0,11.0,1
56,10,0,0.0,10.0,0
57,3,0,0.0,3.0,0
58,10,0,0.0,10.0,0
59,3,0,0.0,3.0,1
60,4,0,0.0,4.0,0
61,10,0,0.67,10.67,0
62,6,0,0.0,6.0,0
63,10,0,0.0,10.0,0
64,4,0,0.0,4.0,0
65,9,0,0.67,9.67,1
66,4,0,0.0,4.0,0
67,17,0,0.0,17.0,0
68,9,0,0.67,9.67,1
69,10,0,0.0,10.0,0
70,11,0,0.0,11.0,0
71,8,0,0.0,8.0,1
72,3,0,0.0,3.0,0
73,8,0,0.0,8.0,0
74,10,0,0.67,10.67,1
75,4,0,0.0,4.0,0
76,23,0,0.0,23.0,2
77,3,0,0.0,3.0,0
78,3,0,0.0,3.0,0
79,3,0,0.0,3.0,0
80,17,0,0.0,17.0,1
81,7,0,0.67,7.67,0
82,14,0,0.0,14.0,1
83,10,0,0.0,10.0,1
84,6,0,0.0,6.2,0
85,3,0,0.0,3.0,0
86,10,0,0.0,10.0,0
87,6,0,0.0,6.0,1
88,8,0,0.0,8.0,0
89,4,0,0.0,4.0,0
90,5,0,0.0,5.21,1
91,8,0,0.0,8.0,0
92,10,0,0.0,10.0,1
93,3,0,0.0,3.0,0
94,17,0,0.0,17.0,1
95,11,0,0.0,11.0,1
96,3,0,0.0,3.0,0
97,4,0,0.0,4.0,0
98,10,0,0.0,10.0,0
99,10,0,0.0,10.0,0
100,4,0,0.0,4.0,0
101,17,0,0.0,17.0,1
102,6,0,0.0,6.25,0
103,25,0,0.1,25.250000000000004,2
104,3,0,0.67,3.67,0
105,20,0,0.0,20.0,1
106,8,0,0.0,8.0,0
107,9,0,0.67,9.67,1
108,10,0,0.0,10.0,0
109,10,0,0.0,10.0,0
110,3,0,0.0,3.0,0
111,10,0,0.0,10.0,1
112,4,0,0.0,4.0,0
113,14,0,0.0,14.0,0
114,3,0,0.0,3.0,0
115,6,0,0.0,6.0,1
116,10,0,0.0,10.0,0
117,16,0,0.67,16.67,1
118,3,0,0.0,3.0,0
119,3,0,0.0,3.0,0
120,4,0,0.0,4.0,0
121,8,0,0.0,8.0,0
122,10,0,0.0,10.0,0
123,14,0,0.0,14.0,1
124,4,0,0.0,4.0,0
125,6,0,0.0,6.0,0
126,10,0,0.0,10.0,0
127,14,0,0.0,14.0,1
128,3,0,0.0,3.0,0
129,8,0,0.0,8.0,0
130,4,0,0.0,4.0,0
131,11,0,0.0,11.0,0
132,4,0,0.0,4.0,0
133,7,0,0.67,7.67,0
134,3,0,0.0,3.0,1
135,3,0,0.0,3.0,0
136,10,0,0.0,10.0,0
137,3,0,0.0,3.0,0
