TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,29,66
1,0,8
2,0,4
3,0,5
4,26,13
5,0,2
6,28,10
7,0,2
8,0,3
9,0,3
10,9,4
11,0,2
12,0,5
13,0,3
14,24,10
15,29,20
16,29,22
17,0,3
18,0,2
19,0,2
20,26,10
21,0,3
22,28,8
23,0,2
24,0,3
25,0,2
26,9,8
27,0,2
28,0,2
29,0,1
30,24,13
31,29,16
32,29,17
33,0,3
34,0,2
35,0,4
36,26,14
37,0,3
38,28,19
39,0,3
40,0,8
41,0,6
42,9,7
43,0,2
44,0,1
45,0,1
46,24,9
47,29,17
48,29,14
49,0,2
50,0,1
51,0,2
52,26,8
53,0,3
54,28,7
55,0,1
56,0,3
57,0,5
58,9,4
59,0,1
60,0,2
61,0,2
62,24,8
63,29,14
64,29,16
65,0,2
66,0,2
67,0,2
68,26,9
69,0,2
70,28,8
71,0,2
72,0,3
73,0,1
74,9,6
75,0,2
76,0,2
77,0,2
78,24,12
79,29,22
80,29,27
81,0,4
82,0,3
83,0,4
84,26,13
85,0,3
86,28,17
87,0,1
88,0,3
89,0,5
90,9,7
91,0,3
92,0,3
93,0,1
94,24,8
95,29,14
96,0,1
97,0,2
98,0,2
99,0,2
