TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,33,0,0.43,34.07,60
1,0,0,0.0,0.0,6
2,0,0,0.0,0.0,10
3,0,0,0.0,0.0,6
4,30,0,0.43,31.09,18
5,0,0,0.0,0.0,3
6,36,0,0.31,38.959999999999994,19
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,5
10,9,0,0.36,9.36,11
11,0,0,0.0,0.0,3
12,0,0,0.0,0.0,3
13,0,0,0.0,0.0,3
14,21,0,0.13,22.930000000000003,12
15,33,0,0.43,34.07,22
16,33,0,0.43,34.07,14
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,3
19,0,0,0.0,0.0,2
20,30,0,0.43,31.09,12
21,0,0,0.0,0.0,2
22,36,0,0.31,38.959999999999994,13
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,7
26,9,0,0.36,9.36,7
27,0,0,0.0,0.0,3
28,0,0,0.0,0.0,4
29,0,0,0.0,0.0,4
30,21,0,0.13,22.930000000000003,10
31,33,0,0.43,34.07,13
32,33,0,0.43,34.07,14
33,0,0,0.0,0.0,4
34,0,0,0.0,0.0,6
35,0,0,0.0,0.0,6
36,30,0,0.43,31.09,25
37,0,0,0.0,0.0,6
38,36,0,0.31,38.959999999999994,35
39,0,0,0.0,0.0,4
40,0,0,0.0,0.0,9
41,0,0,0.0,0.0,10
42,9,0,0.36,9.36,4
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,2
46,21,0,0.13,22.930000000000003,6
47,33,0,0.43,34.07,13
48,33,0,0.43,34.07,12
49,0,0,0.0,0.0,1
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,30,0,0.43,31.09,17
53,0,0,0.0,0.0,3
54,36,0,0.31,38.959999999999994,12
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,4
57,0,0,0.0,0.0,3
58,9,0,0.36,9.36,9
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,2
62,21,0,0.13,22.930000000000003,6
63,33,0,0.43,34.07,12
64,33,0,0.43,34.07,11
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,30,0,0.43,31.09,11
69,0,0,0.0,0.0,2
70,36,0,0.31,38.959999999999994,16
71,0,0,0.0,0.0,4
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,2
74,9,0,0.36,9.36,9
75,0,0,0.0,0.0,2
76,0,0,0.0,0.0,1
77,0,0,0.0,0.0,3
78,21,0,0.13,22.930000000000003,10
79,33,0,0.43,34.07,24
80,33,0,0.43,34.07,25
81,0,0,0.0,0.0,3
82,0,0,0.0,0.0,5
83,0,0,0.0,0.0,4
84,30,0,0.43,31.09,25
85,0,0,0.0,0.0,5
86,36,0,0.31,38.959999999999994,28
87,0,0,0.0,0.0,4
88,0,0,0.0,0.0,13
89,0,0,0.0,0.0,2
90,9,0,0.36,9.36,4
91,0,0,0.0,0.0,1
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,21,0,0.13,22.930000000000003,7
95,33,0,0.43,34.07,11
96,0,0,0.0,0.0,2
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,1
99,0,0,0.0,0.0,2
