TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,3,0,0.0,3.0,0
1,0,5,0.0,5.0,0
2,0,8,0.0,8.0,0
3,3,0,0.0,3.0,0
4,3,3,0.25,6.25,0
5,2,4,0.25,6.65,1
6,2,0,0.7,2.7,0
7,4,4,0.4,8.4,1
8,3,3,0.5,6.5,0
9,4,4,0.5,8.5,1
10,5,4,0.2,9.2,0
11,4,4,0.5,8.5,0
12,2,4,0.35,6.35,0
13,0,2,0.35,2.35,1
14,1,4,0.0,5.25,0
15,6,4,0.4,10.4,0
16,4,0,0.0,4.0,0
17,4,0,0.0,4.0,0
18,0,6,0.0,6.0,0
19,2,4,0.45,6.45,0
20,3,0,0.0,3.0,0
21,0,3,0.65,3.65,0
22,3,0,0.0,3.0,0
23,4,4,0.35,8.35,1
24,3,5,0.45,8.45,0
25,3,0,0.0,3.0,0
26,4,3,0.3,7.3,0
27,0,7,0.0,7.0,0
28,1,2,0.65,3.65,0
29,4,0,0.0,4.0,0
30,3,4,0.35,7.35,0
31,3,0,0.0,3.0,0
32,3,0,0.0,3.0,0
33,3,4,0.35,7.35,1
34,10,5,0.65,16.3,0
35,0,6,0.0,6.0,0
36,4,0,0.0,4.0,0
37,5,0,0.0,5.2,1
38,4,4,0.45,8.45,0
39,0,2,0.35,2.35,0
40,0,6,0.0,6.0,0
41,0,9,0.0,9.0,0
42,4,4,0.35,8.35,0
43,2,4,0.0,6.3,0
44,0,6,0.0,6.0,1
45,3,5,0.4,8.399999999999999,0
46,6,0,0.0,6.0,0
47,3,0,0.0,3.0,0
48,1,5,0.3,6.3,0
49,0,8,0.0,8.0,0
50,3,0,0.0,3.0,0
51,0,6,0.0,6.0,0
52,3,0,0.0,3.0,0
53,4,0,0.0,4.0,0
54,5,4,0.35,9.35,1
55,0,9,0.0,9.0,0
56,2,5,0.35,7.35,0
57,3,0,0.0,3.0,0
58,4,4,0.45,8.45,0
59,3,0,0.0,3.0,0
60,4,0,0.0,4.0,0
61,0,9,0.0,9.0,1
62,0,5,0.0,5.0,0
63,4,4,0.45,8.45,0
64,2,1,0.65,3.65,0
65,0,8,0.0,8.0,0
66,4,0,0.0,4.0,0
67,8,4,0.3,12.700000000000001,0
68,3,4,0.4,7.4,1
69,0,8,0.0,8.0,0
