TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,307
1,0,0,0.0,0.0,2
2,0,0,0.0,0.0,2
3,0,0,0.0,0.0,3
4,26,0,0.0,26.0,152
5,0,0,0.0,0.0,2
6,28,0,0.0,28.0,123
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,2
9,0,0,0.0,0.0,2
10,9,0,0.0,9.0,22
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,1
13,0,0,0.0,0.0,2
14,24,0,0.0,24.0,124
15,29,0,0.0,29.0,244
16,29,0,0.0,29.0,204
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,1
19,0,0,0.0,0.0,2
20,26,0,0.0,26.0,112
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,128
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,5
25,0,0,0.0,0.0,3
26,9,0,0.0,9.0,30
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,3
29,0,0,0.0,0.0,2
30,24,0,0.0,24.0,156
31,29,0,0.0,29.0,232
32,29,0,0.0,29.0,202
33,0,0,0.0,0.0,1
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,2
36,26,0,0.0,26.0,112
37,0,0,0.0,0.0,2
38,28,0,0.0,28.0,116
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,3
41,0,0,0.0,0.0,1
42,9,0,0.0,9.0,20
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,117
47,29,0,0.0,29.0,206
48,29,0,0.0,29.0,207
49,0,0,0.0,0.0,1
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,26,0,0.0,26.0,112
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,116
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,2
57,0,0,0.0,0.0,2
58,9,0,0.0,9.0,20
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,1
62,24,0,0.0,24.0,114
63,29,0,0.0,29.0,202
64,29,0,0.0,29.0,206
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,1
68,26,0,0.0,26.0,112
69,0,0,0.0,0.0,1
70,28,0,0.0,28.0,116
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.0,9.0,20
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,24,0,0.0,24.0,115
79,29,0,0.0,29.0,204
80,29,0,0.0,29.0,208
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,1
83,0,0,0.0,0.0,2
84,26,0,0.0,26.0,115
85,0,0,0.0,0.0,2
86,28,0,0.0,28.0,117
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,2
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,22
91,0,0,0.0,0.0,1
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,24,0,0.0,24.0,115
95,29,0,0.0,29.0,202
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,1
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
