TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,2,0.0,6.0,12
1,4,0,0.0,4.0,8
2,4,1,0.0,4.0,14
3,2,0,0.0,2.0,0
4,4,0,0.0,4.0,30
5,3,0,0.0,3.0,9
6,5,0,0.0,5.0,3
7,8,0,0.0,8.0,60
8,6,0,0.0,6.0,11
9,5,0,0.0,5.0,30
10,15,2,0.0,15.0,2
11,5,0,0.0,5.0,21
12,4,0,0.0,4.0,12
13,6,1,0.0,6.0,1
14,8,0,0.0,8.0,17
15,12,0,0.0,12.0,343
16,2,0,0.0,2.0,1
17,0,0,0.0,0.0,0
18,6,2,0.0,6.0,8
19,5,0,0.0,5.0,34
20,3,0,0.0,3.0,0
21,5,0,0.0,5.0,3
22,4,0,0.0,4.0,1
23,6,0,0.0,6.0,41
24,7,0,0.0,7.0,48
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,35
27,7,0,0.0,7.0,14
28,5,3,0.0,5.0,1
29,4,0,0.0,4.0,0
30,6,0,0.0,6.0,26
31,3,0,0.0,3.0,1
32,1,0,0.0,1.0,0
33,2,0,0.0,2.0,8
34,15,0,0.0,15.0,440
35,5,0,0.0,5.0,13
36,0,0,0.0,0.0,0
37,4,0,0.0,4.0,24
38,7,0,0.0,7.0,25
39,3,0,0.0,3.0,0
40,3,0,0.0,3.0,6
41,9,1,0.0,9.0,10
42,4,1,0.0,4.0,0
43,2,0,0.0,2.0,1
44,6,1,0.0,6.0,42
45,7,0,0.0,7.0,19
46,7,0,0.0,7.0,11
47,4,0,0.0,4.0,1
48,7,2,0.0,7.0,51
49,3,1,0.0,3.0,0
50,1,0,0.0,1.0,0
51,8,2,0.0,8.0,67
52,2,0,0.0,2.0,0
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,70
55,6,0,0.0,6.0,13
56,7,0,0.0,7.0,0
57,5,0,0.0,5.0,1
58,9,0,0.0,9.0,72
59,4,0,0.0,4.0,0
60,2,0,0.0,2.0,0
61,8,1,0.0,8.0,26
62,2,0,0.0,2.0,0
63,8,0,0.0,8.0,27
64,7,3,0.0,7.0,0
65,7,1,0.0,7.0,5
66,2,0,0.0,2.0,1
67,11,0,0.0,11.0,32
68,7,1,0.0,7.0,23
69,4,0,0.0,4.0,11
70,3,0,0.0,3.0,14
71,5,0,0.0,5.0,5
72,5,0,0.0,5.0,0
73,3,0,0.0,3.0,3
74,8,2,0.0,8.0,1
75,0,0,0.0,0.0,0
76,20,0,0.0,20.0,1335
77,3,0,0.0,3.0,0
78,3,1,0.0,3.0,0
79,4,0,0.0,4.0,1
80,13,0,0.0,13.0,115
81,4,1,0.0,4.0,0
82,5,0,0.0,5.0,34
83,4,0,0.0,4.0,13
84,5,0,0.0,5.0,17
85,1,0,0.0,1.0,0
86,5,0,0.0,5.0,12
87,4,0,0.0,4.0,2
88,3,0,0.0,3.0,0
89,2,0,0.0,2.0,0
90,4,0,0.0,4.0,5
91,8,0,0.0,8.0,22
92,2,0,0.0,2.0,3
93,1,0,0.0,1.0,0
94,13,0,0.0,13.0,245
95,7,0,0.0,7.0,40
96,3,0,0.0,3.0,0
97,0,0,0.0,0.0,1
98,9,0,0.0,9.0,4
99,7,1,0.0,7.0,30
100,6,0,0.0,6.0,0
101,11,0,0.0,11.0,118
102,5,0,0.0,5.0,4
103,25,2,0.0,25.0,245
104,6,1,0.0,6.0,0
105,10,0,0.0,10.0,122
106,6,0,0.0,6.0,9
107,8,1,0.0,8.0,28
108,8,2,0.0,8.0,12
109,2,0,0.0,2.0,4
110,1,0,0.0,1.0,0
111,6,0,0.0,6.0,30
112,6,6,0.0,6.0,1
113,8,0,0.0,8.0,6
114,4,0,0.0,4.0,0
115,9,9,0.0,9.0,4
116,5,0,0.0,5.0,12
117,11,1,0.0,11.0,75
118,5,0,0.0,5.0,0
119,2,0,0.0,2.0,1
120,1,0,0.0,1.0,0
121,6,0,0.0,6.0,2
122,4,0,0.0,4.0,1
123,9,2,0.0,9.0,126
124,4,0,0.0,4.0,2
125,7,0,0.0,7.0,5
126,7,0,0.0,7.0,40
127,8,0,0.0,8.0,6
128,2,0,0.0,2.0,0
129,7,0,0.0,7.0,10
130,0,0,0.0,0.0,0
131,5,0,0.0,5.0,25
132,2,0,0.0,2.0,0
133,5,1,0.0,5.0,0
134,5,5,0.0,5.0,1
135,2,0,0.0,2.0,0
136,5,0,0.0,5.0,9
137,4,0,0.0,4.0,0
138,4,0,0.0,4.0,0
139,8,0,0.0,8.0,60
140,10,2,0.0,10.0,39
141,0,0,0.0,0.0,0
142,6,0,0.0,6.0,36
143,7,0,0.0,7.0,104
144,1,0,0.0,1.0,0
145,7,0,0.0,7.0,31
146,11,0,0.0,11.0,128
147,6,0,0.0,6.0,1
148,6,0,0.0,6.0,17
149,6,0,0.0,6.0,6
150,5,0,0.0,5.0,19
151,2,0,0.0,2.0,0
152,5,0,0.0,5.0,6
153,9,0,0.0,9.0,20
154,5,0,0.0,5.0,0
155,2,0,0.0,2.0,0
156,9,1,0.0,9.0,6
157,7,0,0.0,7.0,47
158,9,2,0.0,9.0,1
159,4,0,0.0,4.0,55
160,7,4,0.0,7.0,0
161,2,0,0.0,2.0,1
162,20,0,0.0,20.0,395
163,2,0,0.0,2.0,0
164,2,0,0.0,2.0,0
165,1,0,0.0,1.0,1
166,20,0,0.0,20.0,1087
167,10,0,0.0,10.0,179
168,3,0,0.0,3.0,4
169,4,1,0.0,4.0,0
170,13,2,0.0,13.0,119
171,0,0,0.0,0.0,0
172,3,0,0.0,3.0,0
173,1,0,0.0,1.0,1
174,1,0,0.0,1.0,0
175,7,1,0.0,7.0,0
176,5,0,0.0,5.0,19
177,2,0,0.0,2.0,1
178,6,1,0.0,6.0,2
179,8,0,0.0,8.0,31
180,6,0,0.0,6.0,36
181,6,0,0.0,6.0,15
182,5,0,0.0,5.0,12
183,7,1,0.0,7.0,0
184,11,0,0.0,11.0,96
185,5,5,0.0,5.0,0
