TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,77
1,0,0,0.0,0.0,8
2,0,0,0.0,0.0,5
3,0,0,0.0,0.0,4
4,26,0,0.0,26.0,20
5,0,0,0.0,0.0,3
6,28,0,0.0,28.0,13
7,0,0,0.0,0.0,5
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,2
10,9,0,0.0,9.0,9
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,1
13,0,0,0.0,0.0,2
14,24,0,0.0,24.0,15
15,29,0,0.0,29.0,36
16,29,0,0.0,29.0,23
17,0,0,0.0,0.0,3
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,3
20,26,0,0.0,26.0,20
21,0,0,0.0,0.0,4
22,28,0,0.0,28.0,12
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,4
25,0,0,0.0,0.0,3
26,9,0,0.0,9.0,11
27,0,0,0.0,0.0,3
28,0,0,0.0,0.0,4
29,0,0,0.0,0.0,2
30,24,0,0.0,24.0,20
31,29,0,0.0,29.0,47
32,29,0,0.0,29.0,38
33,0,0,0.0,0.0,3
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,2
36,26,0,0.0,26.0,16
37,0,0,0.0,0.0,2
38,28,0,0.0,28.0,17
39,0,0,0.0,0.0,3
40,0,0,0.0,0.0,4
41,0,0,0.0,0.0,1
42,9,0,0.0,9.0,8
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,10
47,29,0,0.0,29.0,31
48,29,0,0.0,29.0,25
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,26,0,0.0,26.0,16
53,0,0,0.0,0.0,2
54,28,0,0.0,28.0,10
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,2
58,9,0,0.0,9.0,8
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,2
62,24,0,0.0,24.0,15
63,29,0,0.0,29.0,28
64,29,0,0.0,29.0,28
65,0,0,0.0,0.0,3
66,0,0,0.0,0.0,3
67,0,0,0.0,0.0,3
68,26,0,0.0,26.0,18
69,0,0,0.0,0.0,3
70,28,0,0.0,28.0,17
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,1
74,9,0,0.0,9.0,7
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,2
78,24,0,0.0,24.0,10
79,29,0,0.0,29.0,19
80,29,0,0.0,29.0,18
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,1
84,26,0,0.0,26.0,14
85,0,0,0.0,0.0,1
86,28,0,0.0,28.0,9
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,7
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,24,0,0.0,24.0,11
95,29,0,0.0,29.0,20
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,1
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
