TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,534
1,0,0,0.0,0.0,4
2,0,0,0.0,0.0,4
3,0,0,0.0,0.0,5
4,26,0,0.0,26.0,301
5,0,0,0.0,0.0,2
6,28,0,0.0,28.0,215
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,6
9,0,0,0.0,0.0,3
10,9,0,0.0,9.0,46
11,0,0,0.0,0.0,4
12,0,0,0.0,0.0,6
13,0,0,0.0,0.0,5
14,24,0,0.0,24.0,216
15,29,0,0.0,29.0,367
16,29,0,0.0,29.0,362
17,0,0,0.0,0.0,3
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,26,0,0.0,26.0,213
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,182
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,4
25,0,0,0.0,0.0,2
26,9,0,0.0,9.0,25
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,3
30,24,0,0.0,24.0,173
31,29,0,0.0,29.0,338
32,29,0,0.0,29.0,369
33,0,0,0.0,0.0,3
34,0,0,0.0,0.0,3
35,0,0,0.0,0.0,3
36,26,0,0.0,26.0,183
37,0,0,0.0,0.0,2
38,28,0,0.0,28.0,193
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,4
41,0,0,0.0,0.0,3
42,9,0,0.0,9.0,25
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,168
47,29,0,0.0,29.0,349
48,29,0,0.0,29.0,364
49,0,0,0.0,0.0,3
50,0,0,0.0,0.0,3
51,0,0,0.0,0.0,3
52,26,0,0.0,26.0,173
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,177
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,2
58,9,0,0.0,9.0,30
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,1
62,24,0,0.0,24.0,194
63,29,0,0.0,29.0,356
64,29,0,0.0,29.0,335
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,26,0,0.0,26.0,177
69,0,0,0.0,0.0,3
70,28,0,0.0,28.0,200
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,2
74,9,0,0.0,9.0,23
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,24,0,0.0,24.0,173
79,29,0,0.0,29.0,357
80,29,0,0.0,29.0,372
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,2
84,26,0,0.0,26.0,213
85,0,0,0.0,0.0,2
86,28,0,0.0,28.0,193
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,4
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,25
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,24,0,0.0,24.0,174
95,29,0,0.0,29.0,341
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,4
