TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,100
1,0,0,0.0,0.0,7
2,0,0,0.0,0.0,9
3,0,0,0.0,0.0,6
4,26,0,0.0,26.0,35
5,0,0,0.0,0.0,5
6,28,0,0.0,28.0,20
7,0,0,0.0,0.0,3
8,0,0,0.0,0.0,8
9,0,0,0.0,0.0,5
10,9,0,0.0,9.0,15
11,0,0,0.0,0.0,4
12,0,0,0.0,0.0,4
13,0,0,0.0,0.0,4
14,24,0,0.0,24.0,22
15,29,0,0.0,29.0,41
16,29,0,0.0,29.0,42
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,4
19,0,0,0.0,0.0,4
20,26,0,0.0,26.0,24
21,0,0,0.0,0.0,4
22,28,0,0.0,28.0,19
23,0,0,0.0,0.0,3
24,0,0,0.0,0.0,17
25,0,0,0.0,0.0,3
26,9,0,0.0,9.0,11
27,0,0,0.0,0.0,3
28,0,0,0.0,0.0,5
29,0,0,0.0,0.0,5
30,24,0,0.0,24.0,25
31,29,0,0.0,29.0,37
32,29,0,0.0,29.0,42
33,0,0,0.0,0.0,4
34,0,0,0.0,0.0,5
35,0,0,0.0,0.0,5
36,26,0,0.0,26.0,34
37,0,0,0.0,0.0,5
38,28,0,0.0,28.0,25
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,3
42,9,0,0.0,9.0,8
43,0,0,0.0,0.0,3
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,3
46,24,0,0.0,24.0,11
47,29,0,0.0,29.0,19
48,29,0,0.0,29.0,23
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,2
52,26,0,0.0,26.0,16
53,0,0,0.0,0.0,5
54,28,0,0.0,28.0,14
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,4
58,9,0,0.0,9.0,8
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,3
62,24,0,0.0,24.0,15
63,29,0,0.0,29.0,18
64,29,0,0.0,29.0,21
65,0,0,0.0,0.0,3
66,0,0,0.0,0.0,3
67,0,0,0.0,0.0,3
68,26,0,0.0,26.0,12
69,0,0,0.0,0.0,3
70,28,0,0.0,28.0,15
71,0,0,0.0,0.0,3
72,0,0,0.0,0.0,5
73,0,0,0.0,0.0,3
74,9,0,0.0,9.0,9
75,0,0,0.0,0.0,3
76,0,0,0.0,0.0,3
77,0,0,0.0,0.0,3
78,24,0,0.0,24.0,16
79,29,0,0.0,29.0,28
80,29,0,0.0,29.0,30
81,0,0,0.0,0.0,4
82,0,0,0.0,0.0,3
83,0,0,0.0,0.0,5
84,26,0,0.0,26.0,26
85,0,0,0.0,0.0,3
86,28,0,0.0,28.0,13
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,1
90,9,0,0.0,9.0,7
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,24,0,0.0,24.0,10
95,29,0,0.0,29.0,20
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
