TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,0,0.0,6.0,12
1,4,0,0.0,4.0,24
2,4,0,0.0,4.0,8
3,2,0,0.0,2.0,1
4,4,0,0.0,4.0,68
5,3,0,0.0,3.0,22
6,5,0,0.0,5.0,8
7,8,0,0.0,8.0,84
8,6,0,0.0,6.0,36
9,5,0,0.0,5.0,56
10,15,0,0.0,15.0,3
11,5,0,0.0,5.0,54
12,4,0,0.0,4.0,23
13,7,0,0.0,7.0,1
14,8,0,0.0,8.0,34
15,12,0,0.0,12.0,672
16,2,0,0.0,2.0,0
17,0,0,0.0,0.0,0
18,7,0,0.0,7.0,18
19,5,0,0.0,5.0,41
20,3,0,0.0,3.0,1
21,5,0,0.0,5.0,3
22,4,0,0.0,4.0,0
23,6,0,0.0,6.0,50
24,7,0,0.0,7.0,54
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,45
27,7,0,0.0,7.0,42
28,6,0,0.0,6.0,1
29,4,0,0.0,4.0,2
30,6,0,0.0,6.0,50
31,3,0,0.0,3.0,1
32,1,0,0.0,1.0,1
33,2,0,0.0,2.0,14
34,15,0,0.0,15.0,674
35,5,0,0.0,5.0,15
36,0,0,0.0,0.0,0
37,4,0,0.0,4.0,10
38,7,0,0.0,7.0,45
39,3,0,0.0,3.0,1
40,3,0,0.0,3.0,8
41,10,0,0.0,10.0,12
42,5,0,0.0,5.0,1
43,1,1,0.0,2.0,0
44,6,0,0.0,6.0,60
45,7,0,0.0,7.0,31
46,7,0,0.0,7.0,32
47,4,0,0.0,4.0,0
48,7,0,0.0,7.0,23
49,4,0,0.0,4.0,1
50,1,0,0.0,1.0,0
51,8,0,0.0,8.0,74
52,2,0,0.0,2.0,1
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,112
55,6,0,0.0,6.0,28
56,7,0,0.0,7.0,0
57,5,0,0.0,5.0,2
58,9,0,0.0,9.0,63
59,4,0,0.0,4.0,0
60,2,0,0.0,2.0,1
61,9,0,0.0,9.0,53
62,2,0,0.0,2.0,2
63,8,0,0.0,8.0,66
64,7,0,0.0,7.0,2
65,8,0,0.0,8.0,8
66,2,0,0.0,2.0,2
67,11,0,0.0,11.0,45
68,8,0,0.0,8.0,62
69,4,0,0.0,4.0,19
70,3,0,0.0,3.0,25
71,5,0,0.0,5.0,13
72,5,0,0.0,5.0,0
73,3,0,0.0,3.0,11
74,9,0,0.0,9.0,1
75,0,0,0.0,0.0,1
76,20,0,0.0,20.0,2382
77,3,0,0.0,3.0,0
78,4,0,0.0,4.0,1
79,4,0,0.0,4.0,4
80,13,0,0.0,13.0,215
81,5,0,0.0,5.0,0
82,5,0,0.0,5.0,57
83,4,0,0.0,4.0,22
84,5,0,0.0,5.0,28
85,1,0,0.0,1.0,0
86,5,0,0.0,5.0,19
87,4,0,0.0,4.0,8
88,3,0,0.0,3.0,0
89,2,0,0.0,2.0,0
90,4,0,0.0,4.0,9
91,8,0,0.0,8.0,69
92,2,0,0.0,2.0,7
93,1,0,0.0,1.0,0
94,13,0,0.0,13.0,210
95,7,0,0.0,7.0,65
96,3,0,0.0,3.0,2
97,0,0,0.0,0.0,0
98,9,0,0.0,9.0,6
99,7,0,0.0,7.0,39
100,6,0,0.0,6.0,1
101,11,0,0.0,11.0,162
102,5,0,0.0,5.0,12
103,26,0,0.0,26.0,325
104,7,0,0.0,7.0,0
105,10,0,0.0,10.0,201
106,6,0,0.0,6.0,17
107,9,0,0.0,9.0,48
108,9,0,0.0,9.0,15
109,2,0,0.0,2.0,11
110,1,0,0.0,1.0,1
111,6,0,0.0,6.0,51
112,8,0,0.0,8.0,0
113,8,0,0.0,8.0,8
114,4,0,0.0,4.0,0
115,9,0,0.0,9.0,6
116,5,0,0.0,5.0,28
117,12,0,0.0,12.0,121
118,5,0,0.0,5.0,2
119,2,0,0.0,2.0,1
120,1,0,0.0,1.0,0
121,6,0,0.0,6.0,3
122,4,0,0.0,4.0,2
123,9,0,0.0,9.0,150
124,4,0,0.0,4.0,4
125,7,0,0.0,7.0,34
126,7,0,0.0,7.0,68
127,8,0,0.0,8.0,7
128,2,0,0.0,2.0,1
129,7,0,0.0,7.0,20
130,0,0,0.0,0.0,0
131,5,0,0.0,5.0,39
132,2,0,0.0,2.0,0
133,6,0,0.0,6.0,1
134,6,0,0.0,6.0,1
135,2,0,0.0,2.0,0
136,5,0,0.0,5.0,11
137,4,0,0.0,4.0,1
138,4,0,0.0,4.0,1
139,8,0,0.0,8.0,71
140,10,0,0.0,10.0,70
141,0,0,0.0,0.0,0
142,6,0,0.0,6.0,62
143,7,0,0.0,7.0,220
144,1,0,0.0,1.0,0
145,7,0,0.0,7.0,69
146,11,0,0.0,11.0,189
147,6,0,0.0,6.0,1
148,6,0,0.0,6.0,43
149,6,0,0.0,6.0,15
150,5,0,0.0,5.0,31
151,2,0,0.0,2.0,0
152,5,0,0.0,5.0,9
153,9,0,0.0,9.0,37
154,5,0,0.0,5.0,2
155,2,0,0.0,2.0,0
156,10,0,0.0,10.0,6
157,7,0,0.0,7.0,53
158,13,0,0.0,13.0,1
159,4,0,0.0,4.0,87
160,7,0,0.0,7.0,0
161,2,0,0.0,2.0,1
162,20,0,0.0,20.0,525
163,2,0,0.0,2.0,0
164,2,0,0.0,2.0,1
165,1,0,0.0,1.0,0
166,20,0,0.0,20.0,1580
167,10,0,0.0,10.0,354
168,3,0,0.0,3.0,12
169,5,0,0.0,5.0,1
170,13,0,0.0,13.0,120
171,0,0,0.0,0.0,0
172,3,0,0.0,3.0,1
173,1,0,0.0,1.0,1
174,1,0,0.0,1.0,0
175,8,0,0.0,8.0,1
176,5,0,0.0,5.0,39
177,2,0,0.0,2.0,0
178,7,0,0.0,7.0,4
179,8,0,0.0,8.0,96
180,6,0,0.0,6.0,68
181,6,0,0.0,6.0,38
182,5,0,0.0,5.0,32
183,8,0,0.0,8.0,1
184,11,0,0.0,11.0,268
185,7,0,0.0,7.0,0
186,6,0,0.0,6.0,1
187,7,0,0.0,7.0,28
188,4,0,0.0,4.0,21
189,2,0,0.0,2.0,1
190,10,0,0.0,10.0,167
191,3,0,0.0,3.0,1
192,7,0,0.0,7.0,65
193,3,0,0.0,3.0,10
194,6,0,0.0,6.0,34
195,4,0,0.0,4.0,2
196,4,0,0.0,4.0,1
197,5,0,0.0,5.0,24
198,4,0,0.0,4.0,1
199,6,0,0.0,6.0,30
200,2,0,0.0,2.0,0
201,2,0,0.0,2.0,12
202,7,0,0.0,7.0,0
203,7,0,0.0,7.0,1
204,6,0,0.0,6.0,3
205,7,0,0.0,7.0,1
206,0,0,0.0,0.0,0
207,5,0,0.0,5.0,0
208,9,0,0.0,9.0,59
209,2,0,0.0,2.0,1
210,14,0,0.0,14.0,24
211,3,0,0.0,3.0,16
212,5,0,0.0,5.0,30
213,11,0,0.0,11.0,35
214,7,0,0.0,7.0,59
215,4,0,0.0,4.0,0
216,5,0,0.0,5.0,29
217,2,0,0.0,2.0,0
218,2,0,0.0,2.0,1
219,8,0,0.0,8.0,82
220,10,0,0.0,10.0,118
221,6,0,0.0,6.0,5
222,2,0,0.0,2.0,0
223,6,0,0.0,6.0,1
224,13,0,0.0,13.0,39
225,7,0,0.0,7.0,0
226,2,0,0.0,2.0,2
227,2,0,0.0,2.0,3
228,2,0,0.0,2.0,1
229,2,0,0.0,2.0,1
230,7,0,0.0,7.0,150
231,13,0,0.0,13.0,97
232,7,0,0.0,7.0,46
233,5,0,0.0,5.0,21
234,9,0,0.0,9.0,77
235,8,0,0.0,8.0,20
236,5,0,0.0,5.0,1
237,10,0,0.0,10.0,53
238,8,0,0.0,8.0,0
239,6,0,0.0,6.0,0
240,3,0,0.0,3.0,18
241,9,0,0.0,9.0,140
242,5,0,0.0,5.0,47
243,5,0,0.0,5.0,1
244,6,0,0.0,6.0,20
245,5,0,0.0,5.0,9
246,6,0,0.0,6.0,96
247,6,0,0.0,6.0,26
248,2,0,0.0,2.0,1
249,0,0,0.0,0.0,0
250,6,0,0.0,6.0,6
251,9,0,0.0,9.0,65
252,3,0,0.0,3.0,8
253,11,0,0.0,11.0,409
254,17,0,0.0,17.0,379
255,4,0,0.0,4.0,7
256,11,0,0.0,11.0,32
257,10,0,0.0,10.0,54
258,6,0,0.0,6.0,0
259,8,0,0.0,8.0,105
260,8,0,0.0,8.0,11
261,2,0,0.0,2.0,1
262,4,0,0.0,4.0,27
263,6,0,0.0,6.0,32
264,6,0,0.0,6.0,6
265,7,0,0.0,7.0,48
266,4,0,0.0,4.0,2
267,4,0,0.0,4.0,0
268,4,0,0.0,4.0,2
269,0,0,0.0,0.0,0
270,6,0,0.0,6.0,1
271,4,0,0.0,4.0,1
272,7,0,0.0,7.0,29
273,7,0,0.0,7.0,0
274,10,0,0.0,10.0,2
275,4,0,0.0,4.0,10
276,11,0,0.0,11.0,5
277,7,0,0.0,7.0,0
278,4,0,0.0,4.0,25
279,4,0,0.0,4.0,4
280,1,0,0.0,1.0,1
281,5,0,0.0,5.0,3
282,11,0,0.0,11.0,1
283,6,0,0.0,6.0,51
284,9,0,0.0,9.0,8
285,4,0,0.0,4.0,0
286,0,0,0.0,0.0,1
287,7,0,0.0,7.0,0
288,6,0,0.0,6.0,4
289,8,0,0.0,8.0,56
290,7,0,0.0,7.0,0
291,9,0,0.0,9.0,1
292,2,0,0.0,2.0,8
293,6,0,0.0,6.0,52
294,12,0,0.0,12.0,160
295,4,0,0.0,4.0,0
296,7,0,0.0,7.0,1
297,3,0,0.0,3.0,41
298,0,0,0.0,0.0,0
299,5,0,0.0,5.0,39
300,7,0,0.0,7.0,75
301,5,0,0.0,5.0,1
302,0,0,0.0,0.0,0
303,2,0,0.0,2.0,0
304,2,0,0.0,2.0,1
305,7,0,0.0,7.0,106
306,2,0,0.0,2.0,9
307,7,0,0.0,7.0,50
308,5,0,0.0,5.0,1
309,5,0,0.0,5.0,13
310,3,0,0.0,3.0,2
311,6,0,0.0,6.0,38
312,6,0,0.0,6.0,73
313,5,0,0.0,5.0,27
314,4,0,0.0,4.0,1
315,9,0,0.0,9.0,183
316,7,0,0.0,7.0,63
317,6,0,0.0,6.0,9
318,1,0,0.0,1.0,3
319,6,0,0.0,6.0,23
320,3,0,0.0,3.0,16
321,4,0,0.0,4.0,0
322,8,0,0.0,8.0,0
323,8,0,0.0,8.0,87
324,4,0,0.0,4.0,25
325,5,0,0.0,5.0,1
326,0,0,0.0,0.0,0
327,4,0,0.0,4.0,1
328,19,0,0.0,19.0,427
329,2,0,0.0,2.0,10
330,9,0,0.0,9.0,119
331,1,0,0.0,1.0,0
332,16,0,0.0,16.0,68
333,9,0,0.0,9.0,238
334,2,0,0.0,2.0,0
335,6,0,0.0,6.0,2
336,0,0,0.0,0.0,0
337,3,0,0.0,3.0,15
338,4,0,0.0,4.0,34
339,1,0,0.0,1.0,0
340,10,0,0.0,10.0,38
341,2,0,0.0,2.0,13
342,9,0,0.0,9.0,170
343,10,0,0.0,10.0,19
344,4,0,0.0,4.0,1
345,4,0,0.0,4.0,2
346,4,0,0.0,4.0,3
347,7,0,0.0,7.0,5
348,2,0,0.0,2.0,0
349,5,0,0.0,5.0,6
350,8,0,0.0,8.0,106
351,6,0,0.0,6.0,74
352,4,0,0.0,4.0,1
353,6,0,0.0,6.0,1
354,4,0,0.0,4.0,0
355,4,0,0.0,4.0,39
356,3,0,0.0,3.0,2
357,10,0,0.0,10.0,99
358,2,0,0.0,2.0,0
359,4,1,0.0,5.0,17
360,4,0,0.0,4.0,2
361,11,0,0.0,11.0,266
362,6,0,0.0,6.0,0
363,9,0,0.0,9.0,0
364,9,0,0.0,9.0,89
365,6,0,0.0,6.0,6
366,2,0,0.0,2.0,16
367,23,0,0.0,23.0,71
368,6,0,0.0,6.0,54
369,8,0,0.0,8.0,6
370,7,0,0.0,7.0,1
371,2,0,0.0,2.0,0
372,6,0,0.0,6.0,11
373,4,0,0.0,4.0,0
374,17,0,0.0,17.0,410
375,3,0,0.0,3.0,0
376,8,0,0.0,8.0,42
377,1,0,0.0,1.0,3
378,9,0,0.0,9.0,0
379,7,0,0.0,7.0,1
380,6,0,0.0,6.0,0
381,2,0,0.0,2.0,0
382,5,0,0.0,5.0,55
383,6,0,0.0,6.0,1
384,5,0,0.0,5.0,0
385,4,0,0.0,4.0,1
386,4,0,0.0,4.0,12
387,1,0,0.0,1.0,0
388,10,0,0.0,10.0,41
389,6,0,0.0,6.0,10
390,7,0,0.0,7.0,87
391,2,0,0.0,2.0,2
392,4,0,0.0,4.0,1
393,5,0,0.0,5.0,43
394,9,0,0.0,9.0,95
395,5,0,0.0,5.0,31
396,4,0,0.0,4.0,2
397,9,0,0.0,9.0,84
398,6,0,0.0,6.0,11
399,4,0,0.0,4.0,28
400,6,0,0.0,6.0,23
401,5,0,0.0,5.0,0
402,4,0,0.0,4.0,11
403,10,0,0.0,10.0,1
404,9,0,0.0,9.0,164
405,6,0,0.0,6.0,1
406,9,0,0.0,9.0,119
407,0,0,0.0,0.0,0
408,7,0,0.0,7.0,37
409,5,0,0.0,5.0,15
410,6,0,0.0,6.0,46
411,5,0,0.0,5.0,3
412,9,0,0.0,9.0,2
413,4,0,0.0,4.0,2
414,6,0,0.0,6.0,5
415,2,0,0.0,2.0,0
416,2,0,0.0,2.0,4
417,3,0,0.0,3.0,3
418,10,0,0.0,10.0,2
419,2,0,0.0,2.0,1
420,6,0,0.0,6.0,0
421,8,0,0.0,8.0,15
422,3,0,0.0,3.0,5
423,4,0,0.0,4.0,23
424,6,0,0.0,6.0,10
425,6,0,0.0,6.0,32
426,4,0,0.0,4.0,2
427,8,0,0.0,8.0,40
428,9,0,0.0,9.0,156
429,5,0,0.0,5.0,9
430,8,0,0.0,8.0,87
431,23,0,0.0,23.0,1000
432,5,0,0.0,5.0,24
433,5,0,0.0,5.0,45
434,5,0,0.0,5.0,1
435,6,0,0.0,6.0,23
