TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,2,0.0,6.0,16
1,4,0,0.0,4.0,9
2,4,1,0.0,4.0,11
3,2,0,0.0,2.0,1
4,4,0,0.0,4.0,29
5,3,0,0.0,3.0,10
6,5,0,0.0,5.0,3
7,8,0,0.0,8.0,61
8,6,0,0.0,6.0,12
9,5,0,0.0,5.0,29
10,14,2,0.0,14.0,87
11,5,0,0.0,5.0,28
12,4,0,0.0,4.0,13
13,6,1,0.0,6.0,1
14,8,0,0.0,8.0,17
15,12,0,0.0,12.0,327
16,2,0,0.0,2.0,1
17,0,0,0.0,0.0,0
18,6,2,0.0,6.0,4
19,5,0,0.0,5.0,28
20,3,0,0.0,3.0,0
21,5,0,0.0,5.0,1
22,4,0,0.0,4.0,0
23,6,0,0.0,6.0,24
24,7,0,0.0,7.0,32
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,27
27,7,0,0.0,7.0,14
28,5,3,0.0,5.0,0
29,4,0,0.0,4.0,0
30,6,0,0.0,6.0,28
31,3,0,0.0,3.0,1
32,1,0,0.0,1.0,0
33,2,0,0.0,2.0,8
34,15,0,0.0,15.0,434
35,5,0,0.0,5.0,9
36,0,0,0.0,0.0,0
37,4,0,0.0,4.0,14
38,7,0,0.0,7.0,22
39,3,0,0.0,3.0,0
40,3,0,0.0,3.0,5
41,9,1,0.0,9.0,38
42,4,1,0.0,4.0,32
43,2,0,0.0,2.0,1
44,6,1,0.0,6.0,38
45,7,0,0.0,7.0,17
46,7,0,0.0,7.0,10
47,4,0,0.0,4.0,1
48,7,2,0.0,7.0,11
49,3,1,0.0,3.0,2
50,1,0,0.0,1.0,0
51,8,2,0.0,8.0,29
52,2,0,0.0,2.0,1
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,51
55,6,0,0.0,6.0,12
56,7,0,0.0,7.0,0
57,5,0,0.0,5.0,1
58,9,0,0.0,9.0,57
