TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,4,2,0.0,6.0,7
1,4,0,0.0,4.0,2
2,3,1,0.0,4.0,6
3,2,0,0.0,2.0,3
4,4,0,0.0,4.0,3
5,3,0,0.0,3.0,0
6,4,1,0.0,5.0,2
7,8,0,0.0,8.0,2
8,6,0,0.0,6.0,1
9,5,0,0.0,5.0,1
10,13,2,0.0,15.0,3
11,5,0,0.0,5.0,2
12,4,0,0.0,4.0,1
13,5,1,0.0,6.0,0
14,8,0,0.0,8.0,2
15,12,0,0.0,12.0,6
16,2,0,0.0,2.0,1
17,0,0,0.0,0.0,0
18,4,2,0.0,6.0,1
19,5,0,0.0,5.0,1
20,3,0,0.0,3.0,1
21,5,0,0.0,5.0,1
22,4,0,0.0,4.0,0
23,6,0,0.0,6.0,4
24,7,0,0.0,7.0,1
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,0
27,7,0,0.0,7.0,0
28,2,3,0.0,5.0,0
29,4,0,0.0,4.0,1
30,6,0,0.0,6.0,0
31,3,0,0.0,3.0,0
32,1,0,0.0,1.0,1
33,2,0,0.0,2.0,0
34,15,0,0.0,15.0,5
35,3,2,0.0,5.0,2
36,0,0,0.0,0.0,0
37,4,0,0.0,4.0,1
38,7,0,0.0,7.0,0
39,3,0,0.0,3.0,1
40,3,0,0.0,3.0,0
41,8,1,0.0,9.0,1
42,3,1,0.0,4.0,1
43,1,1,0.0,2.0,0
44,5,1,0.0,6.0,1
45,7,0,0.0,7.0,1
46,7,0,0.0,7.0,1
47,4,0,0.0,4.0,1
48,2,5,0.0,7.0,1
49,2,1,0.0,3.0,0
50,1,0,0.0,1.0,0
51,8,0,0.0,8.0,2
52,2,0,0.0,2.0,0
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,2
55,6,0,0.0,6.0,2
56,7,0,0.0,7.0,1
57,5,0,0.0,5.0,1
58,9,0,0.0,9.0,6
59,4,0,0.0,4.0,0
60,2,0,0.0,2.0,0
61,7,1,0.0,8.0,1
62,2,0,0.0,2.0,0
63,8,0,0.0,8.0,1
64,4,3,0.0,7.0,1
65,6,1,0.0,7.0,1
66,2,0,0.0,2.0,0
67,11,0,0.0,11.0,2
68,6,1,0.0,7.0,1
69,4,0,0.0,4.0,1
70,3,0,0.0,3.0,0
71,5,0,0.0,5.0,1
72,5,0,0.0,5.0,1
73,3,0,0.0,3.0,0
74,6,2,0.0,8.0,1
75,0,0,0.0,0.0,0
76,20,0,0.0,20.0,14
77,3,0,0.0,3.0,0
78,2,1,0.0,3.0,0
79,4,0,0.0,4.0,0
80,13,0,0.0,13.0,1
81,3,1,0.0,4.0,1
82,5,0,0.0,5.0,0
83,4,0,0.0,4.0,1
84,5,0,0.0,5.0,0
85,1,0,0.0,1.0,0
86,3,2,0.0,5.0,1
87,4,0,0.0,4.0,1
88,3,0,0.0,3.0,0
89,2,0,0.0,2.0,0
90,4,0,0.0,4.0,1
91,8,0,0.0,8.0,2
92,2,0,0.0,2.0,0
93,1,0,0.0,1.0,1
94,13,0,0.0,13.0,4
95,7,0,0.0,7.0,1
96,3,0,0.0,3.0,1
97,0,0,0.0,0.0,0
98,9,0,0.0,9.0,1
99,6,1,0.0,7.0,5
100,6,0,0.0,6.0,0
101,11,0,0.0,11.0,3
102,5,0,0.0,5.0,0
103,23,2,0.0,25.0,6
104,5,1,0.0,6.0,1
105,10,0,0.0,10.0,2
106,6,0,0.0,6.0,1
107,7,1,0.0,8.0,1
108,6,2,0.0,8.0,1
109,2,0,0.0,2.0,0
110,1,0,0.0,1.0,0
111,6,0,0.0,6.0,1
112,0,6,0.0,6.0,0
113,8,0,0.0,8.0,1
114,4,0,0.0,4.0,0
115,0,9,0.0,9.0,1
116,5,0,0.0,5.0,1
117,10,1,0.0,11.0,8
118,5,0,0.0,5.0,1
119,2,0,0.0,2.0,0
120,1,0,0.0,1.0,0
121,6,0,0.0,6.0,1
122,4,0,0.0,4.0,1
123,7,2,0.0,9.0,4
124,4,0,0.0,4.0,0
125,7,0,0.0,7.0,1
126,7,0,0.0,7.0,1
127,8,0,0.0,8.0,0
128,2,0,0.0,2.0,1
129,7,0,0.0,7.0,0
130,0,0,0.0,0.0,0
131,5,0,0.0,5.0,1
132,2,0,0.0,2.0,0
133,4,1,0.0,5.0,0
134,0,5,0.0,5.0,0
135,2,0,0.0,2.0,1
136,5,0,0.0,5.0,0
137,4,0,0.0,4.0,0
138,4,0,0.0,4.0,0
139,8,0,0.0,8.0,1
140,8,2,0.0,10.0,14
141,0,0,0.0,0.0,0
142,6,0,0.0,6.0,1
143,7,0,0.0,7.0,2
144,1,0,0.0,1.0,0
145,7,0,0.0,7.0,1
146,11,0,0.0,11.0,3
147,6,0,0.0,6.0,1
148,6,0,0.0,6.0,1
149,6,0,0.0,6.0,1
150,4,1,0.0,5.0,1
151,2,0,0.0,2.0,1
152,5,0,0.0,5.0,1
153,9,0,0.0,9.0,1
154,5,0,0.0,5.0,0
155,2,0,0.0,2.0,1
156,6,3,0.0,9.0,1
157,5,2,0.0,7.0,2
158,7,2,0.0,9.0,1
159,4,0,0.0,4.0,1
160,3,4,0.0,7.0,1
161,2,0,0.0,2.0,0
162,20,0,0.0,20.0,3
163,2,0,0.0,2.0,0
164,2,0,0.0,2.0,0
165,1,0,0.0,1.0,0
166,20,0,0.0,20.0,6
167,10,0,0.0,10.0,3
168,3,0,0.0,3.0,0
169,3,1,0.0,4.0,0
170,13,0,0.0,13.0,2
171,0,0,0.0,0.0,0
172,3,0,0.0,3.0,0
173,1,0,0.0,1.0,1
174,1,0,0.0,1.0,0
175,6,1,0.0,7.0,1
176,5,0,0.0,5.0,1
177,2,0,0.0,2.0,1
178,5,1,0.0,6.0,0
179,8,0,0.0,8.0,7
180,6,0,0.0,6.0,2
181,6,0,0.0,6.0,3
182,5,0,0.0,5.0,1
183,6,1,0.0,7.0,2
184,11,0,0.0,11.0,3
185,0,5,0.0,5.0,1
186,4,1,0.0,5.0,6
187,7,0,0.0,7.0,1
188,4,0,0.0,4.0,1
189,2,0,0.0,2.0,0
190,10,0,0.0,10.0,4
191,3,0,0.0,3.0,0
192,7,0,0.0,7.0,3
193,3,0,0.0,3.0,0
194,6,0,0.0,6.0,1
195,4,0,0.0,4.0,1
196,2,1,0.0,3.0,0
197,5,0,0.0,5.0,1
198,4,0,0.0,4.0,1
199,6,0,0.0,6.0,1
200,2,0,0.0,2.0,1
201,2,0,0.0,2.0,0
202,5,1,0.0,6.0,2
203,5,2,0.0,7.0,0
204,4,1,0.0,5.0,1
205,5,1,0.0,6.0,1
206,0,0,0.0,0.0,0
207,5,0,0.0,5.0,0
208,9,0,0.0,9.0,2
209,2,0,0.0,2.0,1
