TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,2,0.0,6.0,9
1,4,0,0.0,4.0,4
2,4,1,0.0,4.0,6
3,2,0,0.0,2.0,0
4,4,0,0.0,4.0,7
5,3,0,0.0,3.0,1
6,4,1,0.0,5.0,2
7,8,0,0.0,8.0,2
8,6,0,0.0,6.0,3
9,5,0,0.0,5.0,2
10,14,2,0.0,15.0,6
11,5,0,0.0,5.0,2
12,4,0,0.0,4.0,2
13,6,1,0.0,6.0,1
14,8,0,0.0,8.0,3
15,12,0,0.0,12.0,10
16,2,0,0.0,2.0,1
17,0,0,0.0,0.0,0
18,6,2,0.0,6.0,1
19,5,0,0.0,5.0,2
20,3,0,0.0,3.0,0
21,5,0,0.0,5.0,1
22,4,0,0.0,4.0,1
23,6,0,0.0,6.0,5
24,7,0,0.0,7.0,2
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,2
27,7,0,0.0,7.0,1
28,5,3,0.0,5.0,1
29,4,0,0.0,4.0,1
30,6,0,0.0,6.0,2
31,3,0,0.0,3.0,0
32,1,0,0.0,1.0,1
33,2,0,0.0,2.0,0
34,15,0,0.0,15.0,7
35,5,0,0.0,5.0,2
36,0,0,0.0,0.0,0
37,4,2,0.0,4.0,2
38,7,0,0.0,7.0,1
39,3,0,0.0,3.0,0
40,3,0,0.0,3.0,1
41,9,1,0.0,9.0,1
42,4,1,0.0,4.0,2
43,1,1,0.0,2.0,1
44,5,1,0.0,6.0,1
45,7,0,0.0,7.0,2
46,7,0,0.0,7.0,2
47,4,0,0.0,4.0,0
48,7,3,0.0,7.0,2
49,3,1,0.0,3.0,1
50,1,0,0.0,1.0,0
51,8,0,0.0,8.0,4
52,2,0,0.0,2.0,0
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,2
55,6,0,0.0,6.0,2
56,7,0,0.0,7.0,1
57,5,0,0.0,5.0,1
58,9,0,0.0,9.0,6
59,4,0,0.0,4.0,1
60,2,0,0.0,2.0,0
61,8,1,0.0,8.0,1
62,2,0,0.0,2.0,1
63,8,0,0.0,8.0,2
64,7,3,0.0,7.0,1
65,7,1,0.0,7.0,1
66,2,0,0.0,2.0,1
67,11,0,0.0,11.0,4
68,7,1,0.0,7.0,2
69,4,0,0.0,4.0,1
70,3,0,0.0,3.0,1
71,5,0,0.0,5.0,0
72,5,0,0.0,5.0,0
73,3,0,0.0,3.0,1
74,8,2,0.0,8.0,1
75,0,0,0.0,0.0,0
76,20,0,0.0,20.0,15
77,3,0,0.0,3.0,0
78,3,1,0.0,3.0,0
79,4,0,0.0,4.0,1
80,13,0,0.0,13.0,2
81,4,1,0.0,4.0,0
82,5,0,0.0,5.0,2
83,4,0,0.0,4.0,1
84,5,0,0.0,5.0,0
85,1,0,0.0,1.0,0
86,5,2,0.0,5.0,1
87,4,0,0.0,4.0,0
88,3,0,0.0,3.0,1
89,2,0,0.0,2.0,0
90,4,0,0.0,4.0,1
91,8,0,0.0,8.0,2
92,2,0,0.0,2.0,1
93,1,0,0.0,1.0,0
94,13,0,0.0,13.0,5
95,7,0,0.0,7.0,2
96,3,0,0.0,3.0,0
97,0,0,0.0,0.0,0
98,9,0,0.0,9.0,2
99,7,0,0.0,7.0,2
100,6,0,0.0,6.0,1
101,11,0,0.0,11.0,1
102,5,0,0.0,5.0,1
103,25,2,0.0,25.0,6
104,6,1,0.0,6.0,1
105,10,0,0.0,10.0,2
106,6,0,0.0,6.0,1
107,8,1,0.0,8.0,2
108,7,2,0.0,8.0,1
109,2,0,0.0,2.0,1
110,1,0,0.0,1.0,0
111,6,0,0.0,6.0,1
112,6,7,0.0,7.0,1
113,8,0,0.0,8.0,1
114,4,0,0.0,4.0,0
115,9,9,0.0,9.0,1
116,5,0,0.0,5.0,1
117,11,1,0.0,11.0,3
118,5,0,0.0,5.0,0
119,2,0,0.0,2.0,1
120,1,0,0.0,1.0,0
121,6,0,0.0,6.0,1
122,4,0,0.0,4.0,4
123,9,2,0.0,9.0,5
124,4,0,0.0,4.0,1
125,7,0,0.0,7.0,1
126,7,0,0.0,7.0,1
127,8,0,0.0,8.0,2
128,2,0,0.0,2.0,0
129,7,0,0.0,7.0,1
130,0,0,0.0,0.0,0
131,5,0,0.0,5.0,1
132,2,0,0.0,2.0,0
133,5,1,0.0,5.0,1
134,5,5,0.0,5.0,0
135,2,0,0.0,2.0,0
136,5,0,0.0,5.0,1
137,4,0,0.0,4.0,0
138,4,0,0.0,4.0,1
139,8,0,0.0,8.0,2
140,10,2,0.0,10.0,1
141,0,0,0.0,0.0,0
142,6,0,0.0,6.0,0
143,7,0,0.0,7.0,3
144,1,0,0.0,1.0,1
145,7,0,0.0,7.0,1
146,11,0,0.0,11.0,1
147,6,0,0.0,6.0,1
148,6,0,0.0,6.0,1
149,6,0,0.0,6.0,1
150,4,1,0.0,5.0,1
151,2,0,0.0,2.0,0
152,5,0,0.0,5.0,1
153,9,0,0.0,9.0,2
154,5,0,0.0,5.0,0
155,2,0,0.0,2.0,1
156,9,1,0.0,9.0,1
157,7,2,0.0,7.0,1
158,9,2,0.0,9.0,2
159,4,0,0.0,4.0,1
160,7,0,0.0,7.0,1
161,2,0,0.0,2.0,0
162,20,0,0.0,20.0,5
163,2,0,0.0,2.0,0
164,2,0,0.0,2.0,0
165,1,0,0.0,1.0,0
166,20,0,0.0,20.0,11
167,10,0,0.0,10.0,4
168,3,0,0.0,3.0,0
169,4,1,0.0,4.0,1
170,13,2,0.0,13.0,3
171,0,0,0.0,0.0,0
172,3,0,0.0,3.0,0
173,1,0,0.0,1.0,1
174,1,0,0.0,1.0,0
175,7,1,0.0,7.0,1
176,5,0,0.0,5.0,1
177,2,0,0.0,2.0,0
178,6,1,0.0,6.0,1
179,8,0,0.0,8.0,2
180,6,0,0.0,6.0,1
181,6,0,0.0,6.0,1
182,5,0,0.0,5.0,1
183,7,1,0.0,7.0,1
184,11,0,0.0,11.0,3
185,5,6,0.0,6.0,0
186,5,1,0.0,5.0,1
187,7,2,0.0,7.0,4
188,4,0,0.0,4.0,1
189,2,0,0.0,2.0,0
190,10,0,0.0,10.0,4
191,3,2,0.0,3.0,0
192,7,0,0.0,7.0,2
193,3,0,0.0,3.0,1
194,6,0,0.0,6.0,0
195,4,0,0.0,4.0,1
196,3,1,0.0,3.0,0
197,5,0,0.0,5.0,2
198,4,0,0.0,4.0,0
199,6,0,0.0,6.0,1
200,2,0,0.0,2.0,0
201,2,0,0.0,2.0,1
