TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,7,1
1,7,0
2,8,1
3,2,0
4,7,0
5,0,0
6,5,1
7,2,0
8,6,0
9,6,0
10,2,0
11,5,0
12,4,0
13,4,0
14,8,1
15,10,0
16,0,0
17,6,0
18,7,2
19,1,0
20,7,0
21,11,1
22,6,0
23,6,1
24,6,0
25,5,1
26,2,0
27,5,0
28,9,1
29,5,0
30,2,0
31,10,0
32,7,1
33,13,0
34,4,0
35,7,0
36,2,2
37,20,1
38,2,1
39,2,0
40,1,0
41,20,4
42,10,2
43,3,0
44,5,1
45,13,0
46,0,0
47,3,0
48,1,1
49,1,0
50,8,0
51,5,0
52,2,0
53,7,0
54,8,1
55,6,1
56,6,0
57,5,0
58,8,1
59,11,1
60,7,1
61,6,0
62,7,0
63,4,1
64,2,0
65,10,0
66,3,0
67,7,1
68,3,0
69,6,1
70,4,0
71,4,0
72,5,0
73,4,0
74,6,2
75,2,0
76,2,0
77,7,0
78,7,0
79,6,1
80,7,0
81,0,0
82,5,0
83,9,1
84,2,0
85,14,0
86,3,1
87,5,0
88,11,1
89,7,0
90,4,0
91,5,1
92,2,0
93,2,0
94,8,0
95,10,1
96,6,0
97,2,0
98,6,1
99,13,1
100,7,0
101,2,1
102,2,0
103,2,0
104,2,0
105,7,1
106,13,1
107,7,0
108,5,1
109,9,0
110,8,1
111,5,0
112,10,0
113,8,1
114,6,0
115,3,0
116,9,1
117,5,1
118,5,0
119,6,0
120,5,0
121,6,1
122,6,0
123,2,0
124,0,0
125,6,1
126,9,0
127,3,0
128,11,3
129,17,1
130,4,0
131,11,2
132,10,0
133,6,0
134,8,2
135,8,0
136,2,0
137,4,0
138,6,1
139,6,0
140,7,0
141,4,1
142,4,0
143,4,0
144,0,0
145,6,0
146,4,0
147,7,1
148,7,0
149,10,0
150,4,1
151,11,0
152,7,0
153,4,0
154,4,0
155,1,0
156,5,1
157,11,0
158,6,1
159,9,0
160,4,0
161,0,0
162,7,1
163,6,0
164,8,0
165,7,0
166,9,1
167,2,0
168,6,0
169,12,1
170,4,0
171,7,0
172,3,0
173,0,1
174,5,0
175,7,0
176,5,1
177,0,0
178,2,0
179,2,0
180,7,0
181,2,0
182,7,0
183,5,0
184,5,2
185,3,0
186,6,0
187,6,1
188,5,0
189,4,0
190,9,1
191,7,0
192,6,0
193,1,1
194,6,0
195,3,0
196,4,0
197,8,0
198,8,1
199,4,1
200,5,0
201,0,0
202,4,0
203,19,1
204,2,1
205,9,0
206,1,0
207,16,1
208,9,1
209,2,0
210,6,1
211,0,0
212,3,0
213,4,0
214,1,0
215,10,1
216,2,0
217,9,1
218,10,1
219,4,0
220,4,0
221,4,0
222,7,0
223,2,0
224,5,1
225,8,0
226,6,1
227,4,0
228,6,0
229,4,0
230,4,1
231,3,0
232,10,0
233,2,1
234,5,0
235,4,0
236,11,1
237,6,0
238,9,0
239,9,1
240,6,0
241,2,0
242,23,2
243,6,0
244,8,1
245,7,0
246,2,0
247,6,0
248,4,1
249,17,1
250,3,0
251,8,1
252,1,0
253,9,0
254,7,1
255,6,0
256,2,0
257,5,0
258,6,0
259,5,0
260,4,1
261,4,0
262,1,0
263,10,1
264,6,0
265,7,0
266,2,1
267,4,0
268,5,0
269,9,1
270,5,0
271,4,0
272,9,1
273,6,0
274,4,0
275,6,0
276,5,1
277,4,0
278,10,0
279,9,1
280,6,0
281,9,1
282,0,0
283,7,0
284,5,0
285,6,0
286,5,1
287,9,0
288,4,0
289,6,1
290,2,0
291,2,0
292,3,0
293,10,1
294,2,0
295,6,0
296,8,0
297,3,0
298,4,1
299,6,0
300,6,0
301,4,0
302,8,1
303,9,0
304,5,1
305,8,1
306,23,2
307,5,1
308,5,0
309,5,1
310,6,0
311,6,0
312,5,0
313,16,2
314,7,1
315,6,0
316,4,0
317,5,1
318,5,0
319,2,0
320,4,0
321,12,2
322,9,1
323,10,0
324,2,1
325,8,0
326,7,0
327,2,0
328,3,1
329,2,0
330,2,0
331,6,0
332,6,1
333,4,0
334,2,0
335,4,0
336,2,0
337,6,0
338,5,1
339,8,0
340,3,0
341,6,0
342,5,1
343,25,5
344,3,0
345,8,0
346,7,0
347,8,1
348,9,0
349,8,1
350,2,0
351,7,0
352,8,1
353,12,2
354,4,0
355,6,0
356,7,1
357,4,0
358,2,0
359,10,1
360,4,0
361,0,0
362,17,1
363,3,0
364,9,1
365,6,0
366,9,0
367,6,0
368,0,1
369,4,0
370,21,2
371,4,0
372,9,0
373,7,1
374,6,0
375,20,4
376,20,5
377,20,5
378,20,4
379,20,5
380,20,8
381,20,5
382,20,4
383,20,4
384,20,5
385,20,4
386,20,5
387,20,5
388,20,4
389,20,4
390,20,5
391,20,5
392,20,5
393,20,4
394,20,5
395,20,4
396,20,5
397,20,4
398,20,4
399,20,5
400,20,5
401,20,4
402,20,5
403,20,4
404,20,4
405,20,5
406,20,5
407,20,4
408,20,4
409,20,5
410,20,5
411,20,4
412,20,5
413,20,4
414,20,4
415,20,5
416,20,4
417,20,4
418,20,5
419,20,5
420,20,4
421,20,4
422,20,5
423,20,4
424,20,5
425,20,4
426,20,5
427,20,5
428,20,4
429,20,5
430,20,6
431,20,4
432,20,5
433,20,4
434,20,5
435,20,4
436,20,4
437,20,6
438,20,4
439,20,4
440,20,5
441,20,4
442,20,5
443,20,4
444,20,5
445,20,4
446,20,4
447,20,5
448,20,5
449,20,4
450,20,4
451,20,5
452,20,5
453,20,4
454,20,4
455,20,5
456,20,4
457,20,5
458,20,5
459,20,4
460,20,4
461,20,5
462,20,5
463,20,4
464,20,4
465,20,5
466,20,5
467,20,4
468,20,4
469,20,5
470,20,5
471,20,4
472,20,4
473,20,5
474,20,5
475,20,4
476,20,4
477,20,5
478,20,4
479,20,5
480,20,5
481,20,4
482,20,4
483,20,5
484,20,5
485,20,4
486,20,4
487,20,5
488,20,5
489,20,4
490,20,5
491,20,5
492,20,4
493,20,4
494,20,5
495,20,9
496,20,4
497,20,4
498,20,6
499,20,4
