TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,7,0,0.0,7.0,1
1,7,0,0.0,7.0,0
2,8,0,0.0,8.0,1
3,2,0,0.0,2.0,0
4,7,0,0.0,7.0,0
5,0,0,0.0,0.0,0
6,5,0,0.0,5.0,0
7,2,0,0.0,2.0,1
8,6,0,0.0,6.0,0
9,6,0,0.0,6.0,0
10,2,0,0.0,2.0,0
11,5,0,0.0,5.0,0
12,4,0,0.0,4.0,0
13,4,0,0.0,4.0,1
14,8,0,0.0,8.0,0
15,10,0,0.0,10.0,0
16,0,0,0.0,0.0,0
17,6,0,0.0,6.0,1
18,7,0,0.0,7.0,1
19,1,0,0.0,1.0,0
20,7,0,0.0,7.0,0
21,11,0,0.0,11.0,1
22,6,0,0.0,6.0,0
23,6,0,0.0,6.0,1
24,6,0,0.0,6.0,0
25,5,0,0.0,5.0,1
26,2,0,0.0,2.0,0
27,5,0,0.0,5.0,0
28,9,0,0.0,9.0,1
29,5,0,0.0,5.0,0
30,2,0,0.0,2.0,0
31,10,0,0.0,10.0,1
32,7,0,0.0,7.0,0
33,13,0,0.0,13.0,0
34,4,0,0.0,4.0,1
35,7,0,0.0,7.0,0
36,2,0,0.0,2.0,0
37,20,0,0.0,20.0,2
38,2,0,0.0,2.0,0
39,2,0,0.0,2.0,0
40,1,0,0.0,1.0,0
41,20,0,0.0,20.0,5
42,10,0,0.0,10.0,2
43,3,0,0.0,3.0,0
44,5,0,0.0,5.0,0
45,13,0,0.0,13.0,1
46,0,0,0.0,0.0,0
47,3,0,0.0,3.0,0
48,1,0,0.0,1.0,0
49,1,0,0.0,1.0,0
50,8,0,0.0,8.0,1
51,5,0,0.0,5.0,0
52,2,0,0.0,2.0,0
53,7,0,0.0,7.0,1
54,8,0,0.0,8.0,0
55,6,0,0.0,6.0,1
56,6,0,0.0,6.0,0
57,5,0,0.0,5.0,0
58,8,0,0.0,8.0,1
59,11,0,0.0,11.0,1
60,7,0,0.0,7.0,1
61,6,0,0.0,6.0,0
62,7,0,0.0,7.0,0
63,4,0,0.0,4.0,0
64,2,0,0.0,2.0,1
65,10,0,0.0,10.0,0
66,3,0,0.0,3.0,0
67,7,0,0.0,7.0,1
68,3,0,0.0,3.0,0
69,6,0,0.0,6.0,0
70,4,0,0.0,4.0,1
71,4,0,0.0,4.0,0
72,5,0,0.0,5.0,0
73,4,0,0.0,4.0,0
74,6,0,0.0,6.0,1
75,2,0,0.0,2.0,0
76,2,0,0.0,2.0,0
77,7,0,0.0,7.0,0
78,7,0,0.0,7.0,1
79,6,0,0.0,6.0,0
80,7,0,0.0,7.0,0
81,0,0,0.0,0.0,0
82,5,0,0.0,5.0,0
83,9,0,0.0,9.0,1
84,2,0,0.0,2.0,0
85,14,0,0.0,14.0,1
86,3,0,0.0,3.0,0
87,5,0,0.0,5.0,0
88,11,0,0.0,11.0,1
89,7,0,0.0,7.0,0
90,4,0,0.0,4.0,0
91,5,0,0.0,5.0,1
92,2,0,0.0,2.0,0
93,2,0,0.0,2.0,0
94,8,0,0.0,8.0,0
95,10,0,0.0,10.0,1
96,6,0,0.0,6.0,0
97,2,0,0.0,2.0,0
98,6,0,0.0,6.0,1
99,13,0,0.0,13.0,1
100,7,0,0.0,7.0,0
101,2,0,0.0,2.0,0
102,2,0,0.0,2.0,1
103,2,0,0.0,2.0,0
104,2,0,0.0,2.0,0
105,7,0,0.0,7.0,1
106,13,0,0.0,13.0,2
107,7,0,0.0,7.0,0
108,5,0,0.0,5.0,1
109,9,0,0.0,9.0,0
110,8,0,0.0,8.0,1
111,5,0,0.0,5.0,0
112,10,0,0.0,10.0,0
113,8,0,0.0,8.0,0
114,6,0,0.0,6.0,1
115,3,0,0.0,3.0,0
116,9,0,0.0,9.0,1
117,5,0,0.0,5.0,0
118,5,0,0.0,5.0,0
119,6,0,0.0,6.0,1
120,5,0,0.0,5.0,0
121,6,0,0.0,6.0,1
122,6,0,0.0,6.0,0
123,2,0,0.0,2.0,0
124,0,0,0.0,0.0,0
125,6,0,0.0,6.0,1
126,9,0,0.0,9.0,0
127,3,0,0.0,3.0,1
128,11,0,0.0,11.0,1
129,17,0,0.0,17.0,1
130,4,0,0.0,4.0,1
131,11,0,0.0,11.0,1
132,10,0,0.0,10.0,0
133,6,0,0.0,6.0,0
134,8,0,0.0,8.0,2
135,8,0,0.0,8.0,0
136,2,0,0.0,2.0,0
137,4,0,0.0,4.0,1
138,6,0,0.0,6.0,0
139,6,0,0.0,6.0,0
140,7,0,0.0,7.0,1
141,4,0,0.0,4.0,0
142,4,0,0.0,4.0,0
143,4,0,0.0,4.0,0
144,0,0,0.0,0.0,0
145,6,0,0.0,6.0,0
146,4,0,0.0,4.0,1
147,7,0,0.0,7.0,0
148,7,0,0.0,7.0,0
149,10,0,0.0,10.0,1
150,4,0,0.0,4.0,0
151,11,0,0.0,11.0,0
152,7,0,0.0,7.0,1
153,4,0,0.0,4.0,0
154,4,0,0.0,4.0,0
155,1,0,0.0,1.0,0
156,5,0,0.0,5.0,0
157,11,0,0.0,11.0,1
158,6,0,0.0,6.0,1
159,9,0,0.0,9.0,0
160,4,0,0.0,4.0,0
161,0,0,0.0,0.0,0
162,7,0,0.0,7.0,0
163,6,0,0.0,6.0,1
164,8,0,0.0,8.0,0
165,7,0,0.0,7.0,0
166,9,0,0.0,9.0,1
167,2,0,0.0,2.0,0
168,6,0,0.0,6.0,0
169,12,0,0.0,12.0,1
170,4,0,0.0,4.0,0
171,7,0,0.0,7.0,0
172,3,0,0.0,3.0,0
173,0,0,0.0,0.0,0
174,5,0,0.0,5.0,1
175,7,0,0.0,7.0,0
176,5,0,0.0,5.0,0
177,0,0,0.0,0.0,1
178,2,0,0.0,2.0,0
179,2,0,0.0,2.0,0
180,7,0,0.0,7.0,0
181,2,0,0.0,2.0,0
182,7,0,0.0,7.0,1
183,5,0,0.0,5.0,0
184,5,0,0.0,5.0,0
185,3,0,0.0,3.0,0
186,6,0,0.0,6.0,1
187,6,0,0.0,6.0,0
188,5,0,0.0,5.0,0
189,4,0,0.0,4.0,0
190,9,0,0.0,9.0,1
191,7,0,0.0,7.0,1
192,6,0,0.0,6.0,0
193,1,0,0.0,1.0,0
194,6,0,0.0,6.0,1
195,3,0,0.0,3.0,0
196,4,0,0.0,4.0,0
197,8,0,0.0,8.0,0
198,8,0,0.0,8.0,1
199,4,0,0.0,4.0,0
200,5,0,0.0,5.0,0
201,0,0,0.0,0.0,0
