TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,7,0,0.0,7.0,1
1,7,0,0.0,7.0,0
2,8,0,0.0,8.0,1
3,2,0,0.0,2.0,0
4,7,0,0.0,7.0,0
5,0,0,0.0,0.0,0
6,5,0,0.0,5.0,1
7,2,0,0.0,2.0,0
8,4,1,0.0,5.0,0
9,0,5,0.0,5.0,0
10,2,0,0.0,2.0,0
11,5,0,0.0,5.0,0
12,4,0,0.0,4.0,1
13,4,0,0.0,4.0,0
14,8,0,0.0,8.0,0
15,8,2,0.0,10.0,1
16,0,0,0.0,0.0,0
17,6,0,0.0,6.0,1
18,7,0,0.0,7.0,1
19,1,0,0.0,1.0,0
20,7,0,0.0,7.0,0
21,11,0,0.0,11.0,1
22,6,0,0.0,6.0,0
23,6,0,0.0,6.0,1
24,6,0,0.0,6.0,0
25,4,1,0.0,5.0,1
26,2,0,0.0,2.0,0
27,5,0,0.0,5.0,0
28,9,0,0.0,9.0,1
29,5,0,0.0,5.0,0
30,2,0,0.0,2.0,0
31,6,3,0.0,9.0,1
32,5,2,0.0,7.0,0
33,7,2,0.0,9.0,1
34,4,0,0.0,4.0,0
35,3,4,0.0,7.0,0
36,2,0,0.0,2.0,0
37,20,0,0.0,20.0,2
38,2,0,0.0,2.0,0
39,2,0,0.0,2.0,0
40,1,0,0.0,1.0,0
41,20,0,0.0,20.0,5
42,10,0,0.0,10.0,2
43,3,0,0.0,3.0,0
44,3,1,0.0,4.0,0
45,13,0,0.0,13.0,1
46,0,0,0.0,0.0,0
47,3,0,0.0,3.0,0
48,1,0,0.0,1.0,0
49,1,0,0.0,1.0,0
50,6,1,0.0,7.0,1
51,5,0,0.0,5.0,0
52,2,0,0.0,2.0,0
53,5,1,0.0,6.0,1
54,8,0,0.0,8.0,0
55,6,0,0.0,6.0,1
56,6,0,0.0,6.0,0
57,5,0,0.0,5.0,1
58,6,1,0.0,7.0,0
59,11,0,0.0,11.0,1
60,0,5,0.0,5.0,1
61,4,1,0.0,5.0,0
62,7,0,0.0,7.0,0
63,4,0,0.0,4.0,1
64,2,0,0.0,2.0,0
65,10,0,0.0,10.0,1
66,3,0,0.0,3.0,0
67,7,0,0.0,7.0,1
68,3,0,0.0,3.0,0
69,6,0,0.0,6.0,1
70,4,0,0.0,4.0,0
71,2,1,0.0,3.0,0
72,5,0,0.0,5.0,0
73,4,0,0.0,4.0,0
74,6,0,0.0,6.0,1
75,2,0,0.0,2.0,0
76,2,0,0.0,2.0,0
77,5,1,0.0,6.0,1
78,5,2,0.0,7.0,0
79,4,1,0.0,5.0,0
80,5,1,0.0,6.0,0
81,0,0,0.0,0.0,0
82,5,0,0.0,5.0,1
83,9,0,0.0,9.0,0
84,2,0,0.0,2.0,0
85,7,3,0.0,10.0,1
86,3,0,0.0,3.0,0
87,5,0,0.0,5.0,0
88,1,9,0.0,10.0,1
89,5,2,0.0,7.0,1
90,2,1,0.0,3.0,0
91,5,0,0.0,5.0,0
92,2,0,0.0,2.0,0
93,2,0,0.0,2.0,0
94,8,0,0.0,8.0,1
95,10,0,0.0,10.0,1
96,4,2,0.0,6.0,0
97,0,2,0.0,2.0,0
98,6,0,0.0,6.0,1
99,11,1,0.0,12.0,1
100,5,1,0.0,6.0,0
101,2,0,0.0,2.0,0
102,2,0,0.0,2.0,0
103,2,0,0.0,2.0,0
104,2,0,0.0,2.0,1
105,7,0,0.0,7.0,0
106,11,1,0.0,12.0,2
107,7,0,0.0,7.0,1
108,5,0,0.0,5.0,0
109,9,0,0.0,9.0,1
110,4,1,0.0,5.0,0
111,3,1,0.0,4.0,0
112,10,0,0.0,10.0,1
113,6,1,0.0,7.0,0
114,4,1,0.0,5.0,0
115,3,0,0.0,3.0,0
116,9,0,0.0,9.0,1
117,5,0,0.0,5.0,1
118,5,0,0.0,5.0,0
119,6,0,0.0,6.0,0
120,5,0,0.0,5.0,1
121,5,1,0.0,6.0,0
122,6,0,0.0,6.0,1
123,2,0,0.0,2.0,0
124,0,0,0.0,0.0,0
125,4,2,0.0,6.0,0
126,9,0,0.0,9.0,1
127,3,0,0.0,3.0,0
128,11,0,0.0,11.0,2
129,17,0,0.0,17.0,2
130,4,0,0.0,4.0,1
131,6,3,0.0,9.0,1
132,6,3,0.0,9.0,0
133,0,4,0.0,4.0,0
134,6,1,0.0,7.0,1
135,8,0,0.0,8.0,1
136,2,0,0.0,2.0,0
137,4,0,0.0,4.0,0
138,6,0,0.0,6.0,1
139,4,1,0.0,5.0,0
140,7,0,0.0,7.0,1
141,4,0,0.0,4.0,0
142,4,0,0.0,4.0,0
143,4,0,0.0,4.0,0
144,0,0,0.0,0.0,0
145,0,5,0.0,5.0,1
146,4,0,0.0,4.0,0
147,5,1,0.0,6.0,0
148,5,1,0.0,6.0,0
149,8,1,0.0,9.0,1
150,4,0,0.0,4.0,0
151,7,2,0.0,9.0,0
152,5,1,0.0,6.0,1
153,4,0,0.0,4.0,0
154,4,0,0.0,4.0,0
155,1,0,0.0,1.0,0
156,5,0,0.0,5.0,1
157,9,1,0.0,10.0,0
158,6,0,0.0,6.0,1
159,5,2,0.0,7.0,0
160,2,1,0.0,3.0,0
161,0,0,0.0,0.0,0
162,5,1,0.0,6.0,0
163,4,2,0.0,6.0,1
164,8,0,0.0,8.0,0
165,4,2,0.0,6.0,0
166,6,2,0.0,8.0,1
167,2,0,0.0,2.0,0
168,6,0,0.0,6.0,0
169,12,0,0.0,12.0,1
170,4,0,0.0,4.0,0
171,4,2,0.0,6.0,0
172,3,0,0.0,3.0,0
173,0,0,0.0,0.0,0
174,5,0,0.0,5.0,1
175,7,0,0.0,7.0,0
176,5,0,0.0,5.0,0
177,0,0,0.0,0.0,0
178,2,0,0.0,2.0,1
179,2,0,0.0,2.0,0
180,6,1,0.0,7.0,1
181,2,0,0.0,2.0,0
182,7,0,0.0,7.0,0
183,5,0,0.0,5.0,1
184,5,0,0.0,5.0,0
185,3,0,0.0,3.0,0
186,6,0,0.0,6.0,0
187,6,0,0.0,6.0,1
188,5,0,0.0,5.0,0
189,4,0,0.0,4.0,0
190,9,0,0.0,9.0,1
191,7,0,0.0,7.0,1
192,5,1,0.0,6.0,0
193,1,0,0.0,1.0,0
194,6,0,0.0,6.0,1
195,3,0,0.0,3.0,0
196,2,1,0.0,3.0,0
197,0,7,0.0,7.0,0
198,8,0,0.0,8.0,1
199,4,0,0.0,4.0,0
200,5,0,0.0,5.0,0
201,0,0,0.0,0.0,0
