TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,4,0
1,6,1
2,4,0
3,2,0
4,6,1
5,3,1
6,5,0
7,10,1
8,10,1
9,7,0
10,13,2
11,14,1
12,6,0
13,5,0
14,15,1
15,12,3
16,4,0
17,2,1
18,5,0
19,7,1
20,6,0
21,7,0
22,4,0
23,6,1
24,9,1
25,2,0
26,6,1
27,9,0
28,6,0
29,7,1
30,8,0
31,5,0
32,3,1
33,4,0
34,19,3
35,5,1
36,2,0
37,6,1
38,9,0
39,5,0
40,7,1
41,13,1
42,5,1
43,2,0
44,8,0
45,9,1
46,9,0
47,6,1
48,5,0
49,4,0
50,3,0
51,8,1
52,4,0
53,2,0
54,10,1
55,8,1
56,7,0
57,6,0
58,9,1
59,4,1
60,4,0
61,13,0
62,6,1
63,13,1
64,5,0
65,8,1
66,6,0
67,11,2
68,8,1
69,6,1
70,5,0
71,7,1
72,5,0
73,3,0
74,7,1
75,2,0
76,21,3
77,3,1
78,4,0
79,6,0
80,17,1
81,5,0
82,7,1
83,8,1
84,5,0
85,3,0
86,5,1
87,9,0
88,3,0
89,2,0
90,6,1
91,11,0
92,4,1
93,5,0
94,13,3
95,9,1
96,5,0
97,2,0
98,9,1
99,7,1
100,7,0
101,13,1
102,5,1
103,24,3
104,6,0
105,12,2
106,8,0
107,9,1
108,9,1
109,4,0
110,1,0
111,8,1
112,6,0
113,6,1
114,4,0
115,9,1
116,7,1
117,12,1
118,6,0
119,6,1
120,3,0
121,4,0
122,4,0
123,9,2
124,6,0
125,9,1
126,9,1
127,8,0
128,2,1
129,11,0
130,2,0
131,7,1
132,2,0
133,6,0
134,6,0
135,6,1
136,13,0
137,4,1
138,6,0
139,10,2
140,10,0
141,2,0
142,8,1
143,9,2
144,1,0
145,9,1
146,13,1
147,6,0
148,11,0
149,13,2
150,7,0
151,2,1
152,5,0
153,13,1
154,6,0
155,6,0
156,12,1
157,7,0
158,11,1
159,6,1
160,7,0
161,4,0
162,22,3
163,6,0
164,6,1
165,3,0
166,20,8
167,20,1
168,7,1
169,5,0
170,14,2
171,2,0
172,6,0
173,3,0
174,3,0
175,8,1
176,9,0
177,6,1
178,7,0
179,10,2
180,8,0
181,8,1
182,11,0
183,10,1
184,13,2
185,5,0
186,8,1
187,7,0
188,6,1
189,2,0
190,10,1
191,3,1
192,7,0
193,3,1
194,11,0
195,6,0
196,4,1
197,7,0
198,7,1
199,13,0
200,4,0
201,4,1
202,12,0
203,5,0
204,6,1
205,7,0
206,2,0
207,6,1
208,10,0
209,6,0
210,12,1
211,5,1
212,7,0
213,9,1
214,7,0
215,6,0
216,7,1
217,6,0
218,4,0
219,8,1
220,12,1
221,6,0
222,2,1
223,6,0
224,13,2
225,5,0
226,4,0
227,6,1
228,6,0
229,6,1
230,9,0
231,13,3
232,7,1
233,5,0
234,10,1
235,6,0
236,5,1
237,10,0
238,8,1
239,6,0
240,5,1
241,11,1
242,7,1
243,5,0
244,8,1
245,5,0
246,8,1
247,13,1
248,6,0
249,2,0
250,6,0
251,9,1
252,5,1
253,13,2
254,17,2
255,7,0
256,9,2
257,10,1
258,4,0
259,8,1
260,8,1
261,2,0
262,4,0
263,4,1
264,6,0
265,7,1
266,4,0
267,4,0
268,6,1
269,2,0
270,6,0
271,6,0
272,10,1
273,8,0
274,15,1
275,13,2
276,9,1
277,5,0
278,6,0
279,7,1
280,3,0
281,6,0
282,16,1
283,10,1
284,7,1
285,4,0
286,2,0
287,8,0
288,6,0
289,8,1
290,5,0
291,7,1
292,4,0
293,14,1
294,16,1
295,4,0
296,5,0
297,5,0
298,2,1
299,9,0
300,7,1
301,6,0
302,2,0
303,6,1
304,2,0
305,9,1
306,4,0
307,9,1
308,6,0
309,5,0
310,3,0
311,14,1
312,8,1
313,7,0
314,6,0
315,11,3
316,9,0
317,5,0
318,3,0
319,8,1
320,5,0
321,4,0
322,6,0
323,8,2
324,6,0
325,6,1
326,2,0
327,6,0
328,21,2
329,4,1
330,13,1
331,3,0
332,14,2
333,13,2
334,6,1
335,6,0
336,2,0
337,5,0
338,6,1
339,3,0
340,8,1
341,6,0
342,7,1
343,10,0
344,4,1
345,7,0
346,4,0
347,7,1
348,6,0
349,7,0
350,10,1
351,13,1
352,6,0
353,6,0
354,6,0
355,6,1
356,5,0
357,10,2
358,2,0
359,5,0
360,6,0
361,13,2
362,6,0
363,11,1
364,11,1
365,4,0
366,4,1
367,23,4
368,10,1
369,8,0
370,7,1
371,2,0
372,9,0
373,4,0
374,19,3
375,5,0
376,8,1
377,3,0
378,9,1
379,5,0
380,5,0
381,2,0
382,7,1
383,6,0
384,5,0
385,6,0
386,6,1
387,3,0
388,10,1
389,10,1
390,11,1
391,6,0
392,6,0
393,7,1
394,9,1
395,13,1
396,6,0
397,9,1
398,11,0
399,6,1
400,12,1
401,3,0
402,8,0
403,8,1
404,9,1
405,4,1
406,9,0
407,2,1
408,9,0
409,9,1
410,8,0
411,5,0
412,9,1
413,6,0
414,6,1
415,6,0
416,6,0
417,5,1
418,10,1
419,4,0
420,5,0
421,6,0
422,5,1
423,6,0
424,6,0
425,8,0
426,6,1
427,14,0
428,9,2
429,5,0
430,8,1
431,23,4
432,11,1
433,7,1
434,5,0
435,6,1
436,8,1
437,5,0
438,16,2
439,9,1
440,6,0
441,6,1
442,5,0
443,7,1
444,2,0
445,6,1
446,10,1
447,9,1
448,8,1
449,6,0
450,6,0
451,7,2
452,4,0
453,5,1
454,4,0
455,4,0
456,8,1
457,4,0
458,6,1
459,6,0
460,6,0
461,6,0
462,6,1
463,5,0
464,10,1
465,3,0
466,6,1
467,6,0
468,28,3
469,5,0
470,6,1
471,5,0
472,8,1
473,11,0
474,10,2
475,6,0
476,9,0
477,10,1
478,14,5
479,6,0
480,6,0
481,9,1
482,6,1
483,2,0
484,10,2
485,4,0
486,2,0
487,18,2
488,6,0
489,12,4
490,6,0
491,9,1
492,8,1
493,2,0
494,4,0
495,23,4
496,6,1
497,9,1
498,7,0
499,6,1
