TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,2,1,0.0,3.0,1
1,6,0,0.0,6.0,0
2,10,0,0.0,10.0,1
3,3,0,0.0,3.0,0
4,5,0,0.0,5.0,0
5,10,0,0.0,10.0,1
6,2,0,0.0,2.0,0
7,12,0,0.0,12.0,0
8,7,0,0.0,7.0,0
9,8,0,0.0,8.0,1
10,10,0,0.0,10.0,1
11,8,0,0.0,8.0,0
12,9,0,0.0,9.0,1
13,2,0,0.0,2.0,0
14,12,0,0.0,12.0,0
15,14,0,0.0,14.0,1
16,4,0,0.0,4.0,0
17,4,0,0.0,4.0,0
18,6,0,0.0,6.0,0
19,8,0,0.0,8.0,0
20,3,0,0.0,3.0,0
21,4,0,0.0,4.0,1
22,3,0,0.0,3.0,0
23,10,0,0.0,10.0,0
24,10,0,0.0,10.0,1
25,3,0,0.0,3.0,0
26,7,0,0.0,7.0,0
27,9,0,0.0,9.0,1
28,4,0,0.0,4.0,0
29,4,0,0.0,4.0,0
30,10,0,0.0,10.0,1
31,3,0,0.0,3.0,0
32,3,0,0.0,3.0,0
33,7,0,0.0,7.0,0
34,16,0,0.0,16.0,4
35,8,0,0.0,8.0,1
36,4,0,0.0,4.0,0
37,5,0,0.0,5.0,0
38,10,0,0.0,10.0,1
39,3,0,0.0,3.0,0
40,6,0,0.0,6.0,1
41,10,0,0.0,10.0,0
42,9,0,0.0,9.0,1
43,5,0,0.0,5.0,0
44,7,0,0.0,7.0,1
45,8,0,0.0,8.0,0
46,6,0,0.0,6.0,1
47,3,0,0.0,3.0,0
48,6,0,0.0,6.0,0
49,9,0,0.0,9.0,0
50,3,0,0.0,3.0,1
51,6,1,0.0,7.0,1
52,3,0,0.0,3.0,0
53,4,0,0.0,4.0,0
54,14,0,0.0,14.0,1
55,11,0,0.0,11.0,0
56,8,0,0.0,8.0,2
57,3,0,0.0,3.0,0
58,10,0,0.0,10.0,0
59,3,0,0.0,3.0,0
60,4,0,0.0,4.0,0
61,10,0,0.0,10.0,1
62,6,0,0.0,6.0,0
63,9,0,0.0,9.0,1
64,4,0,0.0,4.0,0
65,9,0,0.0,9.0,1
66,4,0,0.0,4.0,0
67,17,0,0.0,17.0,1
68,9,0,0.0,9.0,1
69,10,0,0.0,10.0,0
70,8,0,0.0,8.0,1
71,8,0,0.0,8.0,0
72,3,0,0.0,3.0,0
73,6,0,0.0,6.0,1
74,10,0,0.0,10.0,1
75,4,0,0.0,4.0,0
76,18,0,0.0,18.0,4
77,3,0,0.0,3.0,0
78,3,0,0.0,3.0,0
79,3,0,0.0,3.0,0
80,14,0,0.0,14.0,2
81,7,0,0.0,7.0,0
82,8,0,0.0,8.0,1
83,7,0,0.0,7.0,1
84,6,0,0.0,6.0,0
85,3,0,0.0,3.0,0
86,10,0,0.0,10.0,1
87,6,0,0.0,6.0,0
88,6,0,0.0,6.0,1
89,4,0,0.0,4.0,0
90,5,0,0.0,5.0,0
91,8,0,0.0,8.0,0
92,10,0,0.0,10.0,1
93,3,0,0.0,3.0,0
94,16,0,0.0,16.0,4
95,11,0,0.0,11.0,0
96,3,0,0.0,3.0,0
97,4,0,0.0,4.0,0
98,10,0,0.0,10.0,1
99,10,0,0.0,10.0,0
100,4,0,0.0,4.0,1
101,15,0,0.0,15.0,1
102,6,0,0.0,6.0,1
103,25,0,0.0,25.0,4
104,3,0,0.0,3.0,0
105,17,0,0.0,17.0,2
106,8,0,0.0,8.0,1
107,8,0,0.0,8.0,0
108,10,0,0.0,10.0,1
109,5,0,0.0,5.0,0
110,3,0,0.0,3.0,0
111,10,0,0.0,10.0,1
112,4,0,0.0,4.0,0
