TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,6,0,0.0,6.0,8
1,4,0,0.0,4.0,5
2,4,0,0.0,4.0,3
3,2,0,0.0,2.0,2
4,4,0,0.0,4.0,4
5,3,0,0.0,3.0,1
6,5,0,0.0,5.0,7
7,8,0,0.0,8.0,3
8,6,0,0.0,6.0,3
9,5,0,0.0,5.0,2
10,15,0,0.0,15.0,3
11,5,0,0.0,5.0,1
12,4,0,0.0,4.0,1
13,7,0,0.0,7.0,1
14,8,0,0.0,8.0,1
15,12,0,0.0,12.0,9
16,2,0,0.0,2.0,0
17,0,0,0.0,0.0,1
18,7,0,0.0,7.0,1
19,5,0,0.0,5.0,0
20,3,0,0.0,3.0,0
21,5,0,0.0,5.0,1
22,4,0,0.0,4.0,0
23,6,0,0.0,6.0,2
24,7,0,0.0,7.0,0
25,0,0,0.0,0.0,0
26,6,0,0.0,6.0,1
27,7,0,0.0,7.0,1
28,6,2,0.0,6.0,0
29,4,0,0.0,4.0,0
30,6,0,0.0,6.0,1
31,3,0,0.0,3.0,0
32,1,0,0.0,1.0,0
33,2,0,0.0,2.0,1
34,15,0,0.0,15.0,2
35,5,0,0.0,5.0,1
36,0,0,0.0,0.0,0
37,4,0,0.0,4.0,0
38,7,0,0.0,7.0,1
39,3,0,0.0,3.0,0
40,3,0,0.0,3.0,1
41,10,0,0.0,10.0,0
42,5,0,0.0,5.0,1
43,2,0,0.0,2.0,1
44,6,1,0.0,6.0,0
45,7,0,0.0,7.0,1
46,7,0,0.0,7.0,1
47,4,0,0.0,4.0,0
48,7,0,0.0,7.0,0
49,4,0,0.0,4.0,1
50,1,0,0.0,1.0,0
51,8,0,0.0,8.0,1
52,2,0,0.0,2.0,0
53,0,0,0.0,0.0,0
54,8,0,0.0,8.0,1
55,6,0,0.0,6.0,1
56,7,0,0.0,7.0,1
57,5,0,0.0,5.0,0
58,9,0,0.0,9.0,1
59,4,0,0.0,4.0,0
60,2,0,0.0,2.0,0
61,9,0,0.0,9.0,1
62,2,0,0.0,2.0,0
63,8,0,0.0,8.0,1
64,7,0,0.0,7.0,1
65,8,0,0.0,8.0,0
66,2,0,0.0,2.0,1
67,11,0,0.0,11.0,3
68,8,0,0.0,8.0,2
69,4,0,0.0,4.0,0
70,3,0,0.0,3.0,1
71,5,0,0.0,5.0,0
72,5,0,0.0,5.0,0
73,3,0,0.0,3.0,1
74,9,0,0.0,9.0,1
75,0,0,0.0,0.0,0
76,20,0,0.0,20.0,10
77,3,0,0.0,3.0,0
78,4,0,0.0,4.0,0
79,4,0,0.0,4.0,0
80,13,0,0.0,13.0,1
81,5,0,0.0,5.0,0
82,5,0,0.0,5.0,1
83,4,0,0.0,4.0,0
84,5,0,0.0,5.0,1
85,1,0,0.0,1.0,0
86,5,0,0.0,5.0,0
87,4,0,0.0,4.0,1
88,3,0,0.0,3.0,0
89,2,0,0.0,2.0,0
90,4,0,0.0,4.0,0
91,8,0,0.0,8.0,1
92,2,0,0.0,2.0,1
93,1,0,0.0,1.0,0
94,13,0,0.0,13.0,1
95,7,0,0.0,7.0,1
96,3,0,0.0,3.0,0
97,0,0,0.0,0.0,0
98,9,0,0.0,9.0,1
99,7,0,0.0,7.0,0
100,6,0,0.0,6.0,1
101,11,0,0.0,11.0,0
102,5,0,0.0,5.0,2
103,26,0,0.0,26.0,3
104,7,0,0.0,7.0,0
105,10,0,0.0,10.0,2
106,6,0,0.0,6.0,0
107,9,0,0.0,9.0,1
108,9,0,0.0,9.0,1
109,2,0,0.0,2.0,0
110,1,0,0.0,1.0,0
111,6,0,0.0,6.0,1
112,8,0,0.0,8.0,0
113,8,0,0.0,8.0,1
114,4,0,0.0,4.0,0
115,9,0,0.0,9.0,0
116,5,0,0.0,5.0,1
117,12,0,0.0,12.0,2
118,5,0,0.0,5.0,1
119,2,0,0.0,2.0,0
120,1,0,0.0,1.0,0
121,6,0,0.0,6.0,0
122,4,0,0.0,4.0,1
123,9,0,0.0,9.0,1
124,4,0,0.0,4.0,0
125,7,0,0.0,7.0,1
126,7,0,0.0,7.0,1
127,8,0,0.0,8.0,1
128,2,0,0.0,2.0,0
129,7,0,0.0,7.0,0
130,0,0,0.0,0.0,0
131,5,0,0.0,5.0,0
132,2,0,0.0,2.0,0
133,6,0,0.0,6.0,1
134,6,0,0.0,6.0,0
135,2,0,0.0,2.0,0
136,5,0,0.0,5.0,0
137,4,0,0.0,4.0,1
138,4,0,0.0,4.0,0
139,8,0,0.0,8.0,0
140,10,0,0.0,10.0,1
141,0,0,0.0,0.0,0
142,6,0,0.0,6.0,0
143,7,0,0.0,7.0,2
144,1,0,0.0,1.0,0
145,7,0,0.0,7.0,1
146,11,0,0.0,11.0,1
147,6,0,0.0,6.0,0
148,6,0,0.0,6.0,1
149,6,0,0.0,6.0,5
150,5,0,0.0,5.0,1
151,2,0,0.0,2.0,0
152,5,0,0.0,5.0,1
153,9,0,0.0,9.0,1
154,5,0,0.0,5.0,1
155,2,0,0.0,2.0,0
156,10,0,0.0,10.0,1
157,7,0,0.0,7.0,1
158,13,0,0.0,13.0,1
159,4,0,0.0,4.0,1
160,7,0,0.0,7.0,1
161,2,0,0.0,2.0,0
162,20,0,0.0,20.0,4
163,2,0,0.0,2.0,0
164,2,0,0.0,2.0,0
165,1,0,0.0,1.0,0
166,20,0,0.0,20.0,7
167,10,0,0.0,10.0,1
168,3,0,0.0,3.0,1
169,5,0,0.0,5.0,0
170,13,0,0.0,13.0,1
171,0,0,0.0,0.0,0
172,3,0,0.0,3.0,0
173,1,0,0.0,1.0,0
174,1,0,0.0,1.0,0
175,8,0,0.0,8.0,1
176,5,0,0.0,5.0,0
177,2,0,0.0,2.0,0
178,7,0,0.0,7.0,1
179,8,0,0.0,8.0,0
180,6,0,0.0,6.0,0
181,6,0,0.0,6.0,0
182,5,0,0.0,5.0,1
183,8,0,0.0,8.0,0
184,11,0,0.0,11.0,2
185,7,0,0.0,7.0,0
186,6,0,0.0,6.0,1
187,7,0,0.0,7.0,0
188,4,0,0.0,4.0,0
189,2,0,0.0,2.0,0
190,10,0,0.0,10.0,1
191,3,0,0.0,3.0,1
192,7,0,0.0,7.0,0
193,3,0,0.0,3.0,0
194,6,0,0.0,6.0,1
195,4,0,0.0,4.0,0
196,4,0,0.0,4.0,0
197,5,0,0.0,5.0,1
198,4,0,0.0,4.0,0
199,6,0,0.0,6.0,1
200,2,0,0.0,2.0,0
201,2,0,0.0,2.0,0
202,7,0,0.0,7.0,0
203,7,0,0.0,7.0,0
204,6,0,0.0,6.0,1
205,7,0,0.0,7.0,0
206,0,0,0.0,0.0,0
207,5,0,0.0,5.0,1
208,9,0,0.0,9.0,0
209,2,0,0.0,2.0,0
210,14,0,0.0,14.0,1
211,3,0,0.0,3.0,0
212,5,0,0.0,5.0,1
213,11,0,0.0,11.0,0
214,7,0,0.0,7.0,1
215,4,0,0.0,4.0,0
216,5,0,0.0,5.0,0
217,2,0,0.0,2.0,0
218,2,0,0.0,2.0,0
219,8,0,0.0,8.0,1
220,10,0,0.0,10.0,1
221,6,0,0.0,6.0,0
222,2,0,0.0,2.0,0
223,6,0,0.0,6.0,1
224,13,0,0.0,13.0,1
225,7,0,0.0,7.0,1
226,2,0,0.0,2.0,0
227,2,0,0.0,2.0,0
228,2,0,0.0,2.0,0
229,2,0,0.0,2.0,0
230,7,1,0.0,7.0,1
231,13,0,0.0,13.0,3
232,7,0,0.0,7.0,0
233,5,0,0.0,5.0,1
234,9,0,0.0,9.0,0
235,8,0,0.0,8.0,1
236,5,0,0.0,5.0,0
237,10,0,0.0,10.0,1
238,8,0,0.0,8.0,0
239,6,0,0.0,6.0,0
240,3,0,0.0,3.0,1
241,9,0,0.0,9.0,0
242,5,0,0.0,5.0,1
243,5,0,0.0,5.0,0
244,6,0,0.0,6.0,0
245,5,0,0.0,5.0,1
246,6,1,0.0,6.0,1
247,6,0,0.0,6.0,1
248,2,0,0.0,2.0,0
249,0,0,0.0,0.0,0
250,6,0,0.0,6.0,1
251,9,0,0.0,9.0,1
252,3,0,0.0,3.0,1
253,11,0,0.0,11.0,3
254,17,0,0.0,17.0,2
255,4,0,0.0,4.0,1
256,11,0,0.0,11.0,2
257,10,0,0.0,10.0,1
258,6,0,0.0,6.0,0
259,8,0,0.0,8.0,3
260,8,0,0.0,8.0,1
261,2,0,0.0,2.0,0
262,4,0,0.0,4.0,0
263,6,0,0.0,6.0,1
264,6,0,0.0,6.0,1
265,7,0,0.0,7.0,1
266,4,0,0.0,4.0,0
267,4,0,0.0,4.0,1
268,4,0,0.0,4.0,0
269,0,0,0.0,0.0,0
270,6,0,0.0,6.0,1
271,4,0,0.0,4.0,0
272,7,0,0.0,7.0,1
273,7,0,0.0,7.0,0
274,10,0,0.0,10.0,1
275,4,0,0.0,4.0,1
276,11,0,0.0,11.0,1
277,7,0,0.0,7.0,0
278,4,0,0.0,4.0,1
279,4,0,0.0,4.0,0
280,1,0,0.0,1.0,1
281,5,0,0.0,5.0,0
282,11,0,0.0,11.0,2
283,6,0,0.0,6.0,0
284,9,0,0.0,9.0,1
285,4,0,0.0,4.0,0
286,0,0,0.0,0.0,1
287,7,0,0.0,7.0,0
288,6,0,0.0,6.0,1
289,8,0,0.0,8.0,0
290,7,0,0.0,7.0,1
291,9,0,0.0,9.0,0
292,2,0,0.0,2.0,1
293,6,0,0.0,6.0,1
294,12,0,0.0,12.0,1
295,4,0,0.0,4.0,0
296,7,0,0.0,7.0,1
297,3,0,0.0,3.0,0
298,0,0,0.0,0.0,0
299,5,0,0.0,5.0,1
300,7,0,0.0,7.0,1
301,5,0,0.0,5.0,0
302,0,0,0.0,0.0,1
303,2,0,0.0,2.0,0
304,2,0,0.0,2.0,0
305,7,0,0.0,7.0,1
306,2,0,0.0,2.0,0
307,7,0,0.0,7.0,1
308,5,0,0.0,5.0,5
309,5,0,0.0,5.0,1
310,3,0,0.0,3.0,0
311,6,0,0.0,6.0,1
312,6,0,0.0,6.0,1
313,5,0,0.0,5.0,1
314,4,0,0.0,4.0,0
315,9,0,0.0,9.0,1
316,7,0,0.0,7.0,1
317,6,0,0.0,6.0,1
318,1,0,0.0,1.0,0
319,6,0,0.0,6.0,1
320,3,0,0.0,3.0,0
321,4,0,0.0,4.0,0
322,8,0,0.0,8.0,0
323,8,0,0.0,8.0,2
324,4,0,0.0,4.0,0
325,5,0,0.0,5.0,0
326,0,0,0.0,0.0,1
327,4,0,0.0,4.0,0
328,19,0,0.0,19.0,1
329,2,0,0.0,2.0,1
330,9,0,0.0,9.0,1
331,1,0,0.0,1.0,0
332,16,0,0.0,16.0,1
333,9,0,0.0,9.0,1
334,2,0,0.0,2.0,0
335,6,0,0.0,6.0,0
336,0,0,0.0,0.0,0
337,3,0,0.0,3.0,1
338,4,0,0.0,4.0,0
339,1,0,0.0,1.0,0
340,10,0,0.0,10.0,1
341,2,0,0.0,2.0,0
342,9,0,0.0,9.0,1
343,10,0,0.0,10.0,1
344,4,0,0.0,4.0,0
345,4,0,0.0,4.0,1
346,4,1,0.0,4.0,0
347,7,0,0.0,7.0,0
348,2,0,0.0,2.0,0
349,5,0,0.0,5.0,0
350,8,0,0.0,8.0,1
351,6,0,0.0,6.0,1
352,4,0,0.0,4.0,0
353,6,0,0.0,6.0,0
354,4,0,0.0,4.0,0
355,4,0,0.0,4.0,1
356,3,0,0.0,3.0,0
357,10,0,0.0,10.0,1
358,2,0,0.0,2.0,0
359,5,0,0.0,5.0,0
360,4,0,0.0,4.0,0
361,11,0,0.0,11.0,1
362,6,0,0.0,6.0,1
363,9,0,0.0,9.0,0
364,9,0,0.0,9.0,1
365,6,0,0.0,6.0,0
366,2,0,0.0,2.0,1
367,23,0,0.0,23.0,2
368,6,0,0.0,6.0,0
369,8,0,0.0,8.0,1
370,7,0,0.0,7.0,0
371,2,0,0.0,2.0,0
372,6,0,0.0,6.0,0
373,4,0,0.0,4.0,1
374,17,0,0.0,17.0,1
375,3,0,0.0,3.0,0
376,8,0,0.0,8.0,1
377,1,0,0.0,1.0,0
378,9,0,0.0,9.0,1
379,7,0,0.0,7.0,0
380,6,0,0.0,6.0,0
381,2,0,0.0,2.0,0
382,5,0,0.0,5.0,1
383,6,0,0.0,6.0,0
384,5,0,0.0,5.0,0
385,4,0,0.0,4.0,1
386,4,0,0.0,4.0,0
387,1,0,0.0,1.0,0
388,10,0,0.0,10.0,1
389,6,0,0.0,6.0,0
390,7,0,0.0,7.0,1
391,2,0,0.0,2.0,0
392,4,0,0.0,4.0,0
393,5,0,0.0,5.0,0
394,9,0,0.0,9.0,1
395,5,0,0.0,5.0,0
396,4,0,0.0,4.0,1
397,9,0,0.0,9.0,0
398,6,0,0.0,6.0,0
399,4,0,0.0,4.0,1
400,6,0,0.0,6.0,0
401,5,0,0.0,5.0,0
402,4,0,0.0,4.0,1
403,10,0,0.0,10.0,0
404,9,0,0.0,9.0,1
405,6,0,0.0,6.0,0
406,9,0,0.0,9.0,0
407,0,0,0.0,0.0,1
408,7,0,0.0,7.0,0
409,5,0,0.0,5.0,0
410,6,0,0.0,6.0,0
411,5,0,0.0,5.0,1
412,9,0,0.0,9.0,0
413,4,0,0.0,4.0,0
414,6,0,0.0,6.0,1
415,2,0,0.0,2.0,0
416,2,0,0.0,2.0,0
417,3,0,0.0,3.0,0
418,10,0,0.0,10.0,1
419,2,0,0.0,2.0,0
420,6,0,0.0,6.0,0
421,8,0,0.0,8.0,1
422,3,0,0.0,3.0,0
423,4,0,0.0,4.0,0
424,6,0,0.0,6.0,1
425,6,0,0.0,6.0,0
426,4,0,0.0,4.0,0
427,8,0,0.0,8.0,0
428,9,0,0.0,9.0,1
429,5,0,0.0,5.0,0
430,8,0,0.0,8.0,1
431,23,0,0.0,23.0,3
432,5,0,0.0,5.0,0
433,5,0,0.0,5.0,1
434,5,0,0.0,5.0,0
435,6,0,0.0,6.0,0
436,6,0,0.0,6.0,1
437,5,0,0.0,5.0,0
438,16,0,0.0,16.0,2
439,7,0,0.0,7.0,0
440,6,0,0.0,6.0,0
441,4,0,0.0,4.0,0
442,5,0,0.0,5.0,2
443,5,0,0.0,5.0,0
444,2,0,0.0,2.0,0
445,4,0,0.0,4.0,0
446,12,1,0.0,12.0,4
447,9,0,0.0,9.0,1
448,10,0,0.0,10.0,0
449,2,0,0.0,2.0,0
450,8,0,0.0,8.0,1
451,7,0,0.0,7.0,0
452,2,0,0.0,2.0,0
453,3,0,0.0,3.0,0
454,2,0,0.0,2.0,1
455,2,0,0.0,2.0,0
456,6,0,0.0,6.0,0
457,6,0,0.0,6.0,0
458,4,0,0.0,4.0,1
459,2,0,0.0,2.0,0
460,4,0,0.0,4.0,0
461,2,0,0.0,2.0,0
462,6,0,0.0,6.0,0
463,5,0,0.0,5.0,1
464,8,0,0.0,8.0,0
465,3,0,0.0,3.0,0
466,6,0,0.0,6.0,5
467,5,0,0.0,5.0,0
468,25,0,0.0,25.0,9
469,3,0,0.0,3.0,0
470,8,0,0.0,8.0,1
471,7,0,0.0,7.0,0
472,8,0,0.0,8.0,0
473,9,0,0.0,9.0,1
474,8,0,0.0,8.0,0
475,2,0,0.0,2.0,0
476,7,0,0.0,7.0,1
477,8,0,0.0,8.0,0
478,12,0,0.0,12.0,2
479,4,0,0.0,4.0,1
480,6,0,0.0,6.0,0
481,7,0,0.0,7.0,0
482,4,0,0.0,4.0,1
483,2,0,0.0,2.0,0
484,10,0,0.0,10.0,0
485,4,0,0.0,4.0,1
486,0,0,0.0,0.0,0
487,17,0,0.0,17.0,1
488,3,0,0.0,3.0,0
489,9,0,0.0,9.0,1
490,6,0,0.0,6.0,0
491,9,0,0.0,9.0,0
492,6,0,0.0,6.0,1
493,0,0,0.0,0.0,0
494,4,0,0.0,4.0,0
495,21,0,0.0,21.0,2
496,4,0,0.0,4.0,0
497,9,0,0.0,9.0,1
498,7,0,0.0,7.0,0
499,6,0,0.0,6.0,0
