TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,9,2,0.0,9.0,13
1,9,0,0.0,9.0,32
2,20,0,0.0,20.0,733
3,6,0,0.0,6.0,63
4,9,0,0.0,9.0,72
5,7,0,0.0,7.0,39
6,12,0,0.0,12.0,225
7,12,2,0.0,12.0,230
8,9,0,0.0,9.0,163
9,14,1,0.0,14.0,126
10,10,0,0.0,10.0,267
11,10,0,0.0,10.0,224
12,11,3,0.0,11.0,153
13,9,0,0.0,9.0,10
14,9,0,0.0,9.0,296
15,6,0,0.0,6.0,84
16,10,1,0.0,10.0,3
17,12,2,0.0,12.0,4
18,9,2,0.0,9.0,76
19,22,0,0.0,22.0,731
20,7,0,0.0,7.0,32
21,10,4,0.0,10.0,111
22,6,0,0.0,6.0,20
23,9,0,0.0,9.0,53
24,9,1,0.0,9.0,25
25,9,2,0.0,9.0,48
26,10,0,0.0,10.0,150
27,10,4,0.0,10.0,5
28,13,3,0.0,13.0,57
29,13,0,0.0,13.0,632
30,45,3,0.0,45.0,164
31,16,1,0.0,16.0,1771
32,15,0,0.0,15.0,279
33,8,0,0.0,8.0,70
34,10,4,0.0,10.0,51
35,6,0,0.0,6.0,22
36,12,0,0.0,12.0,46
37,6,0,0.0,6.0,39
38,12,1,0.0,12.0,30
39,10,0,0.0,10.0,167
40,7,0,0.0,7.0,70
41,12,0,0.0,12.0,12
42,10,3,0.0,10.0,39
43,9,3,0.0,9.0,1
44,9,3,0.0,9.0,29
45,9,3,0.0,9.0,66
46,6,0,0.0,6.0,60
47,31,0,0.0,31.0,67
48,9,0,0.0,9.0,58
49,6,0,0.0,6.0,52
50,7,1,0.0,7.0,1
51,7,0,0.0,7.0,39
52,11,2,0.0,11.0,1
53,8,0,0.0,8.0,73
54,8,0,0.0,8.0,176
55,8,0,0.0,8.0,231
56,16,1,0.0,16.0,2
57,7,4,0.0,7.0,2
58,8,0,0.0,8.0,114
59,11,0,0.0,11.0,429
60,9,1,0.0,9.0,17
61,12,0,0.0,12.0,259
62,9,1,0.0,9.0,19
63,9,0,0.0,9.0,256
64,7,0,0.0,7.0,93
65,12,0,0.0,12.0,218
66,10,2,0.0,10.0,19
67,17,2,0.0,17.0,2
68,9,0,0.0,9.0,137
69,16,0,0.0,16.0,496
70,15,1,0.0,15.0,3
71,5,0,0.0,5.0,34
72,7,0,0.0,7.0,86
73,17,1,0.0,17.0,3
74,15,0,0.0,15.0,1292
75,13,1,0.0,13.0,43
76,8,0,0.0,8.0,38
77,8,0,0.0,8.0,67
78,13,1,0.0,13.0,270
79,10,0,0.0,10.0,143
80,9,2,0.0,9.0,36
81,8,2,0.0,8.0,168
82,15,0,0.0,15.0,341
83,17,0,0.0,17.0,688
84,7,0,0.0,7.0,27
85,10,3,0.0,10.0,194
86,7,0,0.0,7.0,97
87,8,1,0.0,8.0,0
88,12,3,0.0,12.0,137
89,20,0,0.0,20.0,461
90,6,1,0.0,6.0,30
91,9,1,0.0,9.0,9
92,10,3,0.0,10.0,168
93,11,3,0.0,11.0,24
94,13,0,0.0,13.0,493
95,12,0,0.0,12.0,82
96,15,4,0.0,15.0,90
97,8,0,0.0,8.0,105
98,12,0,0.0,12.0,19
99,19,0,0.0,19.0,1089
100,7,0,0.0,7.0,40
101,12,0,0.0,12.0,297
102,8,2,0.0,8.0,64
103,7,0,0.0,7.0,108
104,16,0,0.0,16.0,631
105,13,0,0.0,13.0,374
106,5,0,0.0,5.0,27
107,8,0,0.0,8.0,109
108,8,2,0.0,8.0,43
109,11,3,0.0,11.0,2
110,13,4,0.0,13.0,31
111,7,0,0.0,7.0,123
112,10,3,0.0,10.0,73
113,11,6,0.0,11.0,126
114,16,0,0.0,16.0,847
115,10,0,0.0,10.0,34
116,13,0,0.0,13.0,338
117,9,0,0.0,9.0,37
118,13,0,0.0,13.0,147
119,7,0,0.0,7.0,1
120,10,1,0.0,10.0,24
121,3,0,0.0,3.0,5
122,9,4,0.0,9.0,43
123,9,0,0.0,9.0,167
124,10,2,0.0,10.0,0
125,6,0,0.0,6.0,63
126,12,0,0.0,12.0,344
127,13,2,0.0,13.0,33
128,7,0,0.0,7.0,32
129,8,1,0.0,8.0,1
130,4,0,0.0,4.0,22
131,7,0,0.0,7.0,36
132,7,0,0.0,7.0,76
133,7,0,0.0,7.0,58
134,16,4,0.0,16.0,2
135,6,0,0.0,6.0,51
136,6,0,0.0,6.0,58
137,12,2,0.0,12.0,488
138,22,0,0.0,22.0,2839
139,7,0,0.0,7.0,61
140,16,9,0.0,16.0,532
141,9,0,0.0,9.0,110
142,8,0,0.0,8.0,35
143,8,1,0.0,8.0,7
144,9,0,0.0,9.0,412
145,8,0,0.0,8.0,115
146,12,1,0.0,12.0,6
147,6,2,0.0,6.0,1
148,10,1,0.0,10.0,371
149,14,1,0.0,14.0,45
150,8,0,0.0,8.0,106
151,15,0,0.0,15.0,53
152,10,0,0.0,10.0,139
153,18,0,0.0,18.0,1341
154,8,0,0.0,8.0,49
155,12,0,0.0,12.0,179
156,9,0,0.0,9.0,129
157,9,3,0.0,9.0,4
158,11,4,0.0,11.0,49
159,8,0,0.0,8.0,187
160,9,0,0.0,9.0,74
161,7,0,0.0,7.0,92
162,10,0,0.0,10.0,172
163,13,0,0.0,13.0,554
164,10,0,0.0,10.0,252
165,11,3,0.0,11.0,115
166,8,0,0.0,8.0,38
167,6,0,0.0,6.0,38
168,6,1,0.0,6.0,1
169,8,0,0.0,8.0,160
170,35,3,0.0,35.0,5068
171,10,3,0.0,10.0,104
172,12,8,0.0,12.0,118
173,8,2,0.0,8.0,86
174,10,1,0.0,10.0,247
175,13,0,0.0,13.0,187
176,11,0,0.0,11.0,367
177,10,0,0.0,10.0,119
178,5,0,0.0,5.0,31
179,10,0,0.0,10.0,665
180,13,0,0.0,13.0,156
181,12,0,0.0,12.0,519
182,6,0,0.0,6.0,110
183,8,1,0.0,8.0,157
184,6,0,0.0,6.0,31
185,14,0,0.0,14.0,910
186,7,0,0.0,7.0,79
187,13,1,0.0,13.0,0
188,9,2,0.0,9.0,172
189,20,0,0.0,20.0,330
190,12,0,0.0,12.0,156
191,9,0,0.0,9.0,85
192,11,2,0.0,11.0,25
193,11,4,0.0,11.0,94
194,9,2,0.0,9.0,0
195,10,3,0.0,10.0,141
196,9,1,0.0,9.0,0
197,8,2,0.0,8.0,142
198,8,1,0.0,8.0,78
199,8,0,0.0,8.0,204
200,10,2,0.0,10.0,17
201,7,0,0.0,7.0,0
202,18,0,0.0,18.0,1556
203,10,3,0.0,10.0,243
204,10,0,0.0,10.0,150
205,3,0,0.0,3.0,19
206,5,0,0.0,5.0,65
207,8,1,0.0,8.0,1
208,11,0,0.0,11.0,166
209,5,0,0.0,5.0,1
210,4,0,0.0,4.0,22
211,13,0,0.0,13.0,413
212,9,0,0.0,9.0,127
213,8,0,0.0,8.0,65
214,6,0,0.0,6.0,45
215,16,0,0.0,16.0,896
216,10,0,0.0,10.0,147
217,27,0,0.0,27.0,71
218,12,1,0.0,12.0,2
219,20,2,0.0,20.0,1236
220,12,0,0.0,12.0,420
221,3,0,0.0,3.0,7
222,10,3,0.0,10.0,47
223,11,5,0.0,11.0,279
224,9,0,0.0,9.0,156
225,7,0,0.0,7.0,1
226,7,0,0.0,7.0,61
227,18,0,0.0,18.0,1783
228,11,0,0.0,11.0,98
229,14,0,0.0,14.0,522
230,7,0,0.0,7.0,181
231,11,0,0.0,11.0,199
232,18,2,0.0,18.0,921
233,5,0,0.0,5.0,58
234,14,2,0.0,14.0,10
235,13,0,0.0,13.0,124
236,15,0,0.0,15.0,599
237,4,0,0.0,4.0,35
238,8,2,0.0,8.0,103
239,11,0,0.0,11.0,144
240,6,0,0.0,6.0,23
241,28,0,0.0,28.0,5577
242,8,1,0.0,8.0,1
243,9,4,0.0,9.0,76
244,11,4,0.0,11.0,39
245,9,1,0.0,9.0,1
246,12,2,0.0,12.0,1
247,9,3,0.0,9.0,58
248,8,2,0.0,8.0,89
249,24,0,0.0,24.0,2081
250,12,0,0.0,12.0,267
251,13,2,0.0,13.0,17
252,5,0,0.0,5.0,31
253,8,0,0.0,8.0,52
254,7,0,0.0,7.0,31
255,10,3,0.0,10.0,2
256,6,0,0.0,6.0,123
257,15,0,0.0,15.0,413
258,10,6,0.0,10.0,23
259,19,0,0.0,19.0,2556
260,10,1,0.0,10.0,21
261,8,3,0.0,8.0,368
262,15,0,0.0,15.0,441
263,9,0,0.0,9.0,141
264,8,0,0.0,8.0,124
265,5,0,0.0,5.0,33
266,4,0,0.0,4.0,38
267,17,0,0.0,17.0,21
268,11,4,0.0,11.0,69
269,6,0,0.0,6.0,48
270,5,0,0.0,5.0,41
271,10,0,0.0,10.0,170
272,11,0,0.0,11.0,116
273,16,0,0.0,16.0,493
274,10,0,0.0,10.0,178
275,8,0,0.0,8.0,69
276,13,0,0.0,13.0,505
277,8,0,0.0,8.0,107
278,12,3,0.0,12.0,9
279,9,1,0.0,9.0,7
280,7,0,0.0,7.0,69
281,13,0,0.0,13.0,267
282,9,0,0.0,9.0,65
283,17,0,0.0,17.0,30
284,14,0,0.0,14.0,159
285,7,0,0.0,7.0,65
286,11,2,0.0,11.0,1
287,9,0,0.0,9.0,194
288,16,1,0.0,16.0,2
289,5,0,0.0,5.0,24
290,7,0,0.0,7.0,39
291,6,0,0.0,6.0,55
292,8,0,0.0,8.0,50
293,7,0,0.0,7.0,19
294,9,2,0.0,9.0,5
295,11,3,0.0,11.0,84
296,6,0,0.0,6.0,13
297,13,0,0.0,13.0,327
298,11,3,0.0,11.0,70
299,7,1,0.0,7.0,3
300,11,1,0.0,11.0,286
301,11,0,0.0,11.0,151
302,5,0,0.0,5.0,101
303,8,0,0.0,8.0,1
304,9,3,0.0,9.0,87
305,23,0,0.0,23.0,1535
306,13,0,0.0,13.0,314
307,17,0,0.0,17.0,1963
308,18,1,0.0,18.0,46
309,9,2,0.0,9.0,9
310,7,0,0.0,7.0,32
311,8,1,0.0,8.0,1
312,8,1,0.0,8.0,12
313,7,0,0.0,7.0,128
