TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,34,0,0.64,34.64,72
1,0,0,0.0,0.0,4
2,0,0,0.0,0.0,3
3,0,0,0.0,0.0,2
4,30,0,0.43,31.09,13
5,0,0,0.0,0.0,2
6,36,0,0.31,38.959999999999994,15
7,0,0,0.0,0.0,5
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,2
10,9,0,0.36,9.36,6
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,2
14,21,0,0.13,22.930000000000003,11
15,34,0,0.64,34.64,32
16,34,0,0.64,34.64,23
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,3
19,0,0,0.0,0.0,4
20,30,0,0.43,31.09,16
21,0,0,0.0,0.0,6
22,36,0,0.31,38.959999999999994,21
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,4
25,0,0,0.0,0.0,2
26,9,0,0.36,9.36,3
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,1
30,21,0,0.13,22.930000000000003,8
31,34,0,0.64,34.64,26
32,34,0,0.64,34.64,33
33,0,0,0.0,0.0,3
34,0,0,0.0,0.0,4
35,0,0,0.0,0.0,2
36,30,0,0.43,31.09,14
37,0,0,0.0,0.0,1
38,36,0,0.31,38.959999999999994,12
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,3
41,0,0,0.0,0.0,2
42,9,0,0.36,9.36,3
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,1
45,0,0,0.0,0.0,2
46,21,0,0.13,22.930000000000003,7
47,34,0,0.64,34.64,17
48,34,0,0.64,34.64,20
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,30,0,0.43,31.09,10
53,0,0,0.0,0.0,2
54,36,0,0.31,38.959999999999994,10
55,0,0,0.0,0.0,3
56,0,0,0.0,0.0,2
57,0,0,0.0,0.0,2
58,9,0,0.36,9.36,3
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,21,0,0.13,22.930000000000003,6
63,34,0,0.64,34.64,18
64,34,0,0.64,34.64,25
65,0,0,0.0,0.0,3
66,0,0,0.0,0.0,3
67,0,0,0.0,0.0,3
68,30,0,0.43,31.09,15
69,0,0,0.0,0.0,2
70,36,0,0.31,38.959999999999994,17
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,4
73,0,0,0.0,0.0,3
74,9,0,0.36,9.36,5
75,0,0,0.0,0.0,2
76,0,0,0.0,0.0,3
77,0,0,0.0,0.0,6
78,21,0,0.13,22.930000000000003,9
79,34,0,0.64,34.64,18
80,34,0,0.64,34.64,17
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,1
84,30,0,0.43,31.09,10
85,0,0,0.0,0.0,1
86,36,0,0.31,38.959999999999994,11
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,2
90,9,0,0.36,9.36,3
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,21,0,0.13,22.930000000000003,7
95,34,0,0.64,34.64,16
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
