TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,34,0,0.64,34.64,82
1,0,0,0.0,0.0,4
2,0,0,0.0,0.0,3
3,0,0,0.0,0.0,3
4,30,0,0.43,31.09,14
5,0,0,0.0,0.0,3
6,36,0,0.31,38.959999999999994,15
7,0,0,0.0,0.0,4
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,2
10,9,0,0.36,9.36,4
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,2
14,21,0,0.13,22.930000000000003,9
15,34,0,0.64,34.64,25
16,34,0,0.64,34.64,21
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,3
19,0,0,0.0,0.0,2
20,30,0,0.43,31.09,16
21,0,0,0.0,0.0,2
22,36,0,0.31,38.959999999999994,14
23,0,0,0.0,0.0,2
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,2
26,9,0,0.36,9.36,4
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,1
30,21,0,0.13,22.930000000000003,10
31,34,0,0.64,34.64,32
32,34,0,0.64,34.64,31
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,2
36,30,0,0.43,31.09,11
37,0,0,0.0,0.0,2
38,36,0,0.31,38.959999999999994,12
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,3
41,0,0,0.0,0.0,2
42,9,0,0.36,9.36,3
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,21,0,0.13,22.930000000000003,7
47,34,0,0.64,34.64,19
48,34,0,0.64,34.64,16
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,1
51,0,0,0.0,0.0,2
52,30,0,0.43,31.09,10
53,0,0,0.0,0.0,2
54,36,0,0.31,38.959999999999994,11
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,2
57,0,0,0.0,0.0,2
58,9,0,0.36,9.36,3
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,21,0,0.13,22.930000000000003,7
63,34,0,0.64,34.64,22
64,34,0,0.64,34.64,25
65,0,0,0.0,0.0,4
66,0,0,0.0,0.0,3
67,0,0,0.0,0.0,3
68,30,0,0.43,31.09,17
69,0,0,0.0,0.0,3
70,36,0,0.31,38.959999999999994,20
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,5
73,0,0,0.0,0.0,3
74,9,0,0.36,9.36,9
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,21,0,0.13,22.930000000000003,8
79,34,0,0.64,34.64,18
80,34,0,0.64,34.64,17
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,1
83,0,0,0.0,0.0,2
84,30,0,0.43,31.09,10
85,0,0,0.0,0.0,2
86,36,0,0.31,38.959999999999994,11
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,2
89,0,0,0.0,0.0,2
90,9,0,0.36,9.36,3
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,21,0,0.13,22.930000000000003,7
95,34,0,0.64,34.64,16
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
