TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,3,16,0.48,19.48,489
1,0,0,0.0,0.0,2
2,0,0,0.0,0.0,3
3,0,0,0.0,0.0,1
4,1,16,0.49,17.49,481
5,0,0,0.0,0.0,3
6,1,16,0.49,17.49,307
7,0,0,0.0,0.0,1
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,1
10,9,0,0.36,9.36,6
11,0,0,0.0,0.0,0
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,1
14,1,17,0.48,18.48,61
15,3,16,0.48,19.48,297
16,3,16,0.48,19.48,384
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,1
20,1,16,0.49,17.49,380
21,0,0,0.0,0.0,2
22,1,16,0.49,17.49,253
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,2
25,0,0,0.0,0.0,2
26,9,0,0.36,9.36,5
27,0,0,0.0,0.0,1
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,1
30,1,17,0.48,18.48,56
31,3,16,0.48,19.48,323
32,3,16,0.48,19.48,382
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,1
35,0,0,0.0,0.0,2
36,1,16,0.49,17.49,365
37,0,0,0.0,0.0,2
38,1,16,0.49,17.49,248
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,2
41,0,0,0.0,0.0,2
42,9,0,0.36,9.36,5
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,1,17,0.48,18.48,63
47,3,16,0.48,19.48,282
48,3,16,0.48,19.48,284
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,1,16,0.49,17.49,368
53,0,0,0.0,0.0,2
54,1,16,0.49,17.49,248
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,1
58,9,0,0.36,9.36,6
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,1,17,0.48,18.48,56
63,3,16,0.48,19.48,289
64,3,16,0.48,19.48,283
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,1
67,0,0,0.0,0.0,2
68,1,16,0.49,17.49,377
69,0,0,0.0,0.0,1
70,1,16,0.49,17.49,248
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.36,9.36,5
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,1,17,0.48,18.48,56
79,3,16,0.48,19.48,289
80,3,16,0.48,19.48,286
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,1
83,0,0,0.0,0.0,2
84,1,16,0.49,17.49,375
85,0,0,0.0,0.0,2
86,1,16,0.49,17.49,266
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,1
90,9,0,0.36,9.36,6
91,0,0,0.0,0.0,1
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,1,17,0.48,18.48,61
95,3,16,0.48,19.48,305
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,1
99,0,0,0.0,0.0,2
