TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,67
1,0,0,0.0,0.0,9
2,0,0,0.0,0.0,5
3,0,0,0.0,0.0,3
4,26,0,0.0,26.0,12
5,0,0,0.0,0.0,2
6,28,0,0.0,28.0,8
7,0,0,0.0,0.0,1
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,2
10,9,0,0.0,9.0,4
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,4
13,0,0,0.0,0.0,2
14,24,0,0.0,24.0,10
15,29,0,0.0,29.0,15
16,29,0,0.0,29.0,23
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,26,0,0.0,26.0,8
21,0,0,0.0,0.0,2
22,28,0,0.0,28.0,8
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,2
26,9,0,0.0,9.0,4
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,4
29,0,0,0.0,0.0,3
30,24,0,0.0,24.0,7
31,29,0,0.0,29.0,14
32,29,0,0.0,29.0,17
33,0,0,0.0,0.0,4
34,0,0,0.0,0.0,4
35,0,0,0.0,0.0,4
36,26,0,0.0,26.0,14
37,0,0,0.0,0.0,3
38,28,0,0.0,28.0,13
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,3
42,9,0,0.0,9.0,6
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,6
45,0,0,0.0,0.0,3
46,24,0,0.0,24.0,12
47,29,0,0.0,29.0,17
48,29,0,0.0,29.0,12
49,0,0,0.0,0.0,1
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,26,0,0.0,26.0,8
53,0,0,0.0,0.0,1
54,28,0,0.0,28.0,7
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,1
58,9,0,0.0,9.0,4
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,4
61,0,0,0.0,0.0,2
62,24,0,0.0,24.0,6
63,29,0,0.0,29.0,13
64,29,0,0.0,29.0,12
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,1
67,0,0,0.0,0.0,2
68,26,0,0.0,26.0,7
69,0,0,0.0,0.0,1
70,28,0,0.0,28.0,6
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.0,9.0,3
75,0,0,0.0,0.0,2
76,0,0,0.0,0.0,1
77,0,0,0.0,0.0,1
78,24,0,0.0,24.0,9
79,29,0,0.0,29.0,21
80,29,0,0.0,29.0,20
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,3
83,0,0,0.0,0.0,3
84,26,0,0.0,26.0,13
85,0,0,0.0,0.0,2
86,28,0,0.0,28.0,11
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,5
89,0,0,0.0,0.0,3
90,9,0,0.0,9.0,5
91,0,0,0.0,0.0,6
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,3
94,24,0,0.0,24.0,8
95,29,0,0.0,29.0,13
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,1
99,0,0,0.0,0.0,2
