TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,29,61
1,0,8
2,0,3
3,0,5
4,26,11
5,0,3
6,28,9
7,0,1
8,0,4
9,0,2
10,9,4
11,0,2
12,0,5
13,0,2
14,24,12
15,29,18
16,29,22
17,0,2
18,0,2
19,0,2
20,26,10
21,0,3
22,28,9
23,0,1
24,0,4
25,0,2
26,9,7
27,0,2
28,0,2
29,0,2
30,24,9
31,29,16
32,29,17
33,0,3
34,0,2
35,0,3
36,26,15
37,0,3
38,28,12
39,0,3
40,0,5
41,0,6
42,9,4
43,0,2
44,0,2
45,0,2
46,24,8
47,29,14
48,29,13
49,0,2
50,0,2
51,0,2
52,26,8
53,0,2
54,28,7
55,0,1
56,0,3
57,0,5
58,9,3
59,0,2
60,0,1
61,0,2
62,24,7
63,29,13
64,29,13
65,0,2
66,0,2
67,0,1
68,26,8
69,0,2
70,28,7
71,0,1
72,0,3
73,0,2
74,9,7
75,0,2
76,0,1
77,0,2
78,24,12
79,29,22
80,29,23
81,0,3
82,0,3
83,0,4
84,26,13
85,0,3
86,28,13
87,0,1
88,0,3
89,0,1
90,9,4
91,0,2
92,0,1
93,0,2
94,24,9
95,29,14
96,0,1
97,0,2
98,0,2
99,0,2
