TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,11,16
1,9,5
2,20,6
3,6,4
4,9,1
5,7,1
6,12,2
7,15,2
8,9,1
9,15,4
10,10,3
11,10,3
12,12,1
13,9,2
14,9,3
15,6,1
16,11,8
17,16,3
18,12,0
19,22,3
20,7,0
21,12,1
22,6,1
23,9,0
24,10,2
25,11,1
26,10,2
27,11,1
28,15,0
29,13,3
30,48,60
31,16,2
32,15,1
33,8,2
34,11,1
35,6,1
36,12,2
37,6,0
38,12,2
39,10,2
40,7,1
41,12,1
42,11,1
43,9,1
44,10,2
45,12,1
46,6,1
47,31,7
48,9,1
49,6,1
50,8,1
51,7,1
52,12,3
53,8,1
54,8,1
55,8,1
56,17,2
57,8,1
58,8,1
59,11,2
60,10,2
61,12,1
62,10,4
63,9,1
64,7,2
65,12,2
66,11,1
67,20,2
68,9,3
69,16,3
70,17,4
71,5,1
72,7,2
73,18,4
74,15,7
75,14,3
76,8,0
77,8,1
78,14,2
79,10,0
80,13,1
81,8,1
82,15,2
83,17,2
84,7,0
85,11,2
86,7,0
87,9,1
88,13,1
89,20,2
90,7,0
91,10,1
92,10,0
93,12,1
94,13,2
95,12,1
96,15,1
97,8,1
98,12,1
99,19,3
100,7,0
101,12,1
102,8,1
103,7,0
104,16,3
105,13,1
106,5,0
107,8,1
108,8,1
109,11,0
110,13,2
111,7,0
112,11,1
113,12,0
114,16,2
115,10,1
116,13,1
117,9,1
118,13,0
119,7,1
120,10,1
121,3,0
122,10,2
123,9,1
124,12,1
125,6,2
126,12,2
127,15,2
128,7,1
129,9,1
130,4,1
131,7,1
132,7,1
133,7,0
134,19,2
135,6,0
136,6,1
137,12,1
138,22,5
139,7,1
140,16,1
141,9,1
142,8,0
143,9,1
144,9,1
145,8,5
146,13,0
147,8,1
148,10,0
149,15,2
150,8,1
151,15,2
152,10,0
153,18,4
154,8,1
155,12,1
156,9,1
157,9,0
158,12,1
159,8,1
160,9,0
161,7,1
162,10,1
163,13,1
164,10,1
165,12,1
166,8,0
167,6,1
168,7,0
169,8,1
170,36,6
171,11,1
172,13,1
173,8,0
174,10,1
175,13,1
176,11,1
177,10,1
178,5,0
179,10,2
180,13,1
181,12,1
182,6,0
183,8,1
184,6,0
185,14,1
186,7,1
187,14,1
188,9,1
189,20,1
190,12,1
191,9,1
192,13,0
193,12,1
194,11,0
195,11,2
196,10,1
197,8,0
198,10,1
199,8,1
200,11,1
201,7,0
202,18,4
203,10,1
204,10,0
205,3,1
206,5,1
207,9,0
208,11,1
209,5,0
210,4,1
211,13,1
212,9,0
213,8,1
214,6,0
215,16,2
216,10,1
217,27,2
218,13,0
219,20,2
220,12,2
221,3,1
222,14,1
223,11,1
224,9,1
225,7,0
226,7,1
227,18,3
228,11,1
229,14,1
230,7,1
231,11,1
232,18,2
233,5,1
234,16,1
235,13,4
236,15,1
237,4,1
238,8,1
239,11,1
240,6,0
241,28,13
242,9,1
243,10,1
244,13,1
245,10,1
246,14,1
247,10,1
248,8,1
249,24,4
250,12,2
251,14,1
252,5,1
253,8,1
254,7,0
255,11,1
256,6,1
257,15,2
258,10,1
259,19,4
260,11,1
261,8,1
262,15,2
263,9,1
264,8,1
265,5,1
266,4,1
267,17,2
268,12,1
269,6,1
270,5,0
271,10,1
272,11,1
273,16,2
274,10,7
275,8,1
276,13,1
277,8,0
278,14,1
279,12,1
280,7,1
281,13,1
282,9,0
283,17,1
284,14,1
285,7,1
286,13,1
287,9,1
288,17,1
289,5,0
290,7,0
291,6,1
292,8,0
293,7,1
294,11,1
295,13,0
296,6,1
297,13,1
298,13,0
299,8,1
300,11,1
301,11,1
302,5,0
303,8,0
304,10,1
305,23,3
306,13,1
307,17,3
308,19,1
309,11,1
310,7,0
311,9,1
312,9,1
313,7,0
314,10,1
315,9,0
316,12,1
317,6,0
318,13,1
319,13,1
320,24,2
321,6,0
322,8,1
323,8,0
324,9,1
325,7,0
326,10,1
327,10,1
328,13,1
329,8,0
330,7,2
331,8,0
332,10,1
333,12,0
334,5,1
335,12,0
336,5,1
337,6,0
338,12,1
339,8,0
340,12,2
341,11,1
342,12,1
343,4,0
344,10,1
345,7,0
346,19,2
347,13,1
348,12,0
349,6,1
350,5,0
351,13,1
352,13,1
353,11,0
354,6,1
355,8,0
356,15,1
357,16,1
358,10,1
359,9,0
360,12,1
361,5,0
362,6,1
363,8,0
364,19,2
365,12,1
366,13,1
367,8,0
368,10,1
369,6,0
370,7,1
371,8,0
372,17,1
373,15,1
374,10,0
375,10,1
376,14,1
377,15,1
378,7,0
379,9,0
380,10,1
381,10,0
382,5,1
383,7,0
384,9,1
385,10,1
386,11,0
387,9,1
388,11,0
389,19,2
390,10,1
391,26,2
392,16,1
393,16,1
394,14,1
395,6,1
396,6,0
397,10,1
398,7,0
399,13,1
400,13,1
401,11,0
402,13,1
403,10,0
404,12,1
405,17,1
406,23,2
407,10,1
408,7,0
409,8,1
410,9,0
411,9,1
412,9,1
413,11,0
414,9,1
415,13,1
416,22,1
417,9,1
418,12,0
419,7,1
420,10,1
