TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,11,15
1,9,6
2,20,9
3,6,5
4,9,3
5,7,2
6,12,3
7,15,4
8,9,3
9,15,5
10,10,4
11,10,7
12,12,7
13,9,5
14,9,13
15,6,2
16,11,2
17,16,2
18,12,1
19,22,3
20,7,1
21,12,2
22,6,1
23,9,2
24,10,1
25,11,2
26,10,1
27,11,1
28,15,1
29,13,3
30,48,70
31,16,3
32,15,2
33,8,0
34,11,1
35,6,1
36,12,1
37,6,0
38,12,1
39,10,2
40,7,1
41,12,1
42,11,1
43,9,1
44,10,1
45,12,2
46,6,1
47,31,6
48,9,1
49,6,1
50,8,1
51,7,2
52,12,2
53,8,1
54,8,2
55,8,2
56,17,2
57,8,1
58,8,2
59,11,2
60,10,2
61,12,2
62,10,4
63,9,1
64,7,6
65,12,2
66,11,1
67,20,1
68,9,2
69,16,2
70,17,2
71,5,0
72,7,2
73,18,2
74,15,2
75,14,3
76,8,1
77,8,1
78,14,3
79,10,1
80,13,1
81,8,2
82,15,6
83,17,2
84,7,1
85,11,2
86,7,0
87,9,1
88,13,1
89,20,2
90,7,0
91,10,1
92,10,1
93,12,1
94,13,1
95,12,1
96,15,1
97,8,1
98,12,1
99,19,3
100,7,1
101,12,1
102,8,1
103,7,1
104,16,2
105,13,1
106,5,1
107,8,1
108,8,0
109,11,2
110,13,2
111,7,2
112,11,1
113,12,1
114,16,5
115,10,4
116,13,1
117,9,2
118,13,1
119,7,1
120,10,1
121,3,7
122,10,0
123,9,1
124,12,1
125,6,1
126,12,1
127,15,2
128,7,0
129,9,1
130,4,1
131,7,0
132,7,1
133,7,1
134,19,1
135,6,1
136,6,1
137,12,2
138,22,9
139,7,1
140,16,1
141,9,1
142,8,1
143,9,0
144,9,2
145,8,1
146,13,1
147,8,1
148,10,1
149,15,3
150,8,1
151,15,3
152,10,1
153,18,5
154,8,1
155,12,1
156,9,1
157,9,0
158,12,1
159,8,1
160,9,1
161,7,0
162,10,2
163,13,2
164,10,2
165,12,1
166,8,1
167,6,0
168,7,1
169,8,1
170,36,8
171,11,0
172,13,1
173,8,1
174,10,1
175,13,1
176,11,2
177,10,1
178,5,0
179,10,2
180,13,1
181,12,1
182,6,0
183,8,1
184,6,1
185,14,1
186,7,0
187,14,2
188,9,0
189,20,3
190,12,1
191,9,1
192,13,1
193,12,2
194,11,0
195,11,2
196,10,3
197,8,1
198,10,2
199,8,1
200,11,2
201,7,1
202,18,7
203,10,1
204,10,1
205,3,1
206,5,1
207,9,1
208,11,1
209,5,1
210,4,0
211,13,2
212,9,1
213,8,1
214,6,0
215,16,4
216,10,1
217,27,4
218,13,1
219,20,4
220,12,2
221,3,1
222,14,1
223,11,2
224,9,0
225,7,1
226,7,1
227,18,3
228,11,2
229,14,1
230,7,1
231,11,1
232,18,3
233,5,0
234,16,2
235,13,3
236,15,2
237,4,0
238,8,1
239,11,1
240,6,1
241,28,16
242,9,1
243,10,0
244,13,1
245,10,1
246,14,1
247,10,0
248,8,1
249,24,3
250,12,2
251,14,0
252,5,1
253,8,1
254,7,0
255,11,1
256,6,1
257,15,1
258,10,1
259,19,2
260,11,2
261,8,0
262,15,1
263,9,1
264,8,1
265,5,0
266,4,1
267,17,1
268,12,1
269,6,1
270,5,0
271,10,1
272,11,0
273,16,2
274,10,2
275,8,0
276,13,1
277,8,1
278,14,1
279,12,1
280,7,0
281,13,2
282,9,0
283,17,1
284,14,1
285,7,1
286,13,0
287,9,1
288,17,2
289,5,0
290,7,0
291,6,1
292,8,0
293,7,1
294,11,0
295,13,1
296,6,0
297,13,2
298,13,0
299,8,1
300,11,1
301,11,1
302,5,0
303,8,0
304,10,1
305,23,3
306,13,1
307,17,4
308,19,1
309,11,1
310,7,0
311,9,1
312,9,1
313,7,0
314,10,1
315,9,1
316,12,0
317,6,1
318,13,1
319,13,1
320,24,2
321,6,0
322,8,1
323,8,0
324,9,1
325,7,0
326,10,1
327,10,1
328,13,1
329,8,1
330,7,1
331,8,1
332,10,0
333,12,1
334,5,1
335,12,0
336,5,1
337,6,0
338,12,1
339,8,0
340,12,3
341,11,0
342,12,2
343,4,0
344,10,0
345,7,1
346,19,2
347,13,1
348,12,1
349,6,0
350,5,0
351,13,1
352,13,1
353,11,1
354,6,0
355,8,1
356,15,1
357,16,1
358,10,1
359,9,0
360,12,1
361,5,0
362,6,1
363,8,0
364,19,3
365,12,0
366,13,1
367,8,3
368,10,0
369,6,1
370,7,0
371,8,1
372,17,1
373,15,1
374,10,0
375,10,1
376,14,1
377,15,1
378,7,0
379,9,1
380,10,0
381,10,1
382,5,0
383,7,0
384,9,1
385,10,1
386,11,1
387,9,1
388,11,0
389,19,2
390,10,1
391,26,3
392,16,0
393,16,2
394,14,1
395,6,1
396,6,0
397,10,1
398,7,0
399,13,1
400,13,1
401,11,0
402,13,1
403,10,1
404,12,1
405,17,1
406,23,2
407,10,0
408,7,1
409,8,0
410,9,1
411,9,1
412,9,0
413,11,1
414,9,0
415,13,1
416,22,2
417,9,1
418,12,0
419,7,1
420,10,1
421,11,0
422,8,0
423,13,1
424,10,1
425,14,1
426,9,1
427,7,0
428,5,1
429,12,1
430,3,0
431,7,1
432,15,1
433,5,0
434,12,1
435,8,1
436,16,1
437,10,0
438,11,1
439,9,1
440,6,0
441,7,1
442,14,0
443,4,1
444,6,0
445,9,0
446,6,1
447,9,0
448,25,2
449,7,0
450,14,2
451,6,0
452,10,1
453,10,1
454,15,1
455,6,1
456,3,0
457,14,1
458,11,1
459,8,0
460,8,1
461,10,1
462,10,0
463,6,1
464,9,0
465,10,1
466,13,1
467,13,1
468,10,1
469,10,1
470,10,0
471,9,1
472,5,0
473,14,1
474,8,0
475,9,1
476,3,0
477,8,0
478,6,1
479,24,2
480,8,0
481,8,1
482,9,0
483,4,0
484,6,1
485,9,0
486,4,1
487,17,1
488,5,0
489,10,1
490,8,0
491,6,0
492,5,1
493,6,0
494,12,2
495,9,1
496,24,1
497,10,1
498,11,1
499,7,1
