TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,29,0,0.0,29.0,77
1,0,0,0.0,0.0,6
2,0,0,0.0,0.0,13
3,0,0,0.0,0.0,8
4,26,0,0.0,26.0,36
5,0,0,0.0,0.0,7
6,28,0,0.0,28.0,30
7,0,0,0.0,0.0,6
8,0,0,0.0,0.0,12
9,0,0,0.0,0.0,7
10,9,0,0.0,9.0,12
11,0,0,0.0,0.0,7
12,0,0,0.0,0.0,14
13,0,0,0.0,0.0,4
14,24,0,0.0,24.0,20
15,29,0,0.0,29.0,35
16,29,0,0.0,29.0,39
17,0,0,0.0,0.0,5
18,0,0,0.0,0.0,5
19,0,0,0.0,0.0,4
20,26,0,0.0,26.0,20
21,0,0,0.0,0.0,5
22,28,0,0.0,28.0,17
23,0,0,0.0,0.0,3
24,0,0,0.0,0.0,6
25,0,0,0.0,0.0,4
26,9,0,0.0,9.0,7
27,0,0,0.0,0.0,4
28,0,0,0.0,0.0,3
29,0,0,0.0,0.0,5
30,24,0,0.0,24.0,23
31,29,0,0.0,29.0,39
32,29,0,0.0,29.0,42
33,0,0,0.0,0.0,4
34,0,0,0.0,0.0,4
35,0,0,0.0,0.0,4
36,26,0,0.0,26.0,18
37,0,0,0.0,0.0,3
38,28,0,0.0,28.0,16
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,6
41,0,0,0.0,0.0,3
42,9,0,0.0,9.0,4
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,2
46,24,0,0.0,24.0,10
47,29,0,0.0,29.0,17
48,29,0,0.0,29.0,32
49,0,0,0.0,0.0,3
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,3
52,26,0,0.0,26.0,14
53,0,0,0.0,0.0,2
54,28,0,0.0,28.0,11
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,4
57,0,0,0.0,0.0,2
58,9,0,0.0,9.0,6
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,3
62,24,0,0.0,24.0,13
63,29,0,0.0,29.0,20
64,29,0,0.0,29.0,22
65,0,0,0.0,0.0,4
66,0,0,0.0,0.0,4
67,0,0,0.0,0.0,4
68,26,0,0.0,26.0,22
69,0,0,0.0,0.0,4
70,28,0,0.0,28.0,18
71,0,0,0.0,0.0,4
72,0,0,0.0,0.0,6
73,0,0,0.0,0.0,5
74,9,0,0.0,9.0,8
75,0,0,0.0,0.0,3
76,0,0,0.0,0.0,3
77,0,0,0.0,0.0,3
78,24,0,0.0,24.0,13
79,29,0,0.0,29.0,24
80,29,0,0.0,29.0,30
81,0,0,0.0,0.0,4
82,0,0,0.0,0.0,3
83,0,0,0.0,0.0,4
84,26,0,0.0,26.0,15
85,0,0,0.0,0.0,2
86,28,0,0.0,28.0,8
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,4
89,0,0,0.0,0.0,2
90,9,0,0.0,9.0,4
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,24,0,0.0,24.0,9
95,29,0,0.0,29.0,16
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,3
