TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,33,0,0.43,34.07,57
1,0,0,0.0,0.0,7
2,0,0,0.0,0.0,7
3,0,0,0.0,0.0,4
4,30,0,0.43,31.09,14
5,0,0,0.0,0.0,3
6,36,0,0.31,38.959999999999994,13
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,3
10,9,0,0.36,9.36,5
11,0,0,0.0,0.0,5
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,4
14,21,0,0.13,22.930000000000003,10
15,33,0,0.43,34.07,18
16,33,0,0.43,34.07,15
17,0,0,0.0,0.0,3
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,5
20,30,0,0.43,31.09,10
21,0,0,0.0,0.0,2
22,36,0,0.31,38.959999999999994,12
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,2
26,9,0,0.36,9.36,4
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,4
29,0,0,0.0,0.0,2
30,21,0,0.13,22.930000000000003,7
31,33,0,0.43,34.07,11
32,33,0,0.43,34.07,11
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,3
36,30,0,0.43,31.09,11
37,0,0,0.0,0.0,3
38,36,0,0.31,38.959999999999994,18
39,0,0,0.0,0.0,2
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,3
42,9,0,0.36,9.36,5
43,0,0,0.0,0.0,2
44,0,0,0.0,0.0,3
45,0,0,0.0,0.0,3
46,21,0,0.13,22.930000000000003,10
47,33,0,0.43,34.07,10
48,33,0,0.43,34.07,11
49,0,0,0.0,0.0,1
50,0,0,0.0,0.0,3
51,0,0,0.0,0.0,1
52,30,0,0.43,31.09,9
53,0,0,0.0,0.0,2
54,36,0,0.31,38.959999999999994,10
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,1
58,9,0,0.36,9.36,3
59,0,0,0.0,0.0,2
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,21,0,0.13,22.930000000000003,9
63,33,0,0.43,34.07,10
64,33,0,0.43,34.07,10
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,30,0,0.43,31.09,9
69,0,0,0.0,0.0,2
70,36,0,0.31,38.959999999999994,9
71,0,0,0.0,0.0,2
72,0,0,0.0,0.0,2
73,0,0,0.0,0.0,2
74,9,0,0.36,9.36,3
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,21,0,0.13,22.930000000000003,7
79,33,0,0.43,34.07,12
80,33,0,0.43,34.07,17
81,0,0,0.0,0.0,3
82,0,0,0.0,0.0,3
83,0,0,0.0,0.0,3
84,30,0,0.43,31.09,16
85,0,0,0.0,0.0,2
86,36,0,0.31,38.959999999999994,18
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,4
89,0,0,0.0,0.0,3
90,9,0,0.36,9.36,6
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,3
94,21,0,0.13,22.930000000000003,9
95,33,0,0.43,34.07,15
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
