TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,3,16,0.48,19.48,1342
1,0,0,0.0,0.0,2
2,0,0,0.0,0.0,2
3,0,0,0.0,0.0,2
4,1,16,0.49,17.49,995
5,0,0,0.0,0.0,1
6,1,16,0.49,17.49,1156
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,4
9,0,0,0.0,0.0,3
10,9,0,0.36,9.36,13
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,2
13,0,0,0.0,0.0,3
14,1,17,0.48,18.48,306
15,3,16,0.48,19.48,1006
16,3,16,0.48,19.48,1017
17,0,0,0.0,0.0,2
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,1,16,0.49,17.49,888
21,0,0,0.0,0.0,2
22,1,16,0.49,17.49,1050
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,2
25,0,0,0.0,0.0,2
26,9,0,0.36,9.36,10
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,1
29,0,0,0.0,0.0,2
30,1,17,0.48,18.48,263
31,3,16,0.48,19.48,991
32,3,16,0.48,19.48,1021
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,1
35,0,0,0.0,0.0,2
36,1,16,0.49,17.49,895
37,0,0,0.0,0.0,2
38,1,16,0.49,17.49,1056
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,2
41,0,0,0.0,0.0,2
42,9,0,0.36,9.36,10
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,1,17,0.48,18.48,271
47,3,16,0.48,19.48,996
48,3,16,0.48,19.48,992
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,1
51,0,0,0.0,0.0,2
52,1,16,0.49,17.49,892
53,0,0,0.0,0.0,2
54,1,16,0.49,17.49,1070
55,0,0,0.0,0.0,2
56,0,0,0.0,0.0,2
57,0,0,0.0,0.0,2
58,9,0,0.36,9.36,10
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,1
62,1,17,0.48,18.48,263
63,3,16,0.48,19.48,1019
64,3,16,0.48,19.48,1026
65,0,0,0.0,0.0,1
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,1,16,0.49,17.49,981
69,0,0,0.0,0.0,1
70,1,16,0.49,17.49,1067
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,1
74,9,0,0.36,9.36,10
75,0,0,0.0,0.0,2
76,0,0,0.0,0.0,1
77,0,0,0.0,0.0,1
78,1,17,0.48,18.48,264
79,3,16,0.48,19.48,992
80,3,16,0.48,19.48,997
81,0,0,0.0,0.0,1
82,0,0,0.0,0.0,2
83,0,0,0.0,0.0,2
84,1,16,0.49,17.49,887
85,0,0,0.0,0.0,2
86,1,16,0.49,17.49,1049
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,1
90,9,0,0.36,9.36,10
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,1
94,1,17,0.48,18.48,264
95,3,16,0.48,19.48,989
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,1
99,0,0,0.0,0.0,2
