TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,33,0,0.43,34.07,52
1,0,0,0.0,0.0,5
2,0,0,0.0,0.0,8
3,0,0,0.0,0.0,4
4,30,0,0.43,31.09,15
5,0,0,0.0,0.0,2
6,36,0,0.31,38.959999999999994,14
7,0,0,0.0,0.0,2
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,3
10,9,0,0.36,9.36,8
11,0,0,0.0,0.0,4
12,0,0,0.0,0.0,3
13,0,0,0.0,0.0,4
14,21,0,0.13,22.930000000000003,13
15,33,0,0.43,34.07,16
16,33,0,0.43,34.07,14
17,0,0,0.0,0.0,4
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,30,0,0.43,31.09,12
21,0,0,0.0,0.0,2
22,36,0,0.31,38.959999999999994,20
23,0,0,0.0,0.0,3
24,0,0,0.0,0.0,5
25,0,0,0.0,0.0,2
26,9,0,0.36,9.36,7
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,2
29,0,0,0.0,0.0,2
30,21,0,0.13,22.930000000000003,8
31,33,0,0.43,34.07,13
32,33,0,0.43,34.07,11
33,0,0,0.0,0.0,2
34,0,0,0.0,0.0,3
35,0,0,0.0,0.0,5
36,30,0,0.43,31.09,16
37,0,0,0.0,0.0,4
38,36,0,0.31,38.959999999999994,18
39,0,0,0.0,0.0,3
40,0,0,0.0,0.0,5
41,0,0,0.0,0.0,3
42,9,0,0.36,9.36,8
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,2
46,21,0,0.13,22.930000000000003,7
47,33,0,0.43,34.07,12
48,33,0,0.43,34.07,12
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,30,0,0.43,31.09,14
53,0,0,0.0,0.0,2
54,36,0,0.31,38.959999999999994,11
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,1
58,9,0,0.36,9.36,8
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,2
61,0,0,0.0,0.0,1
62,21,0,0.13,22.930000000000003,7
63,33,0,0.43,34.07,11
64,33,0,0.43,34.07,12
65,0,0,0.0,0.0,2
66,0,0,0.0,0.0,1
67,0,0,0.0,0.0,2
68,30,0,0.43,31.09,11
69,0,0,0.0,0.0,2
70,36,0,0.31,38.959999999999994,10
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,3
73,0,0,0.0,0.0,1
74,9,0,0.36,9.36,4
75,0,0,0.0,0.0,2
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,2
78,21,0,0.13,22.930000000000003,8
79,33,0,0.43,34.07,16
80,33,0,0.43,34.07,17
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,4
83,0,0,0.0,0.0,3
84,30,0,0.43,31.09,17
85,0,0,0.0,0.0,3
86,36,0,0.31,38.959999999999994,18
87,0,0,0.0,0.0,2
88,0,0,0.0,0.0,8
89,0,0,0.0,0.0,1
90,9,0,0.36,9.36,5
91,0,0,0.0,0.0,1
92,0,0,0.0,0.0,2
93,0,0,0.0,0.0,1
94,21,0,0.13,22.930000000000003,6
95,33,0,0.43,34.07,11
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,2
