TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,3,16,0.0,19.0,648
1,0,0,0.0,0.0,2
2,0,0,0.0,0.0,1
3,0,0,0.0,0.0,1
4,1,16,0.0,17.0,902
5,0,0,0.0,0.0,2
6,1,16,0.0,17.0,1187
7,0,0,0.0,0.0,1
8,0,0,0.0,0.0,3
9,0,0,0.0,0.0,2
10,9,0,0.0,9.0,10
11,0,0,0.0,0.0,2
12,0,0,0.0,0.0,1
13,0,0,0.0,0.0,2
14,3,16,0.0,19.0,170
15,3,16,0.0,19.0,527
16,3,16,0.0,19.0,643
17,0,0,0.0,0.0,1
18,0,0,0.0,0.0,2
19,0,0,0.0,0.0,2
20,1,16,0.0,17.0,756
21,0,0,0.0,0.0,1
22,1,16,0.0,17.0,1102
23,0,0,0.0,0.0,1
24,0,0,0.0,0.0,3
25,0,0,0.0,0.0,1
26,9,0,0.0,9.0,12
27,0,0,0.0,0.0,2
28,0,0,0.0,0.0,1
29,0,0,0.0,0.0,1
30,3,16,0.0,19.0,184
31,3,16,0.0,19.0,416
32,3,16,0.0,19.0,410
33,0,0,0.0,0.0,1
34,0,0,0.0,0.0,2
35,0,0,0.0,0.0,2
36,1,16,0.0,17.0,751
37,0,0,0.0,0.0,2
38,1,16,0.0,17.0,1090
39,0,0,0.0,0.0,1
40,0,0,0.0,0.0,3
41,0,0,0.0,0.0,1
42,9,0,0.0,9.0,11
43,0,0,0.0,0.0,1
44,0,0,0.0,0.0,2
45,0,0,0.0,0.0,1
46,3,16,0.0,19.0,168
47,3,16,0.0,19.0,404
48,3,16,0.0,19.0,405
49,0,0,0.0,0.0,2
50,0,0,0.0,0.0,2
51,0,0,0.0,0.0,1
52,1,16,0.0,17.0,741
53,0,0,0.0,0.0,2
54,1,16,0.0,17.0,1088
55,0,0,0.0,0.0,1
56,0,0,0.0,0.0,3
57,0,0,0.0,0.0,1
58,9,0,0.0,9.0,13
59,0,0,0.0,0.0,1
60,0,0,0.0,0.0,1
61,0,0,0.0,0.0,2
62,3,16,0.0,19.0,180
63,3,16,0.0,19.0,402
64,3,16,0.0,19.0,403
65,0,0,0.0,0.0,1
66,0,0,0.0,0.0,2
67,0,0,0.0,0.0,2
68,1,16,0.0,17.0,747
69,0,0,0.0,0.0,2
70,1,16,0.0,17.0,1095
71,0,0,0.0,0.0,1
72,0,0,0.0,0.0,4
73,0,0,0.0,0.0,1
74,9,0,0.0,9.0,11
75,0,0,0.0,0.0,1
76,0,0,0.0,0.0,2
77,0,0,0.0,0.0,1
78,3,16,0.0,19.0,174
79,3,16,0.0,19.0,436
80,3,16,0.0,19.0,440
81,0,0,0.0,0.0,2
82,0,0,0.0,0.0,1
83,0,0,0.0,0.0,2
84,1,16,0.0,17.0,790
85,0,0,0.0,0.0,2
86,1,16,0.0,17.0,1149
87,0,0,0.0,0.0,1
88,0,0,0.0,0.0,3
89,0,0,0.0,0.0,1
90,9,0,0.0,9.0,12
91,0,0,0.0,0.0,2
92,0,0,0.0,0.0,1
93,0,0,0.0,0.0,2
94,3,16,0.0,19.0,184
95,3,16,0.0,19.0,405
96,0,0,0.0,0.0,1
97,0,0,0.0,0.0,2
98,0,0,0.0,0.0,2
99,0,0,0.0,0.0,1
